"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PGC",0,-1.61320626527523,0.117,0.265,0
"LIPF",0,-2.38069430944528,0.05,0.179,0
"PGA3",0,-3.5899944702635,0.008,0.092,0
"IGJ",8.9967595682472e-185,-0.624609094260793,0.446,0.457,1.70065746118577e-180
"GAST",5.30764612853294e-165,-2.07318050279244,0.025,0.051,1.00330434767658e-160
"REG3A",3.2653105702819e-147,-0.981909717901865,0.047,0.074,6.17241657100387e-143
"ADGRE5",6.11799277151933e-142,-1.6696247423112,0.014,0.044,1.1564841736003e-137
"LYZ",3.40937872216262e-139,-0.644076273307927,0.099,0.123,6.44474859850401e-135
"LTF",1.15332281152295e-138,-1.95386005297574,0.009,0.032,2.18012611062184e-134
"GIF",3.69115616833338e-116,-4.62873944380598,0.001,0.014,6.97739250500059e-112
"RPS29",5.38501962080148e-109,0.324657747446352,0.859,0.813,1.0179302589201e-104
"IGHA1",1.29596886814396e-100,-1.26853476385178,0.018,0.043,2.44976995145253e-96
"ATP4A",7.39712940050528e-96,-4.90068749445703,0,0.01,1.39827937057751e-91
"AC020916.1",1.1554211032238e-95,-2.10882544730483,0.005,0.022,2.18409251142396e-91
"REG1A",3.90134464103664e-95,-0.950273083219005,0.031,0.054,7.37471177495155e-91
"CYSTM1",1.12124304729591e-90,-0.894456606700585,0.034,0.06,2.11948573230346e-86
"ATP4B",2.28410383313682e-90,-4.73498295933291,0,0.01,4.31764147577852e-86
"RGCC",4.39064025099548e-86,-1.04219600176746,0.035,0.073,8.29962726645676e-82
"PSCA",4.16308818502392e-82,-1.39557830142509,0.011,0.029,7.86948559615072e-78
"REG4",4.40225689404444e-82,2.8525175643194,0.022,0.003,8.3215862068122e-78
"SELENOK",1.41965063349773e-78,-0.893356231711866,0.029,0.054,2.68356559250076e-74
"CKB",7.58807942220887e-69,-2.60310486203856,0.002,0.012,1.43437465318014e-64
"SARAF",1.52111934370316e-66,-0.455423492917264,0.095,0.129,2.87537189540208e-62
"LMNA",7.90871074017371e-61,-0.978044187457906,0.03,0.058,1.49498359121504e-56
"TFF1",2.61300278514012e-60,-0.357690165506509,0.092,0.1,4.93935916475038e-56
"SPINK1",5.87771126762804e-55,-0.590896061922914,0.038,0.05,1.11106376091973e-50
"GKN1",5.78506750184522e-54,-1.05376149853462,0.015,0.028,1.0935513098738e-49
"IL8",1.14574528457353e-53,3.03392051955935,0.017,0.003,2.16580231142934e-49
"MT2A",9.63124931154394e-53,1.22300261617126,0.067,0.056,1.82059505736115e-48
