"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CA4",2.60083415215788e-82,-2.16688278574363,0.042,0.176,4.47707590952458e-78
"CD320",1.42698058635297e-78,-0.934330573465859,0.268,0.486,2.456404381348e-74
"TXNIP",1.62509707641531e-72,-0.986941168488354,0.195,0.387,2.79744210734132e-68
"CD36",1.86416838501276e-71,-1.54202305300344,0.067,0.209,3.20897945796097e-67
"SERPINE1",3.67337378504424e-66,2.26956701926644,0.142,0.031,6.32334563357515e-62
"CAVIN2",1.34874659521657e-65,-1.96883772005864,0.035,0.136,2.32173238900581e-61
"CD74",6.65195035779789e-65,-0.483410892888399,0.505,0.703,1.14506673459133e-60
"LIPF",9.17281652073141e-64,-2.54144753036625,0.048,0.159,1.57900863587871e-59
"COL4A1",2.96238636604161e-62,1.32466615901204,0.257,0.107,5.09945189050403e-58
"LGALS1",4.53111425039066e-58,1.17337732326935,0.296,0.156,7.79986007062249e-54
"COL6A2",6.576315859567e-57,3.16843808763986,0.086,0.01,1.13204701206586e-52
"FABP5",1.52056486940156e-55,-0.922891248050988,0.291,0.467,2.61750036618785e-51
"HLA-DRA",2.77771517687482e-54,-0.69439346144389,0.216,0.38,4.78155890547232e-50
"COL4A2",3.7015439224749e-54,1.33274992654455,0.229,0.096,6.3718377081483e-50
"HLA-C",1.36959571524996e-47,-0.604679748118098,0.454,0.614,2.35762206423128e-43
"CLU",6.25015840718736e-47,-1.03758024006395,0.056,0.146,1.07590226821323e-42
"LIFR",1.18653752439616e-44,-1.79442532762401,0.034,0.117,2.04250569449555e-40
"PGC",1.32999573774271e-43,-1.89676201553936,0.093,0.207,2.2894546629503e-39
"TIMP3",1.09688109809264e-42,-0.798525261909047,0.17,0.301,1.88817112225667e-38
"GSN",1.10881128109e-42,-0.681236898936972,0.308,0.451,1.90870773926833e-38
"PGA3",5.58868896050861e-41,-2.27696001542097,0.019,0.083,9.62036917661953e-37
"FAM107A",1.07978068161299e-38,-1.68135027050031,0.034,0.109,1.85873446532861e-34
"B2M",6.36797790412066e-38,-0.452355153354161,0.848,0.922,1.09618371641533e-33
"RBP7",1.45754979482935e-37,-1.16467107563208,0.098,0.207,2.50902621681924e-33
"HLA-E",3.15738514628753e-36,-0.577013610685572,0.333,0.475,5.43512279081936e-32
"BGN",2.40744568822851e-35,4.37101228282599,0.041,0.002,4.14417700771655e-31
"HLA-DRB1",3.68007129012357e-35,-0.627604997489027,0.243,0.381,6.33487471881872e-31
"MMP2",1.6250934816364e-34,2.84451594262041,0.058,0.008,2.79743591928889e-30
"HLA-A",6.51963113030537e-34,-0.478325006161084,0.511,0.638,1.12228930277077e-29
"S100A6",3.55752951450764e-33,0.578193281097401,0.47,0.378,6.12393130627345e-29
