"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PGC",0,-0.953351610516315,0.374,0.71,0
"LIPF",0,-1.37040974622256,0.116,0.34,0
"CXCL17",0,-0.683135383643329,0.238,0.439,0
"CYSTM1",0,-0.676545898996147,0.581,0.777,0
"CLDN3",0,1.83925798522761,0.237,0.065,0
"CLDN4",0,1.03497021751882,0.323,0.152,0
"SPINK1",0,-0.308239024236016,0.486,0.656,0
"PGA3",0,-1.87554528912931,0.075,0.243,0
"CLU",0,-1.11682877125825,0.186,0.347,0
"REG3A",0,-1.17363173843437,0.127,0.283,0
"TFF3",0,1.58898647132731,0.241,0.089,0
"LTF",0,-1.41688244423775,0.113,0.26,0
"CRIP1",0,1.27326571290594,0.294,0.153,0
"CD55",0,1.59201654970281,0.22,0.086,0
"IFITM3",0,0.90307429462709,0.371,0.237,0
"OLFM4",0,1.36347632202301,0.197,0.066,0
"CD9",0,1.285961433219,0.256,0.126,0
"KRT7",0,2.61258727541951,0.166,0.036,0
"S100A6",0,0.833689232732969,0.83,0.705,0
"S100A10",0,0.827382548916401,0.527,0.404,0
"ISG15",0,2.08418914262298,0.176,0.055,0
"CLDN7",0,1.28036632245959,0.197,0.082,0
"IFI6",0,1.50327519640293,0.219,0.109,0
"RPL3",0,-0.499371891314567,0.785,0.89,0
"IFITM1",0,2.31182387326284,0.112,0.024,0
"MUCL3",0,2.32687132300514,0.117,0.033,0
"CEACAM5",0,2.36771643688428,0.103,0.021,0
"LYZ",0,-0.857108740073994,0.594,0.674,0
"RPL34",0,-0.487364130932141,0.84,0.918,0
"KRT17",0,6.48753448008163,0.076,0.001,0
"RPS6",0,-0.42930915478356,0.798,0.873,0
"GAST",0,-2.15106572139851,0.011,0.084,0
"MSLN",0,2.67365851231751,0.085,0.015,0
"BST2",0,2.56075920631842,0.086,0.016,0
"RPS14",0,-0.449316509302125,0.843,0.901,0
"RPL11",0,-0.334232604128804,0.844,0.901,0
"CDKN2A",0,3.27231226040028,0.064,0.008,0
"LYPD2",0,3.55765980950715,0.058,0.006,0
"RPL10",0,-0.34358504569182,0.891,0.935,0
"RPL13",0,-0.377961982533683,0.896,0.936,0
"ARPC1B",3.11261356879985e-322,1.25673049932443,0.189,0.084,7.9639330771313e-318
"ANXA2",1.24010477106153e-321,0.758604780923651,0.463,0.374,3.17293206723803e-317
"RPS4X",1.53160350210786e-321,-0.411273746562258,0.749,0.848,3.91876072049318e-317
"KCNE2",1.11016550620528e-320,-1.52288126054394,0.058,0.157,2.84046946417683e-316
"GLUL",4.58097666824004e-320,-0.883963457397195,0.187,0.325,1.1720886903359e-315
"CD74",2.26884287351663e-316,-0.511250908143492,0.46,0.6,5.80506137617966e-312
"KRT18",3.36201936085571e-314,0.566667742992929,0.676,0.591,8.60206273668542e-310
"KLF5",2.62292706639646e-306,1.02601922876712,0.266,0.148,6.71102119208199e-302
"ANXA1",1.75059664047793e-302,1.87578052758809,0.119,0.041,4.47907656432684e-298
"TMEM176A",4.19981402020933e-301,1.50365669499995,0.133,0.047,1.07456441521076e-296
"REG4",3.46457160903655e-299,1.72184025163444,0.174,0.077,8.86445291888091e-295
"S100A11",6.26936182878312e-298,0.579812898631006,0.611,0.487,1.60407891751245e-293
"RPS28",4.95331965886006e-295,-0.332844804365628,0.832,0.899,1.26735636791594e-290
"PGA4",1.30181726893717e-281,-1.70234179399124,0.03,0.1,3.33082966430266e-277
"LY6E",5.41397916146292e-279,1.01485513489825,0.221,0.128,1.3852207082519e-274
"NPW",6.4778227501917e-279,2.24379148441374,0.077,0.016,1.65741572886405e-274
"PLEC",5.85138871999572e-276,1.38727197273348,0.163,0.073,1.49713631789811e-271
"TMEM176B",1.43063977752671e-273,1.35027125667106,0.14,0.055,3.66043493477984e-269
"TM4SF1",6.76832180383226e-271,1.29069982776224,0.201,0.126,1.73174281672852e-266
"PMEPA1",2.06729258557058e-270,3.03742967464715,0.053,0.007,5.28937480944088e-266
"RPL26",4.50392781105409e-266,-0.303422338796062,0.775,0.865,1.1523749697363e-261
"AGR3",1.67264926676074e-261,1.06499583748729,0.21,0.107,4.27964041393404e-257
"RNF213",1.11078471526691e-254,1.35244946021419,0.156,0.07,2.84205377248192e-250
"PIGR",1.48585335901462e-253,-0.416737859017176,0.454,0.592,3.8017044043748e-249
"PRSS3",1.04675731296996e-252,2.14236241506035,0.154,0.072,2.67823326096493e-248
"RARRES1",1.41463629155111e-249,3.70142911731309,0.043,0.004,3.61948841556266e-245
"RPL15",3.32548899430466e-248,-0.35080737346968,0.758,0.83,8.5085961408279e-244
"MUC6",6.90804442851332e-244,-0.319166775145775,0.155,0.267,1.76749224747942e-239
"TMEM238L",2.58767168548511e-242,-2.33758854477277,0.011,0.054,6.6208167744822e-238
"MUC5B",3.61753116563367e-242,1.90131593217145,0.084,0.025,9.25581524039031e-238
"CA9",1.66640858257823e-241,-1.27341962007234,0.059,0.142,4.26367299938466e-237
"HLA-DRA",7.23653600798665e-236,-0.492329428759176,0.26,0.383,1.85154010300346e-231
"TYMP",8.00383490096105e-235,1.78764363326795,0.091,0.031,2.0478611977599e-230
"CEACAM6",1.07116621160874e-231,2.11473802461207,0.073,0.019,2.74068586902213e-227
"CYP2W1",2.10364455375129e-231,4.18229685459492,0.034,0.002,5.38238495522804e-227
"ADIRF",2.63022992335616e-231,-0.507446569073205,0.189,0.303,6.72970628189907e-227
"TNFRSF12A",3.7697448419739e-231,1.5987427539333,0.099,0.035,9.64526915267442e-227
"MDK",1.57236524993074e-229,0.851692624680062,0.276,0.166,4.02305372847279e-225
"CIRBP",7.67470296258082e-228,-0.709123724812876,0.199,0.316,1.96364950000593e-223
"LMO7",3.64643767103677e-226,1.34145323152874,0.135,0.06,9.32977542511468e-222
"CCL25",1.52390578490743e-225,1.90918639484944,0.066,0.015,3.89906534126415e-221
"ID3",6.57190132330157e-224,-0.883220499232025,0.155,0.255,1.68148667257994e-219
"RPS8",3.83984173625004e-223,-0.292495539925667,0.822,0.866,9.82461906636936e-219
"IGJ",2.36449643592983e-219,-0.72681020426518,0.232,0.347,6.04980058097007e-215
