"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CYSTM1",5.54405744692795e-54,-0.948605168642786,0.485,0.776,9.1720886401976e-50
"PGC",6.14920670457523e-47,-1.42136254129404,0.318,0.72,1.01732475720493e-42
"PGA3",4.38398648043881e-45,-2.16326420030785,0.071,0.256,7.25286723323797e-41
"CD9",2.61629077274759e-33,1.45315078278537,0.239,0.113,4.32839145443361e-29
"GAST",2.09163061119629e-32,-6.45551341815979,0.007,0.081,3.46039368316315e-28
"KRT7",1.10492919571018e-28,2.42250726310657,0.131,0.028,1.82799486138292e-24
"PI3",1.77900148767803e-28,2.70573638581339,0.081,0.032,2.94318006121454e-24
"CRIP1",4.62300169006406e-28,1.30699873686078,0.285,0.153,7.64829399604197e-24
"CXCL17",1.49189090774258e-27,-1.1711251814715,0.16,0.426,2.46818431776933e-23
"S100A6",1.82288068325809e-27,0.722174658124214,0.776,0.693,3.01577380238218e-23
"RPS14",3.27904541045819e-27,-0.62611161211124,0.771,0.894,5.42485272706204e-23
"CLU",3.47114489315425e-27,-1.32005288985283,0.164,0.343,5.74266211123439e-23
"LIPF",3.84857441765742e-27,-1.92298640442826,0.085,0.352,6.36708151657244e-23
"TIMP1",1.01368460164808e-26,1.74739740269701,0.192,0.107,1.67703980496659e-22
"RPL3",5.30666768106693e-26,-0.646199889317024,0.72,0.871,8.77935101155712e-22
"ISG15",2.4920173903478e-25,2.10471335233064,0.166,0.053,4.12279357059141e-21
"RPS4X",4.2636965911036e-24,-0.588750405874687,0.707,0.838,7.05385964032179e-20
"RPL34",1.32576086313699e-23,-0.600062865094275,0.783,0.912,2.19333877197383e-19
"S100A10",2.67877873607595e-23,0.720998485975555,0.469,0.379,4.43177154096404e-19
"ANXA1",3.61907698981505e-23,1.92920214662768,0.149,0.052,5.98740097195002e-19
"PRSS3",2.15545869232453e-22,1.98349745351974,0.136,0.069,3.56599086058171e-18
"IFI6",2.40508146250616e-22,1.26831621231158,0.193,0.113,3.97896677157019e-18
"GLUL",4.99436163788501e-22,-1.05050597170796,0.155,0.32,8.26267189371696e-18
"MT1G",6.81680652989408e-22,-1.01656263348703,0.288,0.433,1.12777247230568e-17
"RPL11",6.97245606675519e-22,-0.471268120587958,0.804,0.893,1.15352313168398e-17
"TFF3",2.80342920699589e-21,1.48791044340658,0.226,0.085,4.63799328005401e-17
"PIGR",2.9189803451955e-21,-0.932532245742221,0.348,0.575,4.82916108309144e-17
"S100A11",4.528983620667e-21,0.547874442281897,0.56,0.482,7.49275050203148e-17
"LYZ",6.02943840098624e-21,-1.30061152797643,0.518,0.652,9.97510289059163e-17
"ARPC1B",1.43143290377377e-20,1.31587506497952,0.2,0.086,2.36816259600333e-16
"RPS6",1.56312231866206e-20,-0.601354604097569,0.743,0.868,2.58602956399451e-16
"ANXA2",1.20972673965825e-19,0.643753493047023,0.397,0.354,2.00137191809061e-15
"KCNE2",1.23556897131029e-19,-1.97267939400049,0.037,0.147,2.04412530613574e-15
"CA9",1.82253096609549e-19,-1.85221187398855,0.038,0.139,3.01519523030838e-15
"BST2",2.85311704396574e-19,2.26472935285087,0.098,0.022,4.72019683753692e-15
"S100A4",4.63826070324495e-19,2.18101925173688,0.108,0.036,7.67353850744844e-15
"IL8",6.11579777681395e-18,2.43455596006309,0.055,0.047,1.0117975841961e-13
"RPL10",8.74523218586625e-18,-0.50467965744616,0.857,0.934,1.44681121282971e-13
"CD55",1.35837211842429e-17,1.38960399837318,0.227,0.098,2.24729083272114e-13
"CLDN3",2.1297132282899e-17,1.56591667940175,0.203,0.058,3.52339756488282e-13
"PGA4",4.9171702079116e-17,-2.15055314855829,0.02,0.098,8.13496639196896e-13
"RNF213",5.98921013016452e-17,1.59544914696324,0.211,0.079,9.90854923934418e-13
"RPS28",6.72669918130425e-17,-0.486970837686811,0.776,0.885,1.11286511255498e-12
"IFITM1",7.0544934318497e-17,1.88208299992399,0.166,0.045,1.16709539336521e-12
"CEACAM5",1.35642999881254e-16,2.63505395284548,0.083,0.013,2.24407779003547e-12
"IL32",2.65332090336384e-16,1.13337768308729,0.224,0.121,4.38965410252514e-12
"RPL13",3.26367876434473e-16,-0.509130685488649,0.853,0.928,5.39943014773191e-12
"ADH1C",7.23540420493972e-16,-1.09949265963413,0.048,0.101,1.19702527166523e-11
"ACTB",1.19783481493386e-15,0.3576007731865,0.81,0.752,1.98169791782657e-11
"AGR3",1.50501128566153e-15,0.9849084433158,0.172,0.097,2.48989067099843e-11
"TMEM176A",2.17759321265931e-15,1.5982495911442,0.125,0.039,3.60261021102356e-11
"RPS3A",2.71988898814175e-15,-0.468999390286166,0.718,0.838,4.49978434198172e-11
"LTF",3.27630454930316e-15,-1.75159593453849,0.085,0.245,5.42031824636715e-11
"PDIA2",7.18021604465511e-15,-1.71212862388724,0.04,0.122,1.18789494242774e-10
"ID3",8.69177560556644e-15,-1.11341290356558,0.132,0.253,1.43796735618491e-10
"CXCL5",8.91637214204003e-15,2.86290911124827,0.042,0.028,1.4751246071791e-10
"MSLN",1.02535488265463e-14,2.75933993521175,0.071,0.011,1.69634711786382e-10
"SPINK1",1.05666479319342e-14,-0.681151930155639,0.381,0.642,1.7481462338592e-10
"MYH9",1.12294959678577e-14,1.44631016614025,0.192,0.072,1.85780781292238e-10
"PGA5",1.46047438173123e-14,-2.53352943860484,0.009,0.048,2.41620881713615e-10
"METTL7A",1.55556639504253e-14,-2.19507181533694,0.019,0.086,2.57352904395836e-10
"OLFM4",2.09256190954658e-14,0.403820170998143,0.156,0.06,3.46193442315385e-10
"RPS8",3.95835728313044e-14,-0.415006757994942,0.78,0.856,6.54870628921099e-10
"RPL26",4.79105611530989e-14,-0.433537874215017,0.726,0.854,7.92632323716869e-10
"RPL15",8.64521304466941e-14,-0.460714809981238,0.701,0.82,1.43026404611011e-09
"TM4SF1",9.03049941916941e-14,1.00501947443944,0.174,0.122,1.49400582390739e-09
"CD24",9.92224137547191e-14,-0.388986771855613,0.149,0.189,1.64153561315807e-09
"GABARAP",1.42364504287387e-13,-0.530177819346378,0.127,0.183,2.35527835893053e-09
"LGALS1",1.71516027589895e-13,2.72438430081494,0.065,0.026,2.83756116044722e-09
"SMIM24",1.72039156719404e-13,-0.941099782929341,0.048,0.098,2.84621580876582e-09
"MUC5B",2.33115961102955e-13,2.03531339675304,0.071,0.021,3.85667046048729e-09
"KRT19",2.41001392789338e-13,0.501266561782833,0.515,0.513,3.98712704230681e-09
"MT1F",2.41821781076049e-13,-0.929942382330511,0.101,0.191,4.00069954612215e-09
"LY6E",3.451576926326e-13,0.885390613749039,0.208,0.129,5.71028886691373e-09
"TMEM97",3.60072556873391e-13,-1.40083252764598,0.045,0.126,5.95704038091338e-09
"RNASE1",6.19666717357951e-13,-0.704686257502797,0.233,0.365,1.02517661719699e-08
"TMEM238L",7.24534790599847e-13,-2.6465106432207,0.008,0.053,1.19867035756839e-08
"FBP1",7.39197218555858e-13,-1.66370890351649,0.033,0.102,1.22292787837881e-08
"TSPO",7.69895163365859e-13,-0.664238235770047,0.301,0.429,1.27371455827248e-08
"CLDN7",8.45874866586908e-13,1.11612987295737,0.168,0.077,1.39941537928138e-08
"PAPSS1",8.53069157396367e-13,-1.76422202084526,0.026,0.086,1.41131761399655e-08
"IFITM3",8.6071289992029e-13,0.692894286115323,0.324,0.239,1.42396342162813e-08
"C15orf48",9.16014594181658e-13,0.976232559400824,0.211,0.128,1.51545454461414e-08
"IL33",9.24531891845492e-13,-2.04704857280443,0.014,0.058,1.52954556186918e-08
"SRGN",1.21090933648104e-12,1.9682597814249,0.145,0.056,2.00332840627422e-08
"CTSA",1.29104596100467e-12,1.6385441894032,0.101,0.033,2.13590643788612e-08
