"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PGC",0,-1.42136254129404,0.318,0.72,0
"LIPF",0,-1.92298640442826,0.085,0.352,0
"REG3A",0,-1.61926006926125,0.102,0.286,0
"LYZ",0,-1.30061152797643,0.518,0.652,0
"HBB",2.52274085817247e-218,2.27932410694648,0.058,0.044,4.17362247576054e-214
"S100A6",3.95409824765425e-184,0.722174658124214,0.776,0.693,6.5416601409192e-180
"LTF",7.58480980113627e-140,-1.75159593453849,0.085,0.245,1.25483093349998e-135
"GCG",8.09687687057783e-137,4.31864624632783,0.017,0.011,1.3395473094684e-132
"PGA3",1.5093173199286e-135,-2.16326420030785,0.071,0.256,2.49701457408987e-131
"SST",2.30443030148424e-117,2.2346496772944,0.004,0.004,3.81244949077553e-113
"TFF3",3.00097108955898e-117,1.48791044340658,0.226,0.085,4.96480657056637e-113
"HBA2",7.16423865462856e-111,2.19043087029487,0.034,0.021,1.18525164302175e-106
"GAST",5.04885360076964e-101,-6.45551341815979,0.007,0.081,8.35282339711329e-97
"GHRL",2.55935916707051e-99,-0.593997773013466,0.035,0.064,4.23420380600145e-95
"REG4",1.54741718289355e-87,1.46196672129388,0.148,0.075,2.56004698737908e-83
"IL8",1.02086301695738e-86,2.43455596006309,0.055,0.047,1.68891577525429e-82
"MT1G",1.26181350359177e-84,-1.01656263348703,0.288,0.433,2.08754426034223e-80
"SPINK4",2.71635468824567e-81,3.38176381077447,0.041,0.008,4.49393719623364e-77
"GKN1",1.83652356252159e-80,-0.989594583938839,0.115,0.117,3.03834458183571e-76
"MALAT1",8.98153780416923e-80,0.358776945277768,0.874,0.864,1.48590561432176e-75
"TFF1",4.76597419737253e-78,-0.561039850589189,0.362,0.398,7.88482771213312e-74
"PI3",7.08082358719743e-74,2.70573638581339,0.081,0.032,1.17145145426594e-69
"CYSTM1",1.09289004333896e-72,-0.948605168642786,0.485,0.776,1.80807728769997e-68
"APOA1",1.19204895694338e-68,-1.53352943860484,0.025,0.048,1.97212579436713e-64
"RPL34",6.42660562487336e-64,-0.600062865094275,0.783,0.912,1.06321763457905e-59
"CHGA",9.32271875968943e-62,-1.41847776492853,0.036,0.067,1.54235059160302e-57
"PRSS3",1.71494640838277e-60,1.98349745351974,0.136,0.069,2.83720733802845e-56
"RPS14",9.44738956006557e-59,-0.62611161211124,0.771,0.894,1.56297612881725e-54
"PIGR",1.9575086582415e-57,-0.932532245742221,0.348,0.575,3.23850232419474e-53
"RPL3",7.71520243625911e-57,-0.646199889317024,0.72,0.871,1.27640309105471e-52
"PRSS1",1.04230485967186e-55,5.31365222309272,0.032,0.002,1.72438915984112e-51
"TIMP1",4.81624102726259e-54,1.74739740269701,0.192,0.107,7.96798915550322e-50
"RPL13",3.05662202304051e-51,-0.509130685488649,0.853,0.928,5.05687547491822e-47
"RPS6",1.70760904004505e-49,-0.601354604097569,0.743,0.868,2.82506839585053e-45
"CRIP1",5.55836928407063e-48,1.30699873686078,0.285,0.153,9.19576614356645e-44
"KRT19",1.42475492562541e-46,0.501266561782833,0.515,0.513,2.35711454895468e-42
"RPL10",1.09619051010394e-45,-0.50467965744616,0.857,0.934,1.81353757991596e-41
"SPINK1",4.7996448084346e-44,-0.681151930155639,0.381,0.642,7.94053237107421e-40
"RPS18",9.9197059439327e-43,-0.457254026759918,0.841,0.905,1.64111615136423e-38
"REG1A",3.07392552802811e-42,-0.642913641863071,0.238,0.47,5.0855023935697e-38
"ANXA1",1.11913942304251e-41,1.92920214662768,0.149,0.052,1.85150426148153e-37
"CD9",5.41313327989829e-41,1.45315078278537,0.239,0.113,8.95548769826374e-37
"APOC3",1.61567861424414e-40,-1.07842196106394,0.006,0.015,2.6729786994055e-36
"CLU",7.5094136888938e-40,-1.32005288985283,0.164,0.343,1.24235740069059e-35
"S100A10",1.05895350983989e-39,0.720998485975555,0.469,0.379,1.75193268667912e-35
"RPS4X",2.12086407394213e-39,-0.588750405874687,0.707,0.838,3.50875752392985e-35
"CXCL5",4.85926725542634e-39,2.86290911124827,0.042,0.028,8.03917174737734e-35
"KRT7",3.72621427702559e-38,2.42250726310657,0.131,0.028,6.16464889991114e-34
"ACTB",7.00308356536008e-38,0.3576007731865,0.81,0.752,1.15859014505317e-33
"PSCA",8.7155889470458e-38,-0.685980086170337,0.225,0.332,1.44190703539926e-33
"ISG15",2.26656441235561e-37,2.10471335233064,0.166,0.053,3.74980416380112e-33
"LGALS1",5.25060774820338e-37,2.72438430081494,0.065,0.026,8.68660545862767e-33
"RPL13A",7.85787656131876e-36,-0.477198974087737,0.774,0.892,1.30000709830458e-31
"IFI6",1.38376614996344e-35,1.26831621231158,0.193,0.113,2.28930271849951e-31
"CXCL17",1.24447686481593e-34,-1.1711251814715,0.16,0.426,2.05886252515148e-30
"ANXA2",2.03475590498797e-32,0.643753493047023,0.397,0.354,3.3663001692121e-28
"RPS28",5.17952685911816e-31,-0.486970837686811,0.776,0.885,8.56900923572508e-27
"S100A11",1.17799060782631e-30,0.547874442281897,0.56,0.482,1.94886766158785e-26
"MT1X",1.20476086895402e-30,-0.698040943860785,0.222,0.303,1.99315638159753e-26
"7SK.2",3.55865910761389e-30,0.343435692115374,0.029,0.024,5.88744562763641e-26
"MUC6",6.23254550931444e-30,-0.82920596571457,0.111,0.255,1.03111232906098e-25
"RPL11",2.93952189647504e-29,-0.471268120587958,0.804,0.893,4.8631450255283e-25
"S100A4",4.90785649133584e-29,2.18101925173688,0.108,0.036,8.11955777926601e-25
"SERPINA1",8.75873672923509e-29,1.02216802069612,0.126,0.102,1.44904540448465e-24
"C15orf48",2.72583036356854e-28,0.976232559400824,0.211,0.128,4.5096137534878e-24
"IL32",3.62962803481155e-28,1.13337768308729,0.224,0.121,6.00485662079222e-24
"KRT8",2.88926608060339e-26,0.353772761238911,0.592,0.55,4.78000180375024e-22
"GLUL",4.30382430840081e-26,-1.05050597170796,0.155,0.32,7.1202469358183e-22
"RP11-1143G9.4",5.39201190196919e-26,-0.738164532721619,0.134,0.246,8.92054449061783e-22
"IFI27",9.62807741460674e-26,0.415807303634748,0.511,0.468,1.59286912747254e-21
"GKN2",9.79677807199214e-26,-0.829802043367774,0.109,0.132,1.62077896423038e-21
"PGA4",1.60031930870593e-25,-2.15055314855829,0.02,0.098,2.6475682643231e-21
"SRGN",2.47368578596634e-25,1.9682597814249,0.145,0.056,4.09246576430272e-21
"GIF",1.80176891794888e-24,-2.87753465415188,0.008,0.034,2.98084649785463e-20
"MMP7",1.31770579662729e-23,1.92492600092972,0.026,0.016,2.18001246994018e-19
"CLDN3",2.04553440263479e-23,1.56591667940175,0.203,0.058,3.38413211571899e-19
"HBA1",2.97862217431432e-23,1.38782981147383,0.017,0.006,4.92783252518562e-19
"KRT18",1.79759148414362e-22,0.368829465915617,0.568,0.562,2.9739353513672e-18
"RPS2",2.39787209186622e-22,-0.426319837168501,0.77,0.874,3.96703958878348e-18
"KCNE2",2.51765428505696e-22,-1.97267939400049,0.037,0.147,4.16520724919824e-18
"ARPC1B",6.43802002415089e-22,1.31587506497952,0.2,0.086,1.06510603279552e-17
"APOA4",9.79285075219401e-22,-1.07431109442146,0.01,0.018,1.62012922844298e-17
"RPL26",1.08104763637214e-21,-0.433537874215017,0.726,0.854,1.78848520961407e-17
"RPS8",3.6481798301619e-21,-0.415006757994942,0.78,0.856,6.03554871101985e-17
"RPS3A",5.52871132156907e-21,-0.468999390286166,0.718,0.838,9.14670001040388e-17
"IGJ",5.75535502601787e-21,-0.488877047678488,0.205,0.325,9.52165935504396e-17
"TFF2",8.70684419025031e-21,-0.496269787266451,0.294,0.382,1.44046030283501e-16
"PGA5",9.56367941074454e-21,-2.53352943860484,0.009,0.048,1.58221512171358e-16
"MT1E",1.13902747200024e-20,-0.603607461514131,0.302,0.447,1.8844070496772e-16
"IER2",1.26506351353138e-20,-0.554499942338607,0.33,0.413,2.09292107678632e-16
"CD55",1.43456583886864e-20,1.38960399837318,0.227,0.098,2.37334572382428e-16
"CEACAM5",1.64945067300866e-20,2.63505395284548,0.083,0.013,2.72885119342553e-16
"TM4SF1",1.82218508085253e-20,1.00501947443944,0.174,0.122,3.01462299776242e-16
"BST2",2.8590684595964e-20,2.26472935285087,0.098,0.022,4.73004285955628e-16
"RNF213",4.57132497930452e-20,1.59544914696324,0.211,0.079,7.5628000457614e-16
"RPL21",6.160952451081e-20,-0.425632094116551,0.7,0.837,1.01926797350684e-15
"AGR3",1.16099148729146e-19,0.9849084433158,0.172,0.097,1.920744316575e-15
"MT-CO3",1.23418041360581e-19,-0.31686839525951,0.936,0.958,2.04182807626946e-15
"CA9",1.73067364800723e-19,-1.85221187398855,0.038,0.139,2.86322648326317e-15
"MDK",1.87082212623279e-19,0.751006192628707,0.226,0.154,3.09508812563953e-15
"IFITM1",1.91677875934381e-19,1.88208299992399,0.166,0.045,3.1711187794584e-15
"RPL15",4.35568128049307e-19,-0.460714809981238,0.701,0.82,7.20603911044773e-15
"ID3",6.57635522834412e-19,-1.11341290356558,0.132,0.253,1.08799220897725e-14
"OLFM4",2.20447608854861e-18,0.403820170998143,0.156,0.06,3.64708524089483e-14
"TPSAB1",3.1291252108999e-18,3.92334496511025,0.006,0.004,5.17682474891279e-14
"ATP4B",3.42904184890124e-18,-3.35700402602572,0.005,0.028,5.67300683482221e-14
"CLDN4",1.09074848983016e-17,0.781540560776819,0.269,0.147,1.80453430157501e-13
"RNASE1",1.35262804384061e-17,-0.704686257502797,0.233,0.365,2.2377878357299e-13
