"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PGC",2.96578085403477e-116,-1.42136254129404,0.318,0.72,4.90658784491512e-112
"CYSTM1",1.40894553671328e-73,-0.948605168642786,0.485,0.776,2.33095949593845e-69
"LIPF",5.72530570289857e-70,-1.92298640442826,0.085,0.352,9.47194575487539e-66
"CXCL17",1.69782801631458e-56,-1.1711251814715,0.16,0.426,2.80888667019084e-52
"RPL34",1.47741557059583e-47,-0.600062865094275,0.783,0.912,2.44423631999375e-43
"SPINK1",7.76081262179188e-47,-0.681151930155639,0.381,0.642,1.28394884014925e-42
"PGA3",9.97367164195499e-44,-2.16326420030785,0.071,0.256,1.65004423644503e-39
"RPS14",2.61371091099544e-41,-0.62611161211124,0.771,0.894,4.32412333115086e-37
"REG1A",5.60310983944354e-41,-0.642913641863071,0.238,0.47,9.26978491837538e-37
"RPS6",2.39946717018634e-40,-0.601354604097569,0.743,0.868,3.96967848635627e-36
"RPL3",3.67285505101296e-40,-0.646199889317024,0.72,0.871,6.07637139639585e-36
"PIGR",1.40307541377189e-38,-0.932532245742221,0.348,0.575,2.32124796454422e-34
"REG3A",1.02625836991276e-37,-1.61926006926125,0.102,0.286,1.69784184718367e-33
"RPL10",2.70899160932582e-37,-0.50467965744616,0.857,0.934,4.48175571846863e-33
"CLDN3",3.99508410614402e-37,1.56591667940175,0.203,0.058,6.60946714520466e-33
"RPL11",1.85961546083492e-36,-0.471268120587958,0.804,0.893,3.07654781840529e-32
"RPL13",8.84458691964223e-35,-0.509130685488649,0.853,0.928,1.46324845998561e-30
"RPS28",1.18682029372467e-33,-0.486970837686811,0.776,0.885,1.96347549393809e-29
"CLU",3.71460917251788e-32,-1.32005288985283,0.164,0.343,6.14544941501359e-28
"IFITM1",6.87778189604697e-32,1.88208299992399,0.166,0.045,1.13786023688201e-27
"LTF",9.1823392970598e-32,-1.75159593453849,0.085,0.245,1.51912621330557e-27
"RPL26",1.07150139511012e-31,-0.433537874215017,0.726,0.854,1.77269190807018e-27
"LYZ",1.26238343948121e-31,-1.30061152797643,0.518,0.652,2.08848716227772e-27
"RPS4X",2.80303477640812e-31,-0.588750405874687,0.707,0.838,4.63734073408959e-27
"RPL13A",3.27456758603481e-31,-0.477198974087737,0.774,0.892,5.417444614336e-27
"RPL7",4.5388604971965e-31,-0.417269136643408,0.606,0.788,7.50909080656189e-27
"KRT7",1.05356164272342e-30,2.42250726310657,0.131,0.028,1.74301238172162e-26
"KRT17",1.32532997040505e-30,7.57225438261125,0.065,0,2.19262590303811e-26
"RPS3A",1.35216165277025e-30,-0.468999390286166,0.718,0.838,2.23701623834311e-26
"TFF3",2.1744442131149e-30,1.48791044340658,0.226,0.085,3.59740050617729e-26
"RNF213",4.97657802033624e-29,1.59544914696324,0.211,0.079,8.23325067684428e-25
"ISG15",5.24058302524228e-28,2.10471335233064,0.166,0.053,8.67002055696082e-24
"GLUL",1.57125483082971e-26,-1.05050597170796,0.155,0.32,2.59948399212467e-22
"RPL21",9.74076681019562e-26,-0.425632094116551,0.7,0.837,1.61151246107876e-21
"MYH9",1.27156848547082e-25,1.44631016614025,0.192,0.072,2.10368290236292e-21
"RPS18",1.6616998284904e-25,-0.457254026759918,0.841,0.905,2.74911619625452e-21
"CD55",1.84403572306006e-25,1.38960399837318,0.227,0.098,3.05077270023056e-21
"RPL15",3.94491617499841e-25,-0.460714809981238,0.701,0.82,6.52646931991737e-21
"KCNE2",6.62831877464086e-25,-1.97267939400049,0.037,0.147,1.09658905807658e-20
"RPL9",9.15414281540472e-25,-0.429704098839092,0.598,0.756,1.51446138738056e-20
"RPS8",1.91592919448941e-24,-0.415006757994942,0.78,0.856,3.16971325936327e-20
"RPS13",1.94100756425528e-24,-0.372864266108142,0.685,0.805,3.21120291430394e-20
"RPL10A",4.2861056080652e-24,-0.454493347887542,0.621,0.753,7.09093311798306e-20
"EEF1A1",5.67620217229897e-24,-0.302609917687583,0.866,0.927,9.39070887385141e-20
"RPL12",7.96204074205358e-24,-0.3693612325457,0.772,0.878,1.31724002036534e-19
"MUC6",1.00470097078271e-23,-0.82920596571457,0.111,0.255,1.66217728606291e-19
"CD9",1.8877136590465e-23,1.45315078278537,0.239,0.113,3.12303347752653e-19
"CEACAM5",1.92664968525474e-23,2.63505395284548,0.083,0.013,3.18744923928544e-19
"RPL18A",1.34059809415978e-22,-0.353730659782347,0.797,0.88,2.21788548697793e-18
"RPS27A",1.69008946252752e-22,-0.335322263246003,0.78,0.871,2.79608400680552e-18
"RPS2",2.59972135208524e-22,-0.426319837168501,0.77,0.874,4.30097900488982e-18
"CA9",2.80914656679438e-22,-1.85221187398855,0.038,0.139,4.64745208010462e-18
"RPL31",2.91806494418669e-22,-0.41869634843196,0.612,0.751,4.82764664366245e-18
"ANXA1",4.17904449740556e-22,1.92920214662768,0.149,0.052,6.91381121650776e-18
"CRIP1",4.67093055429284e-22,1.30699873686078,0.285,0.153,7.72758750902208e-18
"BST2",5.21376257917055e-22,2.26472935285087,0.098,0.022,8.62564881097976e-18
"ARPC1B",8.68636438097556e-22,1.31587506497952,0.2,0.086,1.4370721231886e-17
"RPL32",1.34593122493478e-21,-0.343340862819049,0.795,0.881,2.2267086185321e-17
"GAST",2.76548783094343e-21,-6.45551341815979,0.007,0.081,4.57522306751282e-17
"RPS9",2.83924000527895e-21,-0.349915332022979,0.721,0.834,4.6972386647335e-17
"PTPRC",3.58337680073349e-21,1.90874123346852,0.113,0.032,5.92833857913349e-17
"CTSE",4.58831405995731e-21,-0.732776642999925,0.196,0.351,7.59090678079338e-17
"RPS3",5.61762318757313e-21,-0.322558707023837,0.769,0.852,9.29379580152098e-17
"TMEM176A",7.66627429235336e-21,1.5982495911442,0.125,0.039,1.26830841892694e-16
"RPL35A",1.82208026576841e-20,-0.319837371243077,0.716,0.837,3.01444959168726e-16
"LCP1",3.85505933328329e-20,2.59428068894125,0.075,0.013,6.37781016098387e-16
"MSLN",3.89117283002376e-20,2.75933993521175,0.071,0.011,6.43755632999131e-16
"RPL18",7.90297236485365e-20,-0.352046676568852,0.718,0.826,1.30746774804139e-15
"RPS12",1.0052404461873e-19,-0.272218233319784,0.824,0.89,1.66306979417227e-15
"COX4I1",1.36561495070183e-19,-0.456312654741108,0.545,0.684,2.25927337444111e-15
"RPS15",1.49485621993965e-19,-0.303767218012092,0.818,0.901,2.47309013026815e-15
"SRGN",5.19587373089814e-19,1.9682597814249,0.145,0.056,8.59605350039788e-15
"PGA4",5.30482892416898e-19,-2.15055314855829,0.02,0.098,8.77630897214516e-15
"OLFM4",7.03087329803881e-19,0.403820170998143,0.156,0.06,1.16318767842754e-14
"RPL36",9.5269787926981e-19,-0.376589326670566,0.772,0.869,1.57614337146397e-14
"RPL39",1.28713632984941e-18,-0.345425214656967,0.776,0.87,2.12943834410287e-14
"RPS25",1.29881265711919e-18,-0.333299765434449,0.664,0.79,2.14875565993799e-14
"RPL6",1.43678961544299e-18,-0.383734590627842,0.626,0.736,2.37702473978889e-14
"RPL19",2.38438019214545e-18,-0.300150924357454,0.771,0.843,3.94471858988544e-14
"ID3",2.59734743203421e-18,-1.11341290356558,0.132,0.253,4.29705159155739e-14
"RPS15A",3.47387094690942e-18,-0.271761570039962,0.765,0.855,5.74717209456695e-14
"ZFP36L2",3.85473193449818e-18,0.765359576979458,0.358,0.228,6.37726851243379e-14
"CLDN4",7.67587800495214e-18,0.781540560776819,0.269,0.147,1.26989725713928e-13
"RSRP1",1.21956208263803e-17,1.17673315134027,0.185,0.086,2.01764350951636e-13
"LYPD2",1.47591767594982e-17,3.67090197054417,0.048,0.004,2.44175820309138e-13
"ADIRF",3.93299337531323e-17,-0.769848423730645,0.163,0.29,6.5067442401182e-13
"RPS23",4.42440832184668e-17,-0.305080882206478,0.715,0.812,7.31974112766315e-13
"S100A4",6.9131515367227e-17,2.18101925173688,0.108,0.036,1.1437117902354e-12
"S100A9",8.06266217961354e-17,6.3572414916404,0.036,0.001,1.33388683099526e-12
"MT1G",9.90030762795064e-17,-1.01656263348703,0.288,0.433,1.63790689396815e-12
"GNB2L1",1.03657875525253e-16,-0.620038431859512,0.306,0.44,1.71491589268978e-12
"CDKN2A",1.09489539201705e-16,3.04738622905362,0.054,0.008,1.811394936553e-12
"RPL5",1.24527079109689e-16,-0.361126390560917,0.527,0.659,2.06017599679069e-12
"MT1E",1.43530257082421e-16,-0.603607461514131,0.302,0.447,2.37456457317158e-12
"RPL27A",1.44785489983812e-16,-0.336058288066461,0.665,0.785,2.39533114629219e-12
"PDIA2",1.53143969721864e-16,-1.71212862388724,0.04,0.122,2.53361383507852e-12
"CLDN7",3.14185456608499e-16,1.11612987295737,0.168,0.077,5.19788419413102e-12
"CD74",3.39001038434058e-16,-0.507279983661531,0.459,0.586,5.60843317985306e-12
"TSPO",4.81274694139129e-16,-0.664238235770047,0.301,0.429,7.96220853983775e-12
"IL32",6.4525638510076e-16,1.13337768308729,0.224,0.121,1.0675121635107e-11
