"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IL8",4.01314688325599e-45,3.32345212211991,0.399,0.107,5.16010426249055e-41
"FTH1",2.32999164390992e-33,1.93551584426762,0.886,0.784,2.99590325573937e-29
"TIMP1",1.34679421592231e-30,3.1830446806769,0.533,0.306,1.7317080028329e-26
"SPP1",2.79751612056471e-30,4.30304445678753,0.167,0.01,3.59704622782211e-26
"HBB",1.40765333609813e-29,3.67269052690744,0.22,0.06,1.80996065955497e-25
"SOD2",6.40395559554461e-28,2.12594725046616,0.53,0.296,8.23420610475126e-24
"C15orf48",1.15605028054997e-27,2.78727395509607,0.416,0.158,1.48644945073115e-23
"CXCL5",1.7522051869097e-23,8.50305429783356,0.097,0,2.2529854293285e-19
"HBA2",3.92246324921316e-23,4.09068066252824,0.154,0.033,5.04350324583828e-19
"MMP1",5.18459209406795e-22,7.89413706496068,0.094,0,6.66634851455257e-18
"SRGN",1.59836011463282e-21,1.30408988521656,0.713,0.528,2.05517143539488e-17
"IGJ",2.34591274229109e-21,-3.31739588968596,0.246,0.382,3.01637460403788e-17
"CCL3L3",5.01000017821732e-21,4.18184593109328,0.132,0.01,6.44185822915183e-17
"PGA3",7.72017268661311e-20,-3.89445579416552,0.007,0.109,9.92659804044713e-16
"CXCL1",7.91662785596447e-20,5.32880337098846,0.12,0.006,1.01792000971991e-15
"RPS2",3.94991577417491e-19,-0.574811266263278,0.683,0.875,5.0788017024341e-15
"LGALS1",6.29921829125123e-19,1.1862288576911,0.642,0.441,8.09953487889083e-15
"FCER1G",6.57589452656903e-19,1.29475013686798,0.596,0.382,8.45528518226246e-15
"PGC",8.21708318364558e-19,-2.52047443039616,0.068,0.222,1.05655255575315e-14
"CTSL",1.56802908535967e-18,2.26807051481526,0.221,0.053,2.01617179795546e-14
"HBA1",1.88288226190634e-18,5.93099228582021,0.083,0.002,2.42101001235918e-14
"IL1RN",2.51424479883428e-18,2.63014648744379,0.266,0.088,3.23281596234112e-14
"FNDC3B",4.9322243654039e-17,3.87423750752298,0.112,0.006,6.34185408903634e-13
"RP11-290F20.3",3.87430776049004e-16,5.32880337098846,0.072,0,4.98158491843809e-12
"TNIP3",8.46563002747253e-16,5.48858381502523,0.074,0,1.08851070893242e-11
"SDC2",1.19934385240808e-15,3.75161822085902,0.101,0.008,1.54211632542631e-11
"SAT1",1.21674866877596e-15,0.965204272064295,0.697,0.55,1.56449543831213e-11
"CXCL3",6.56270889319516e-15,2.19232945071662,0.248,0.086,8.43833109487034e-11
"CD44",6.27756581804081e-14,1.54647478693709,0.368,0.197,8.07169412883687e-10
"AL928768.3",3.54374387102335e-13,-4.49114758746878,0.001,0.053,4.55654586936182e-09
"CCL3",3.59143288744389e-13,2.23558713590784,0.399,0.232,4.61786440667536e-09
"CLEC5A",1.04447399239696e-12,4.89193950925644,0.057,0,1.34298465942401e-08
"IER3",1.41281322599403e-12,1.1542837954689,0.384,0.22,1.81659524598313e-08
"CXCL2",2.8961047421978e-12,1.9283527802986,0.316,0.162,3.72381147751793e-08
"HSPA1B",3.9189543579963e-12,2.07223740952139,0.265,0.123,5.03899151351164e-08
"ERO1L",5.67786296455893e-12,4.8197897235006,0.05,0,7.30059619982987e-08
"CD79A",7.24909993264633e-12,-1.72864690119544,0.033,0.125,9.32089269339665e-08
"S100A9",1.26205587312971e-11,1.64955980923017,0.367,0.211,1.62275144167019e-07
"MALAT1",2.11235613890009e-11,0.853772323210665,0.869,0.784,2.71606752339774e-07
"PTGS2",2.79636741648925e-11,2.08556169190323,0.193,0.068,3.59556922412187e-07
"IL1B",3.58078013621739e-11,1.33250175432954,0.373,0.232,4.60416709914832e-07
"LIPF",5.31151615588386e-11,-2.32663608221283,0.03,0.117,6.82954747323546e-07
"HMGB1",6.83421653886729e-11,-0.915800449778253,0.309,0.411,8.78743562567556e-07
"RP11-701P16.5",8.29022417599632e-11,4.80117404533326,0.045,0,1.06595702454961e-06
"RPS6",1.04876561406127e-10,-0.468276752888701,0.723,0.844,1.34850282655998e-06
"RPL3",1.26450034993883e-10,-0.442772519003533,0.684,0.817,1.62589454995134e-06
"SLC7A11",1.37631496139913e-10,3.52307219141052,0.068,0.006,1.76966577736701e-06
"S100A11",1.75057141765545e-10,0.719296120417428,0.601,0.456,2.25088472882138e-06
"CD63",2.51013620298834e-10,0.981547756059097,0.413,0.261,3.22753312980241e-06
"SERPINB9",2.70325625041042e-10,1.30129038295867,0.239,0.107,3.47584688677771e-06
"WTAP",2.71248160329267e-10,1.86020951563021,0.186,0.072,3.48770884551371e-06
"C19orf59",3.77074167002418e-10,4.72421206351837,0.047,0,4.84841963931709e-06
"SLC16A10",3.85651816442201e-10,4.02624060096803,0.059,0.002,4.95871105581382e-06
"ATP13A3",3.95851675157507e-10,2.01438044575797,0.137,0.037,5.08986083917523e-06
"EMP1",4.51005470499434e-10,3.3672775188031,0.072,0.006,5.79902833968172e-06
"CTSB",7.8221492404292e-10,0.898441075198395,0.37,0.226,1.00577194933439e-05
"ABR",1.0023628117289e-09,0.856315599525718,0.01,0.002,1.28883810332102e-05
"MARCO",1.05856595537613e-09,3.62185034588869,0.062,0.004,1.36110410542262e-05
"IGLL5",1.28512396912756e-09,-1.59293665926855,0.139,0.24,1.65241239950421e-05
"CCL4",1.53888234680861e-09,1.31007846807632,0.314,0.17,1.97869492152651e-05
"HIST2H2AA3",1.67039169015888e-09,-1.35869729144513,0.009,0.004,2.14778963520629e-05
"CCL20",1.74390898659604e-09,3.38556866766059,0.188,0.082,2.24231817496519e-05
"INHBA",1.91218882325012e-09,3.41213175458736,0.074,0.008,2.45869238893501e-05
"RPL6",1.97161711551858e-09,-0.441633632427205,0.571,0.725,2.53510528713379e-05
"BCL2A1",2.47112147702387e-09,1.11771336872241,0.377,0.24,3.1773679951573e-05
"ATP2B1-AS1",3.15373098624792e-09,-2.37541468639007,0.022,0.103,4.05506730211758e-05
"PDE4DIP",3.98848832296818e-09,2.89895993693421,0.073,0.008,5.12839828567249e-05
"HSPA1A",4.27792067223399e-09,1.314754359127,0.349,0.218,5.50055040035847e-05
"ACTG1",4.71781236433569e-09,-0.554149169963302,0.557,0.655,6.06616313806283e-05
"NEAT1",4.82334264290902e-09,0.86108484367359,0.516,0.396,6.20185397025242e-05
"SDCBP",4.85001559743698e-09,1.03212759324745,0.357,0.211,6.23615005518447e-05
"RPS18",7.1548823446483e-09,-0.339095155091736,0.821,0.912,9.19974771874878e-05
"VEGFA",7.23928579014529e-09,1.86530438275297,0.113,0.031,9.30827366896882e-05
"TMSB4X",1.31362112516608e-08,-0.405247236062527,0.952,0.982,0.000168905404273855
"CTB-61M7.2",1.56486203815277e-08,4.26230795920155,0.036,0,0.000201209960865683
"C1orf56",1.96967331385023e-08,3.80117404533326,0.048,0.002,0.000253260594694863
"RPS23",2.30770278966303e-08,-0.333465713748238,0.717,0.842,0.000296724424694872
"RPL19",3.44831472583693e-08,-0.366650800350582,0.739,0.834,0.000443384307448112
"HMGN2",3.56033933743139e-08,-0.853428525905464,0.261,0.361,0.000457788432006928
"ANXA5",3.82041006298754e-08,0.850701993062192,0.328,0.195,0.000491228325898938
"OLR1",4.16431230823954e-08,1.57214242663377,0.154,0.06,0.000535447276593439
"RPL18A",5.25563456380577e-08,-0.400445235132461,0.761,0.846,0.000675769492214146
"FTL",6.19216634902823e-08,0.492841689112269,0.833,0.786,0.00079618874915805
"RPS7",6.95478966123389e-08,-0.427105219080105,0.613,0.737,0.000894246854641453
"RPS3",7.11425876319931e-08,-0.361856729598136,0.708,0.809,0.000914751391772167
"RPL35",7.37881546658992e-08,-0.41856936329155,0.658,0.723,0.000948768092694132
"VIM",7.71765245638396e-08,0.504111921396519,0.593,0.462,0.00099233575284185
"S100A8",7.98977073718813e-08,1.59784078531938,0.285,0.162,0.00102732472138765
"SPHK1",8.10203277755781e-08,2.63872416445309,0.062,0.008,0.00104175937453838
"WBP5",8.50516478411975e-08,3.68413462414304,0.044,0.002,0.00109359408794212
"RPL12",8.5410716364567e-08,-0.343669406991419,0.716,0.836,0.0010982109910156
"S100A10",9.33557107037952e-08,0.700065534980482,0.448,0.329,0.0012003677282294
"PVRL2",9.94693168705279e-08,4.08897635631599,0.033,0,0.00127897647632125
"B2M",1.00682173284455e-07,0.322418603901435,0.951,0.881,0.00129457138409153
"IL1A",1.04028882182754e-07,3.78231501808194,0.047,0.002,0.00133760336710585
"SLAMF9",1.04874377584429e-07,4.17824369441308,0.032,0,0.00134847474698059
"RPLP0",1.12281459856605e-07,-0.515132631205443,0.534,0.647,0.00144371501083623
"TUBA1B",1.57825228528055e-07,-0.707252801291371,0.327,0.392,0.00202931678841374
"MLTK",1.59112160591001e-07,3.96065225934045,0.031,0,0.0020458641608791
"RPL15",1.69536638910666e-07,-0.356630258144639,0.735,0.83,0.00217990210311334
"RPL10A",1.81132531022928e-07,-0.438645447761375,0.538,0.676,0.00232900208389281
"AK4",2.0152937611769e-07,3.96065225934045,0.029,0,0.00259126471812126
"MMP14",2.06836074545715e-07,2.87067089250279,0.062,0.008,0.0026594982465088
"NUMB",2.33785173671832e-07,2.2758544910395,0.076,0.014,0.00300600976307242
"NAMPT",2.45229634460285e-07,1.02727442046113,0.343,0.224,0.00315316263989035
"CORO1A",2.49337909984794e-07,-0.700077748998667,0.288,0.417,0.00320598684658448
"RPS8",2.52927061339492e-07,-0.329199738557466,0.721,0.836,0.00325213615470319
"CD37",2.56912441895026e-07,-0.984986654455224,0.124,0.238,0.00330338017788625
"RGS13",3.0044359432115e-07,-2.13303715627477,0.018,0.074,0.00386310373578135
"MZB1",3.63948014291044e-07,-2.41047094116918,0.027,0.064,0.00467964356775424
"TAB2",3.86753141563077e-07,3.99381912327565,0.032,0,0.00497287189421804
"RPL8",4.46060094658718e-07,-0.355613217358375,0.728,0.813,0.00573544069712179
"MMP10",4.9621552269156e-07,4.85631559952572,0.026,0,0.00638033919076808
"RPL23A",5.24396221186712e-07,-0.407353097389249,0.651,0.737,0.00674268661201874
"RPL27A",5.41621581262568e-07,-0.362171376459147,0.613,0.702,0.0069641702918741
"MT2A",6.04803650257574e-07,1.22861018880225,0.326,0.218,0.00777656533501189
"PTMA",6.36384088846508e-07,-0.393579694680911,0.862,0.891,0.0081826266143884
"MT-CO1",6.46483999586564e-07,0.407560051027587,0.923,0.875,0.00831249126668405
"BHLHE40",6.5451841621176e-07,1.24220675314505,0.139,0.057,0.0084157977956508
"BCAT1",8.04933947626575e-07,2.17181742525365,0.077,0.016,0.0103498406985825
"CSTB",8.34591228537256e-07,1.15198100959948,0.287,0.187,0.010731174016532
"EMP3",1.0027170486616e-06,0.827169253866201,0.32,0.207,0.0128929358116908
"SSR4",1.00341181117625e-06,-0.696432276330268,0.21,0.218,0.0129018690681042
"PLAUR",1.03757935876574e-06,0.710067180806475,0.338,0.226,0.0133411953950099
"P4HA1",1.06100529537466e-06,2.76320619513424,0.052,0.006,0.0136424060879274
"RPS4X",1.10253408662826e-06,-0.346526605241443,0.72,0.803,0.0141763832858661
"RPS19",1.20443792065006e-06,-0.315561697772148,0.874,0.918,0.0154866627837185
"GLUL",1.24794172698385e-06,0.810198132761056,0.268,0.17,0.0160460347255583
"NFKBIA",1.27458296350358e-06,0.555449120166185,0.494,0.37,0.016388587744729
"LGALS2",1.48769109781804e-06,-1.02692372801816,0.108,0.195,0.0191287321357443
"STMN1",1.50381453025623e-06,-1.04577400981898,0.145,0.228,0.0193360472300346
"IL7R",1.54455757312571e-06,2.09732369902951,0.08,0.021,0.0198599212752504
"RPL5",1.55755997212784e-06,-0.462037041137817,0.457,0.593,0.0200271061216197
"RPS3A",1.85344225914063e-06,-0.280291522163936,0.727,0.838,0.0238315605680303
"MARCKS",1.89934120936114e-06,1.11519836208904,0.204,0.107,0.0244217292699656
"TYROBP",2.02441013196418e-06,0.417678545903856,0.625,0.499,0.0260298654767955
"ZFAND2A",2.10130432715851e-06,2.88488475172249,0.057,0.008,0.0270185710386041
"RPS14",2.19040545091478e-06,-0.274194720803251,0.805,0.889,0.0281642332878623
"S100A6",2.28303185987156e-06,0.606431299501083,0.555,0.444,0.0293552236542286
"PMP22",2.41167219630235e-06,2.02624060096803,0.065,0.014,0.0310092811000557
"RPL18",2.54229042358626e-06,-0.349528976171537,0.638,0.719,0.0326887702664721
"IER5",2.62289770931216e-06,1.94532060558446,0.078,0.021,0.0337252187463357
"ACTN1",2.67817668040482e-06,1.97917234731125,0.071,0.016,0.0344359957566452
"DUSP4",2.69625723512266e-06,1.60763648666899,0.072,0.021,0.0346684755292071
"FOS",2.78882444111652e-06,-0.463935917554261,0.303,0.444,0.0358587046638762
"CHIC2",2.92775300155871e-06,1.94377844077606,0.06,0.012,0.0376450480940419
"MT-CO2",3.52031516800941e-06,0.35280479910047,0.911,0.844,0.0452642124302651
"ATP5L",3.78357750712793e-06,-0.629111227644524,0.249,0.316,0.048649239586651
"ABCA1",3.95772006596214e-06,1.68122889296763,0.088,0.027,0.0508883646081412
"RPL7",4.35842527877277e-06,-0.399133875988513,0.613,0.713,0.0560406322344603
"FCGR2A",4.38309646416344e-06,1.03481649514784,0.158,0.078,0.0563578543362135
"RPL13A",4.48053308917183e-06,-0.334393377976367,0.756,0.799,0.0576106944605714
"YWHAG",4.59684038633142e-06,2.16997607842948,0.063,0.012,0.0591061736874494
"NT5E",5.34920704095985e-06,3.66367052158332,0.024,0,0.0687801041326618
"HMGB2",5.71299373723775e-06,-0.997933516341571,0.14,0.222,0.0734576734734029
"G0S2",5.88242722898642e-06,0.725002364847853,0.314,0.211,0.0756362493103074
"TNFAIP6",5.94323156646554e-06,2.24333872263496,0.12,0.047,0.0764180714816139
"RALA",6.11381478935429e-06,1.4088566225545,0.08,0.027,0.0786114305615175
"ABL2",7.32904250778473e-06,2.42191277537994,0.052,0.008,0.0942368285650961
"MMP3",7.88368359951646e-06,3.57878162399681,0.022,0,0.101368403722583
"RIN2",8.64882040045272e-06,2.53438750463836,0.051,0.008,0.111206532709021
"RPS13",9.1528448268617e-06,-0.251599739641169,0.678,0.795,0.117687278783788
"MTRNR2L1",9.19014501912074e-06,3.53438750463835,0.023,0,0.118166884655854
"MMP19",9.45226929760375e-06,1.57001141436908,0.059,0.016,0.121537278628589
"CST3",9.4697972969899e-06,-0.567730205372831,0.487,0.556,0.121762653644696
"RPL7A",9.85213102102344e-06,-0.363205346388073,0.541,0.661,0.126678700668319
"ANPEP",1.00364631381481e-05,1.57001141436908,0.086,0.027,0.129048843030309
"GAST",1.01718446186591e-05,-2.9801856681914,0.004,0.033,0.130789578106719
"NINJ1",1.03351483561166e-05,0.856315599525718,0.21,0.121,0.132889337562948
"RPS5",1.08464071482571e-05,-0.400439036356577,0.564,0.663,0.13946310311229
"CD74",1.09812475483255e-05,-0.458609107623882,0.714,0.786,0.14119688097637
"XIST",1.11278418486412e-05,1.91905135487368,0.068,0.016,0.143081790489829
"KYNU",1.14205278895623e-05,1.36155090777614,0.137,0.06,0.146845147603993
"SNAPC1",1.15964304191774e-05,2.97179281694565,0.041,0.004,0.149106902329782
"ARL4C",1.15977347021548e-05,1.15731785555853,0.108,0.049,0.149123672800306
"ANXA1",1.18277769548272e-05,0.788350004975674,0.297,0.201,0.152081556085169
