"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PGA3",4.30372452516631e-46,-5.05017647195246,0.012,0.369,3.63234349924037e-42
"TPSB2",2.62214746706274e-40,-1.37389880448536,0.3,0.651,2.21309246220095e-36
"TPSAB1",4.78399074971258e-40,1.08544822093365,0.994,0.98,4.03768819275742e-36
"MALAT1",2.62904025161729e-36,0.835039479738743,1,1,2.21890997236499e-32
"TPSD1",5.0483238076792e-33,-1.39968718984529,0.282,0.618,4.26078529368125e-29
"RACK1",1.56050512966205e-32,-1.39886447725869,0.267,0.582,1.31706632943477e-28
"TMSB4X",2.85312171292355e-30,1.0496044460446,0.961,0.867,2.40803472570748e-26
"ATP5MC2",3.37291448106158e-27,-1.59642316555768,0.179,0.482,2.84673982201598e-23
"AREG",5.60034314098634e-26,-1.29750679503881,0.227,0.518,4.72668961099247e-22
"RPS29",1.31044468724155e-25,1.02906586249291,0.782,0.59,1.10601531603187e-21
"AC020916.1",6.91456826961672e-25,-1.86336530797815,0.139,0.434,5.83589561955651e-21
"MT-ND4L",1.92206898657307e-24,-1.12056579984386,0.458,0.695,1.62222622466767e-20
"RPL41",2.67528337749674e-24,0.761730219643797,0.897,0.819,2.25793917060725e-20
"MT-ATP8",2.66197638736566e-21,-1.29669579100324,0.23,0.474,2.24670807093662e-17
"B2M",4.07768319576591e-21,0.752475774990088,0.967,0.972,3.44156461722642e-17
"RPL34",1.64022751386724e-20,0.466758822102706,0.976,0.98,1.38435202170395e-16
"ATP5MG",2.40475891487204e-20,-1.59074485331516,0.13,0.357,2.029616524152e-16
"RPS27",2.72500679685349e-20,0.562675815373009,0.955,0.904,2.29990573654434e-16
"SARAF",5.83462833025668e-20,-1.29489899950931,0.212,0.438,4.92442631073664e-16
"RPS18",9.82716108319333e-20,0.719210599906124,0.924,0.896,8.29412395421517e-16
"GABARAP",2.13497606528258e-19,-1.46076806620011,0.176,0.418,1.8019197990985e-15
"EEF1G",2.23408676808637e-19,-1.32016363842802,0.194,0.414,1.88556923226489e-15
"RNASEK",3.676376729562e-19,-1.70050338658219,0.118,0.341,3.10286195975033e-15
"PTMA",5.6957288397793e-19,0.536194223161505,0.979,0.964,4.80719514077373e-15
"CSF1",1.37387530007796e-18,-1.77369134782626,0.136,0.378,1.1595507532658e-14
"LIPF",1.65537556085412e-18,-3.64732838168153,0.03,0.273,1.39713697336088e-14
"NME2",1.00501113461068e-17,-1.45362599695609,0.121,0.325,8.48229397611415e-14
"TNFAIP3",1.37891808431323e-17,-1.07874562414923,0.288,0.554,1.16380686316036e-13
"CAVIN2",1.56462522514275e-17,-2.17570735403632,0.061,0.265,1.32054369002048e-13
"RPS26",2.35852707381804e-17,-1.06554612639437,0.436,0.739,1.99059685030243e-13
"RPL13A",6.2565485492437e-17,0.704025827139051,0.842,0.743,5.28052697556169e-13
"DUSP2",1.44551973290458e-15,-1.64732838168153,0.109,0.301,1.22001865457147e-11
"MT-ND6",1.4730042498435e-15,-1.85212003522727,0.082,0.281,1.24321558686792e-11
