"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","test","log10_padj","category"
"ATP5E",2.84732311665707e-11,1.67614187801424,0.309,0.104,2.40314071045856e-07,"MAST",6.61922079932236,"Up"
"ATP5G2",5.42861588938243e-11,1.26461544165327,0.315,0.116,4.58175181063877e-07,"MAST",6.33896843984967,"Up"
"CD52",7.17853797937705e-11,1.41184139483645,0.427,0.181,6.05868605459423e-07,"MAST",6.2176215509347,"Up"
"UQCR11.1",1.19312179682779e-09,2.05311133645956,0.212,0.048,1.00699479652265e-05,"MAST",4.99697277358475,"Up"
"RP11-354E11.2",1.33372917694637e-08,1.95624979720697,0.197,0.052,0.000112566742534274,"MAST",3.94858990137884,"Up"
"ATP5L",1.50580745153434e-08,1.22839525374052,0.282,0.116,0.000127090148909498,"MAST",3.89588811144482,"Up"
"APOE",6.09481153253191e-08,2.14116751312476,0.188,0.036,0.000514402093345693,"MAST",3.28869727273035,"Up"
"MT2A",2.51240644375311e-07,2.4220196650092,0.336,0.133,0.00212047103852762,"MAST",2.67356765477397,"Up"
"SELK",5.05977417725545e-07,1.36355993446121,0.264,0.112,0.0042704494056036,"MAST",2.36952641909588,"Up"
"C1orf186",1.08311404569764e-06,1.9996720774981,0.145,0.036,0.00914148254568807,"MAST",2.03898336562299,"Up"
