"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PGC",1.5788897670005e-95,-0.98138138262212,0.245,0.505,2.08002937904646e-91
"LIPF",3.4161657527973e-73,-2.41380472200341,0.102,0.294,4.50045676273517e-69
"GAST",1.46600072259134e-68,-2.40129743951888,0.033,0.171,1.93130935194183e-64
"PGA3",1.22951141813456e-25,-1.64780675680811,0.023,0.08,1.61975834225047e-21
"PSCA",8.19889107668997e-24,-1.92408060376313,0.028,0.092,1.08012191044314e-19
"LYZ",1.46841805299213e-23,-0.842356332314609,0.194,0.292,1.93449394301183e-19
"IL8",6.18001728447911e-22,4.59613790921951,0.044,0.005,8.14155477057279e-18
"REG3A",5.27894194754272e-21,-1.21107793778705,0.089,0.156,6.95447812169278e-17
"LTF",6.3173772034413e-21,-2.04853313233677,0.025,0.079,8.32251272781357e-17
"IGJ",2.0163064135662e-18,-0.25837502722089,0.847,0.919,2.65628206923211e-14
"REG4",1.2705723928725e-17,2.18727143388442,0.066,0.02,1.67385207037024e-13
"APOA1",3.9039442279251e-17,-2.8998382151656,0.007,0.044,5.14305612586853e-13
"ATP4A",7.16021231456549e-17,-4.0839285325175,0.001,0.026,9.43286370320858e-13
"UBC",7.31274914752612e-16,-0.336009188874771,0.826,0.851,9.63381572695092e-12
"TSC22D3",2.80024291611281e-15,-0.377252630212054,0.666,0.721,3.68904001768702e-11
"IGHG1",3.61552489999463e-15,2.50816082984542,0.055,0.014,4.76309250325293e-11
"OLFM4",7.69719416279797e-15,2.10819986289322,0.051,0.012,1.014028359007e-10
"HSPB1",7.78124284217564e-14,-0.625518637751913,0.342,0.407,1.02510093202822e-09
"GIF",7.98691267527159e-14,-4.29665785650322,0.001,0.021,1.05219587584028e-09
"GKN1",1.38210200492327e-12,-1.53565632688151,0.03,0.075,1.82078118128591e-08
"MT-CO3",4.90330522030686e-12,-0.286257533612312,0.917,0.929,6.45961429723226e-08
"SASS6",6.19683837717603e-12,-1.92742404683751,0,0.005,8.1637148780917e-08
"GHRL",2.28289763632997e-11,-0.266394888200758,0.069,0.109,3.0074893461011e-07
"IFI6",2.89895160856949e-11,0.778447778227133,0.17,0.113,3.81907884912945e-07
"APOC3",4.08727001381814e-11,-2.65324908339851,0.005,0.03,5.38456951620402e-07
"CKB",5.68256268421645e-11,-2.26132478339094,0.007,0.031,7.48620808018675e-07
"MED14",6.40477396637748e-11,-1.75749904539519,0,0.004,8.4376492233057e-07
"ATP4B",8.23427720347221e-11,-5.29665785650322,0,0.012,1.08478367878543e-06
"GKN2",9.06294524168562e-11,-1.63637526483411,0.022,0.056,1.19395240613966e-06
"CXCR4",1.23236086575789e-10,0.978343391812077,0.095,0.048,1.62351220454944e-06
"JCHAIN",3.75445202057425e-10,0.769210089986184,0.139,0.074,4.94611509190452e-06
"PI3",6.06274119896167e-10,2.82746345532596,0.019,0.003,7.9870552555121e-06
"KCNE2",6.84805422003203e-10,-3.64014209475703,0.001,0.016,9.0216266294702e-06
"CCND2",7.55129844994213e-10,1.76647282543682,0.04,0.013,9.94808057795377e-06
"UBB",8.9741077088647e-10,-0.314214463792984,0.626,0.642,1.18224894956584e-05
"AL928768.3",1.39768321634399e-09,-0.39686352956916,0.468,0.557,1.84130786921157e-05
"JUN",2.21252643913409e-09,-0.309386852444134,0.781,0.805,2.91478233091526e-05
"IGHV4-39",4.4355141156125e-09,3.04220230411898,0.022,0.003,5.84334629590791e-05
"S100A6",5.69853390600134e-09,0.482012637585178,0.378,0.312,7.50724856776617e-05
"RACK1",5.91424998844095e-09,0.947045071078636,0.135,0.068,7.79143293477211e-05
"FOS",7.47136791263036e-09,-0.28815495910258,0.655,0.7,9.84278008809924e-05
"REG1A",7.48271769035753e-09,-0.675277957146447,0.081,0.127,9.85773228527701e-05
"LY6E",7.74513475335000e-09,0.857616289332564,0.115,0.065,0.000102034405240633
"IFITM1",8.41922004966425e-09,1.34878574774402,0.069,0.029,0.000110914804934277
"SNORD3D",1.2020143147852e-08,-1.55451202323134,0.012,0.037,0.000158353365829802
"SELENOK",1.30651760209374e-08,0.962136670233097,0.121,0.059,0.000172120628899829
"ATP5MC2",1.37184804063649e-08,0.993821841748084,0.119,0.058,0.000180727260873451
"CYSTM1",1.53522340244009e-08,-0.658237414022115,0.093,0.139,0.000202250331037458
"CCNI",1.57945204770545e-08,0.395763493822456,0.311,0.233,0.000208077012764716
"S100A8",1.98352093787961e-08,6.32996379585515,0.009,0,0.000261309048356259
"PRSS1",2.01379706726856e-08,3.93055694829007,0.013,0.001,0.00026529762564196
"SELENOS",2.31631610509143e-08,1.09770054731811,0.102,0.047,0.000305151483684746
"ATP5MG",2.45788158882081e-08,0.883904149670049,0.118,0.06,0.000323801320511253
"ATG16L1",2.69368911783086e-08,2.39450404804986,0.004,0,0.000354866604383037
"STX3",4.388785969266e-08,-1.21693066403249,0,0.003,0.000578178663591103
"NME2",5.08023190368462e-08,0.956155900479144,0.13,0.067,0.000669269750991411
"FOSB",6.12192897176542e-08,-0.278735948505961,0.456,0.526,0.000806502922740376
"HSPA1B",7.52738402361481e-08,-0.389767260894705,0.376,0.436,0.000991657571271015
"IGLV3-1",8.34897663653655e-08,1.23339874749756,0.064,0.024,0.00109989418209733
"IL1B",9.51856499332863e-08,4.43012795778058,0.012,0.001,0.00125397575222111
"DUSP6",1.30667733169077e-07,-1.2910623936097,0.019,0.045,0.00172141671676942
"MIF",1.79007525552916e-07,0.343341644111635,0.475,0.402,0.00235824514163411
"SARAF",1.82920008798202e-07,1.01661954718848,0.115,0.057,0.00240978819590752
"SPP1",2.09630493362587e-07,7.87670697434581,0.008,0,0.00276167211955872
"RNASE1",2.17529186040836e-07,-1.34246154611635,0.015,0.038,0.00286572949690198
"IGHG3",3.09128881096491e-07,1.89854655338745,0.038,0.011,0.00407246387956518
"SCGB3A1",3.48968152446369e-07,4.56442904949217,0.006,0,0.00459730644032846
"NQO1",3.95077476744366e-07,-1.45026483565086,0.012,0.033,0.00520475067863028
"IGHG4",4.92769983801363e-07,2.56442904949217,0.024,0.005,0.00649175176659915
"TENT5C",5.4404255830172e-07,0.996675838803237,0.099,0.048,0.00716721666306686
"VSIG2",7.96171109908293e-07,-1.19256611563329,0.016,0.036,0.0104887582019319
"TYMP",8.06968617530235e-07,0.461247442636447,0.192,0.139,0.0106310045673433
"MRPS24",8.44713247970394e-07,1.10145707314962,0.08,0.038,0.011128252328762
"TFF1",8.92833131010752e-07,-0.435699024993323,0.204,0.258,0.0117621836679357
"PCNX1",1.30470390413487e-06,2.0725759531625,0.003,0,0.0171881692330727
"MT-ATP8",1.55139060959891e-06,0.791714550356827,0.162,0.096,0.0204380198908561
"HEATR3",1.59350125869507e-06,2.0725759531625,0.003,0,0.0209927855820489
"IGKV3OR2-268",1.66311269572278e-06,2.32996379585515,0.021,0.004,0.0219098466534519
"EIF1AY",2.15782158898664e-06,0.732945856541674,0.092,0.057,0.0284271416133099
"APOA4",2.54778759555056e-06,-1.84942153483623,0.007,0.024,0.0335645537837831
"ACTA2",2.5667033281555e-06,1.99634036733541,0.018,0.005,0.0338137496451206
"MYDGF",3.0415238312278e-06,1.02083698319087,0.104,0.054,0.0400690349525951
"IER2",3.32777218558712e-06,-0.363911360657625,0.56,0.592,0.0438400707729247
"TFF3",3.40394995028282e-06,1.10257069346033,0.057,0.028,0.0448436366450259
"CLU",3.42390777774594e-06,-1.30824583077844,0.013,0.03,0.045106561064025
"C15orf48",5.56459776747138e-06,2.05283973510123,0.032,0.013,0.0733080109886679
"ATP6V1F",6.23816881447763e-06,0.510453428799451,0.162,0.118,0.0821816359619283
"CXCL17",6.51613373858641e-06,-1.18634234419907,0.017,0.037,0.0858435458721374
"LMAN1",6.57918103360442e-06,0.334189684296662,0.316,0.257,0.0866741309367047
"ALDH1A1",7.1725596204165e-06,-1.544095407286,0.008,0.024,0.0944913004393669
"SELENOH",7.28345523337113e-06,1.23763519943299,0.062,0.026,0.0959522392444313
"ADCK4",7.56583311330769e-06,3.32050346660608,0.008,0.001,0.0996722854347155
"ATP6V0C",8.20665737375226e-06,1.06992149971652,0.078,0.037,0.108114504241812
"TMC4",8.61013685454632e-06,-3.73477896889511,0,0.006,0.113429942921793
"USP18",9.61310670517244e-06,3.04985587666241,0.009,0.001,0.126643067733942
"CTSE",1.02287975326902e-05,-1.20495802236641,0.014,0.033,0.13475417869566
"IGKV1D-39",1.03274015596398e-05,2.0924755106002,0.019,0.004,0.136053188146695
"GRN",1.04250950149948e-05,0.574282950234299,0.129,0.088,0.137340201727541
"IGKC",1.06580042547816e-05,1.00494208567408,0.092,0.046,0.140408548052493
"MIR24-2",1.15814321957429e-05,-0.49140483981234,0.122,0.167,0.152573787746716
"IFITM3",1.16254084626761e-05,1.02632036220162,0.052,0.027,0.153153131087295
"EEF1G",1.17398168053004e-05,0.836076585630672,0.131,0.073,0.154660346593027
"ATP5IF1",1.18591166066476e-05,0.924477314173361,0.066,0.032,0.156232002175976
"IGFBP7",1.25895375223551e-05,1.30465743066738,0.031,0.013,0.165854567319506
"AKR7A3",1.27115744586282e-05,-1.60549595195014,0.006,0.019,0.167462281917968
"CXCL5",1.39526274768038e-05,7.50302850482803,0.005,0,0.183811914379413
"PIGR",1.40622745744328e-05,-0.5196545480227,0.069,0.099,0.185256405243577
"ZNF90",1.41934917244361e-05,-1.00704121490087,0.021,0.042,0.186985059977721
"COLCA1",1.49899867099891e-05,-3.73477896889511,0,0.006,0.197478084917396
"ARHGAP45",1.74785532392737e-05,1.82746345532596,0.007,0.001,0.230262460374191
"NDUFV2",1.76420151970177e-05,0.314082066078978,0.19,0.148,0.232415908205511
"ATP5F1E",1.80801088994516e-05,0.885533581449475,0.114,0.062,0.238187354641375
"CD38",2.36679516142029e-05,0.438408204747501,0.201,0.156,0.311801594565508
"ATP5MF",2.63429675278448e-05,1.22542744124587,0.054,0.023,0.347042254211827
"PPP1R15A",2.64918975483699e-05,-0.270732568103453,0.49,0.511,0.349004258302225
"ATP5PF",2.82809027352123e-05,0.991957492954211,0.076,0.037,0.372572612633687
"TPM4",3.09507936156268e-05,0.533989101648479,0.162,0.112,0.407745755092268
"FCRLB",3.18936373284831e-05,2.02010853326836,0.008,0.001,0.420166778165436
"CTC-250I14.6",3.31260073482236e-05,-3.14981646817395,0,0.007,0.436402020805497
"CAPS",3.48061006008668e-05,-3.66438964100371,0,0.005,0.458535569315819
"PIM1",3.67382576542471e-05,0.381065673725054,0.145,0.106,0.483989806337052
"CSTB",3.6911974825478e-05,0.499997176897171,0.18,0.131,0.486278356350847
"NSD3",3.74277907505137e-05,1.0518173929957,0.04,0.018,0.493073715347267
"NUP58",3.87687330112924e-05,1.65753845388365,0.008,0.001,0.510739288690766
"RP5-827C21.4",3.90472322124535e-05,-2.88678206234016,0.001,0.009,0.514408237166862
"ITM2B",4.09376872287901e-05,0.272320166239527,0.342,0.286,0.539313091552081
"AZGP1",4.18434314931452e-05,-2.02695972038842,0.002,0.012,0.551245366490694
"LCP1",4.58709913419427e-05,1.59613790921951,0.02,0.006,0.604304439938754
"NEU1",4.67706949492098e-05,0.532396700606168,0.132,0.091,0.61615713526089
"CPA2",4.74195890269312e-05,-3.73477896889511,0,0.005,0.624705665840791
"CHD8",4.7667596226889e-05,2.79504197763359,0.009,0.001,0.627972912693036
"ARHGDIB",4.76865815580786e-05,0.375853990942193,0.205,0.173,0.628223025446128
"MON1A",4.78408608692467e-05,-3.14981646817395,0,0.007,0.630255501091457
"RPSAP58",4.99495245681464e-05,-0.718729475230617,0.044,0.07,0.65803503666076
"LDLRAD4",5.12657363927578e-05,2.97946654877101,0.009,0.001,0.675374811238191
"AREG",5.36536604264298e-05,1.43662952372253,0.039,0.016,0.706833322457786
"COL4A2",5.47195594871425e-05,3.97946654877101,0.004,0,0.720875476683615
"SPINK1",5.52292016387872e-05,-0.48774504175503,0.097,0.13,0.727589502389383
"DEFA5",5.53233548227283e-05,2.77301567130359,0.005,0,0.728829876434622
"GIN1",5.65674591221854e-05,-3.59038905955993,0,0.005,0.745219706475671
"CLDN18",6.19106351416037e-05,-1.08662264168676,0.017,0.035,0.815610707355488
"TNFRSF1A",6.33888017601569e-05,-3.42992438736669,0,0.005,0.835084074388307
"DMBT1",6.41495357456937e-05,1.97946654877101,0.01,0.002,0.845105983913768
"TAGAP",6.42251563928971e-05,0.499997176897171,0.168,0.122,0.846102210320026
"KRT7",6.71654986848349e-05,2.33561035899629,0.013,0.003,0.884838279674015
"IGHV4-28",6.85402397480633e-05,3.57810398638925,0.01,0.001,0.902949118440986
"STN1",6.92266624346897e-05,2.03605007713738,0.005,0.001,0.911992050914601
"LINC02362",7.01552055028972e-05,1.09143498041381,0.058,0.027,0.924224677295167
"FCER1G",7.06728244839914e-05,3.00803570096778,0.013,0.003,0.931043789752102
