"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RGS5",2.35218327390411e-52,1.99017987065238,0.475,0.127,3.5348610240231e-48
"IGFBP7",3.20222504573722e-46,1.57130349174182,0.751,0.458,4.8123037987339e-42
"TAGLN",7.54736284873818e-41,1.54392352795987,0.571,0.245,1.13421768890837e-36
"COL4A1",1.524934118144e-35,3.06067920294594,0.299,0.058,2.2916709927468e-31
"BGN",1.1788525497006e-34,1.78421965591146,0.441,0.162,1.77157961169007e-30
"NDUFA4L2",2.96216981699098e-34,2.17932369944456,0.356,0.096,4.45154880097404e-30
"IFITM3",3.35224717495522e-34,1.02984753402855,0.828,0.568,5.03775705452271e-30
"SPARC",1.18289998336454e-33,1.63198908784355,0.615,0.358,1.77766209500023e-29
"CALD1",1.02612445195896e-31,1.12543899035478,0.771,0.501,1.54205982640392e-27
"TPM2",5.09211675880062e-31,1.25613025073322,0.63,0.334,7.65243306512557e-27
"LGALS1",1.1928945841486e-30,1.07349507407403,0.805,0.54,1.79268198105852e-26
"PCSK1N",2.82932265929232e-30,-0.358420321656136,0.098,0.265,4.2519060923845e-26
"ACTA2",3.60652349590062e-30,1.50953284129188,0.46,0.195,5.41988350963945e-26
"TMSB4X",9.96440362370095e-29,0.748344656296696,0.926,0.783,1.49745057656978e-24
"MYL9",1.07206282160314e-28,1.2247679085711,0.599,0.329,1.6110960083052e-24
"COL4A2",1.1566360692276e-28,2.0585764040202,0.349,0.123,1.73819268483523e-24
"MS4A8",3.20021738730485e-27,-1.96246718270847,0.076,0.296,4.80928668964173e-23
"CHN1",3.29704619058823e-27,5.00529429966951,0.139,0.005,4.95480101521599e-23
"NOTCH3",4.9218761509598e-27,2.38577457691199,0.255,0.055,7.39659547966238e-23
"THY1",9.35298442591106e-27,2.12997280660233,0.353,0.136,1.40556649952591e-22
"COL18A1",1.32142539102375e-26,1.65828381962978,0.393,0.175,1.98583807763049e-22
"PTMA",1.25347204677592e-25,0.609051386776582,0.981,0.949,1.88371779189485e-21
"CHGA",1.94332157560033e-25,-0.328668419296828,0.09,0.297,2.92042366381218e-21
"LINC00152",1.02285011386797e-24,3.66171646652517,0.175,0.019,1.53713915112078e-20
"CD24",9.2665985361793e-24,-2.87874535681097,0.024,0.156,1.39258442801703e-19
"ALDH1A1",3.84411912274248e-23,-1.50837690686585,0.127,0.344,5.7769422176574e-19
"TIMP1",5.16964665494539e-23,1.478142383566,0.717,0.532,7.76894499305194e-19
"PGA3",7.37345146913524e-23,-2.10163261438649,0.061,0.227,1.10808228678164e-18
"LIPF",9.09449492770764e-23,-2.01034765017063,0.115,0.308,1.3667206977359e-18
"ACTB",1.2833990863645e-22,0.753051396720035,0.955,0.925,1.92869214698857e-18
"KLK11",2.02740638205748e-22,-2.36626456294245,0.025,0.171,3.04678631095597e-18
"MYL6",2.89485607817723e-21,0.709783627332976,0.896,0.822,4.35038971428475e-17
"MGP",4.43673658991332e-21,1.705918046772,0.448,0.217,6.66752774732173e-17
"IFITM2",3.033489649587e-20,0.952472690099345,0.575,0.362,4.55872824539935e-16
"PGC",3.81602754803022e-20,-1.47219152795471,0.19,0.451,5.73472619917981e-16
"MEF2C",3.87506909168855e-20,1.90374404029165,0.219,0.055,5.82345383098956e-16
"AZGP1",4.09158930373866e-20,-1.67438685830478,0.064,0.218,6.14884040565847e-16
