"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PGA3",1.0371051599686e-302,-3.22252790140464,0.025,0.226,1.57930373760018e-298
"PGC",6.80204627941234e-156,-2.17404540459238,0.075,0.241,1.03581560742891e-151
"LIPF",5.49728005280451e-137,-2.57520514430539,0.031,0.154,8.37125806441071e-133
"FOS",7.88292906809403e-67,-0.641097518954919,0.391,0.543,1.20041243848936e-62
"CD69",2.57236495436602e-56,-0.521540806548752,0.451,0.592,3.91719735250857e-52
"CCL5",5.39424262652646e-46,-0.393855292142026,0.488,0.61,8.21435267167449e-42
"PTGER4",2.37027071017628e-43,-0.641929579133631,0.175,0.269,3.60944823745643e-39
"TRBV7-9",1.73231175473671e-41,-1.29619522345846,0.026,0.065,2.63796434011306e-37
"TRAV17",6.07032095269954e-34,-1.39067746583113,0.019,0.051,9.24388474677086e-30
"ZNF331",2.57454202615197e-33,-0.64529988123931,0.168,0.246,3.92051259742423e-29
"DUSP1",1.52515367484441e-32,-0.379371404836389,0.479,0.57,2.32250401605307e-28
"ZFP36",1.52814552267248e-32,-0.343515773288172,0.468,0.545,2.32706000192565e-28
"IGJ",4.02289845845722e-31,-1.14071675196645,0.168,0.212,6.12606977253865e-27
"CD8A",4.1619653889553e-31,-0.345817655889529,0.279,0.351,6.33784089430113e-27
"FOXP3",9.12367352226462e-31,1.87592159123532,0.064,0.017,1.38935300397046e-26
"XCL1",1.78304746938996e-29,-0.893724701725547,0.069,0.129,2.71522468638703e-25
"KLF6",1.79156628287414e-29,-0.366636215481391,0.514,0.604,2.72819713556074e-25
"BATF",2.44378592319718e-27,0.761426138444095,0.185,0.112,3.72139720384467e-23
"IL8",5.68798407577909e-27,3.56789263492397,0.021,0.001,8.6616621505964e-23
"NR4A2",1.39164797255962e-26,-0.470904904664768,0.261,0.349,2.11920153261378e-22
"SLC2A3",3.0776735558019e-26,-0.483502599214676,0.216,0.296,4.68668129077513e-22
"GAST",4.55888627142663e-26,-3.21251637343226,0.006,0.03,6.94227201412847e-22
"CD8B",4.88502496701433e-26,-0.530683180434678,0.146,0.211,7.43891601976942e-22
"FOSB",1.00025482315039e-25,-0.515234054073457,0.212,0.29,1.52318804469341e-21
"GIF",2.92500639004797e-25,-4.86647496674495,0,0.015,4.45419973076506e-21
"CCL4",8.88261983838186e-25,-0.381271930245821,0.345,0.432,1.35264534898879e-20
"ANXA1",1.59636342584358e-24,-0.432305013957505,0.305,0.388,2.4309422248746e-20
"DUSP4",1.77411517707354e-24,0.716785922252239,0.195,0.117,2.70162259164759e-20
"ZFP36L2",6.69662915298353e-24,-0.256184538310609,0.554,0.614,1.01976268741633e-19
"PDE3B",1.49334625413565e-23,1.27833146214876,0.084,0.034,2.27406767579777e-19
"JUNB",3.1199669004562e-23,-0.311889061474541,0.541,0.626,4.75108559601469e-19
"REG3A",1.54345158957067e-21,-2.2874372999809,0.017,0.044,2.35036808059821e-17
"DUSP2",1.75732049480415e-21,-0.369594538138305,0.323,0.379,2.67604764948776e-17
"TSC22D3",3.35901253159995e-21,-0.294327085317527,0.562,0.627,5.11510428312041e-17
"KLRC1",3.91776250517076e-21,-0.764316521579655,0.069,0.116,5.96596874287403e-17
"MT2A",8.21796460672754e-21,1.02882204481977,0.216,0.17,1.25143165031247e-16
"CCR8",8.71594179287073e-21,6.13158651889147,0.014,0,1.32726361621835e-16
"MYBL1",3.42975387227394e-20,-0.915777002812194,0.033,0.062,5.22282919669876e-16
"JUN",7.03553499546847e-20,-0.330153444701527,0.412,0.499,1.07137126910994e-15
"JUND",2.01722650247603e-19,-0.591234045283401,0.15,0.218,3.0718325179705e-15
"NR4A1",9.40994175522078e-19,-0.661335272718579,0.092,0.146,1.43294593048502e-14
"LYZ",2.733613130843e-18,-1.26359055802653,0.057,0.089,4.16274607564772e-14
"CCL4L2",5.04412722897797e-18,-0.478184608802572,0.14,0.191,7.68119694428765e-14
"KLRB1",6.6236251754912e-18,-0.359765770574479,0.388,0.467,1.0086456417238e-13
"SERPINH1",1.47882213740747e-17,2.42757134652655,0.023,0.005,2.25195035084409e-13
"SPP1",1.58624107912736e-17,6.26779090248978,0.009,0,2.41552791529514e-13
"SYTL2",1.59117151098512e-17,-0.770353846897328,0.045,0.077,2.42303597692814e-13
"PTGDR",2.94388038764028e-17,-1.62898668149,0.009,0.029,4.48294105429861e-13
"BAG3",3.21561269716724e-17,1.64774594261318,0.039,0.014,4.89673501524627e-13
"FKBP4",3.27878392726381e-17,1.44640798853941,0.043,0.016,4.99293216443733e-13
"SPRY1",6.20268898796944e-17,-0.886607248755877,0.052,0.093,9.44545479087987e-13
"XCL2",6.79108962583029e-17,-0.621782196900665,0.084,0.133,1.03414712822144e-12
"CSRNP1",1.05113634128791e-16,-0.464532192385239,0.137,0.19,1.60067042051323e-12
"TNFRSF18",1.07942666337907e-16,0.691039888939138,0.115,0.07,1.64375092299364e-12
"MUC6",1.6742185279597e-16,-1.76366416116117,0.009,0.03,2.54949997437703e-12
"IL2RA",1.93174481665475e-16,1.36452289520245,0.043,0.016,2.94166100680185e-12
"HSPH1",2.45563780316556e-16,0.772935317998583,0.1,0.062,3.73944524666051e-12
"AREG",4.09210524525851e-16,-0.501048717154308,0.081,0.114,6.23145786747967e-12
"SMIM3",5.36515022128182e-16,-1.04528509421333,0.02,0.04,8.17005075696795e-12
"PPP1R15A",5.37445930523227e-16,-0.326492502598154,0.303,0.375,8.18422663000771e-12
"IL1R2",6.24817394621979e-16,2.52400110920964,0.016,0.002,9.5147192853035e-12
"DUSP5",6.33366085277829e-16,-1.25952089371748,0.019,0.046,9.64489874661078e-12
"HLA-DRB1",6.38724493564445e-16,0.60377167339535,0.148,0.097,9.72649658799937e-12
"PGA5",9.16075732086766e-16,-4.22706468200142,0,0.007,1.39500012482173e-11
"AC020916.1",2.89115510446465e-15,-0.738977713220207,0.043,0.071,4.40265099307877e-11
"SCML4",3.40719166276429e-15,-0.441569193907552,0.109,0.146,5.18847146405746e-11
"SEPP1",4.43960252919623e-15,1.69576745747612,0.002,0,6.76062673146002e-11
"LAYN",4.87472026140478e-15,1.86241732688557,0.03,0.008,7.4232240140672e-11
"CD48",1.13251520386091e-14,-0.325263454900064,0.219,0.273,1.72459415243939e-10
"LAIR2",1.30513510594538e-14,1.50842198323888,0.034,0.011,1.98745973933362e-10
"ZNF683",1.33909867310948e-14,-0.724817690325442,0.04,0.066,2.03917945941111e-10
"CYCS",2.00470884601348e-14,-0.535020884981381,0.241,0.296,3.05277063070933e-10
"HOPX",3.01035792817974e-14,-0.459426263972425,0.109,0.151,4.5841730530321e-10
"HSPA6",3.53304549450161e-14,0.996936992196688,0.059,0.03,5.38012167902705e-10
"TNFRSF4",5.33759707479996e-14,0.64458873355056,0.1,0.06,8.12809282550539e-10
"TRBV6-2",2.0112014867199e-13,-1.37462187041527,0.009,0.024,3.06265762397706e-09
"IL21R",2.06096948859699e-13,1.27876577131677,0.051,0.021,3.13844433723549e-09
"YPEL5",2.18761946160336e-13,-0.350018195450391,0.268,0.329,3.3313069161296e-09
"RBPJ",2.31786851115079e-13,0.624127728307142,0.122,0.079,3.52965016878042e-09
"HLA-DRA",3.25128680043899e-13,0.700260438500504,0.112,0.074,4.95105953970849e-09
"GPR25",3.2988728370308e-13,-0.848553058747687,0.025,0.045,5.0235235562305e-09
"CARD16",4.3869787532812e-13,0.513833179280813,0.151,0.108,6.68049124549661e-09
"MYADM",6.5376921881086e-13,-0.387037456862537,0.168,0.214,9.95559766405178e-09
"CITED2",9.47393166625709e-13,-0.407015561490788,0.163,0.211,1.44269031413763e-08
"DDIT4",1.11510154102161e-12,-0.255948568696658,0.308,0.357,1.69807662666771e-08
"AC243829.1",2.3304017630275e-12,-1.36487389386371,0.009,0.024,3.54873580473828e-08
"CYSTM1",3.61946747311807e-12,-1.00306300780331,0.032,0.059,5.51172506806419e-08
"HBA2",4.28572608235205e-12,1.60068279278372,0.028,0.01,6.5263036782057e-08
"CCNH",4.40923613440305e-12,-0.298386284588189,0.188,0.229,6.71438478546896e-08
"ITGA1",5.53529497879768e-12,-0.544254857882116,0.068,0.098,8.4291471937131e-08
"ATP4B",6.73340872483025e-12,-4.29921446775725,0,0.007,1.02536348061715e-07
"TC2N",1.12492911528158e-11,-0.500629755327381,0.093,0.132,1.71304205675079e-07
"GTF2B",1.90098904952777e-11,-0.481969083630086,0.095,0.132,2.89482612462089e-07
"CACYBP",2.0989262383274e-11,0.473375036139675,0.15,0.108,3.19624487572496e-07
"HSPA1B",2.14969980304349e-11,0.38573503580016,0.193,0.15,3.27356286007462e-07
"SPINK1",2.38017951859603e-11,-1.31629760835738,0.018,0.034,3.62453737091804e-07
"PTGER2",2.60285647268227e-11,-0.755296807693054,0.036,0.061,3.96362983660057e-07
"ATP4A",4.0706412699501e-11,-5.28151246602379,0,0.005,6.19877252588001e-07
"HLA-DRB5",4.07411640566403e-11,0.690556815095338,0.101,0.062,6.20406446254518e-07
"NFKBIZ",7.72706277601766e-11,-0.291127313430749,0.146,0.18,1.17667711953197e-06
"CTLA4",1.24164593399954e-10,0.665300505600502,0.118,0.074,1.8907784282945e-06
"DNPH1",1.42724733727172e-10,0.600094089981525,0.107,0.07,2.17341224519737e-06
"BTG2",1.59819225559845e-10,-0.26430849535953,0.26,0.303,2.43372716682532e-06
"NUCB2",1.79238634846254e-10,-0.559477124340992,0.072,0.107,2.72944593143875e-06
"CD24",2.15973988855025e-10,-2.91894238663909,0.001,0.008,3.28885190228433e-06
"GLUL",2.30400894108309e-10,-0.68814752430694,0.039,0.063,3.50854481548133e-06
"PSCA",2.46713505814905e-10,-1.69327483326978,0.006,0.019,3.75695326654937e-06
"IKZF2",2.50652872061195e-10,1.65328412615461,0.02,0.006,3.81694193574788e-06
"VSIG2",2.58669538462532e-10,-2.91128881409565,0.001,0.009,3.93901973170743e-06
"PIK3R1",4.47170026051913e-10,-0.25528213087927,0.167,0.2,6.80950515671854e-06
"SELL",5.97978022194661e-10,0.689021939443686,0.076,0.048,9.1060093219803e-06
"CD177",6.42622408191171e-10,4.45065495963959,0.009,0,9.78585403193515e-06
"CCND3",1.1057941307154e-09,-0.296945219897589,0.174,0.212,1.68390330225341e-05
"SESN1",1.111404596259e-09,-0.547625262472877,0.047,0.069,1.6924469191832e-05
"TFF1",1.23216664424894e-09,-0.954618118243082,0.04,0.064,1.87634336586229e-05
"MAST4",1.28184700785611e-09,0.996327874585407,0.041,0.02,1.95199662356328e-05
"PIGR",1.61529198403212e-09,-1.30175155302012,0.013,0.029,2.45976663328411e-05
"KDM5B",2.19911183549725e-09,1.18441728524041,0.033,0.014,3.34880750309522e-05
"SPATS2L",2.39352524832386e-09,1.14079969705281,0.03,0.013,3.64486024814758e-05
"SMC4",2.40015665906935e-09,0.946227170539295,0.041,0.021,3.6549585604308e-05
"LTF",2.84995368836849e-09,-2.11158746458148,0.005,0.016,4.33990947664754e-05
"GNA15",3.51503008974689e-09,1.1642709816099,0.031,0.014,5.35268782066656e-05
"HSPD1",4.05393610402992e-09,0.443473550425813,0.153,0.115,6.17333389921677e-05
"AC017002.1",4.10948291469443e-09,1.77454457086024,0.016,0.005,6.25792058249668e-05
"SOX4",4.55343324193578e-09,1.15651793079974,0.028,0.012,6.9339681408198e-05
"IFNG",5.78583965656611e-09,-0.886609703840774,0.085,0.117,8.81067662901887e-05
"RTKN2",5.85340612746647e-09,1.80835928385248,0.015,0.004,8.91356685090594e-05
"FAM175A",6.56623713475857e-09,4.56083787739001,0.005,0,9.99906590881035e-05
"THEMIS",6.95399776841747e-09,-0.424444569053847,0.081,0.108,0.000105895478017461
"IGLV6-57",7.25698094411022e-09,-2.41970975994381,0.002,0.009,0.00011050930581691
"PPP1R14B",7.36718979974245e-09,1.37607783478476,0.023,0.009,0.000112187566270478
"CHGA",8.02228062137726e-09,-1.2302319610801,0.003,0.011,0.000122163289302333
"RPL22L1",8.64816398049562e-09,-0.32119654925702,0.15,0.185,0.000131694241094987
"STOM",1.01172358040491e-08,-0.420712211662818,0.092,0.124,0.000154065266824059
"PITPNC1",1.02360781338941e-08,-0.470960788745326,0.07,0.097,0.000155874997822939
"HSPB1",1.04176163127878e-08,0.290043002003259,0.165,0.143,0.000158639461211132
"AC025164.1",1.18625895147374e-08,-0.752759786882589,0.023,0.038,0.000180643513130422
"IL2",1.23867318231517e-08,-1.47217717983795,0.007,0.019,0.000188625152202954
"SEC14L1",1.31218772637642e-08,0.881295130549368,0.047,0.025,0.000199819946972601
"DNAJA4",1.35037647353135e-08,2.01253384724771,0.012,0.003,0.000205635329389353
"DTHD1",1.51028308429851e-08,-0.837983817037499,0.019,0.034,0.000229985908076977
"IL1RN",1.84621744027612e-08,4.22826253830314,0.006,0,0.000281141991805247
"CXCL13",1.88693274189675e-08,0.857006731052213,0.051,0.028,0.000287342117936037
"TRDV2",2.03174292181553e-08,2.47337503613968,0.013,0.002,0.000309393812134069
"TIPARP",2.08753571538312e-08,-0.514652322194249,0.067,0.096,0.000317889938738542
"CMTM6",2.11273836926612e-08,0.432562711593617,0.128,0.094,0.000321727798871845
"HBA1",2.16070015579214e-08,2.26610792383243,0.015,0.005,0.000329031419724028
