"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","test","log10_padj","category"
"PGA3",7.22008040817918e-37,-2.88404756738407,0.101,0.617,5.88364352462522e-33,"MAST",32.2303536479734,"Down"
"PGC",2.36959148266263e-24,-2.80270714505861,0.064,0.397,1.93098009922178e-20,"MAST",19.7142222020584,"Down"
"LIPF",1.90712432282806e-18,-4.4760363908669,0.013,0.248,1.55411561067259e-14,"MAST",13.8085166771634,"Down"
"NFKBIZ",7.10776008976324e-11,-1.19630292209134,0.339,0.589,5.79211369714806e-07,"MAST",6.2371629216798,"Down"
"PPP1R10",3.70924855574493e-07,-1.04806665856921,0.203,0.383,0.00302266664807655,"MAST",2.5196097459362,"Down"
"LYZ",3.86237178864752e-07,-5.66726079410967,0,0.07,0.00314744677056887,"MAST",2.50204160592024,"Down"
"PPP1R15A",1.10913568604431e-06,-1.04329130358538,0.424,0.589,0.0090383467055751,"MAST",2.04391100340865,"Down"
"FHOD1",2.63217031261971e-06,-3.8092797989821,0,0.023,0.021449555877538,"MAST",1.66858169564389,"Down"
"TMEM242",5.27070559353673e-06,-4.13120789386946,0,0.028,0.0429509798817308,"MAST",1.36702692374486,"Down"
"B4GALT4",5.72420428754294e-06,-2.6166347210397,0.011,0.065,0.0466465407391874,"MAST",1.33118055756779,"Down"
