"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PGA3",7.22008040817918e-37,-2.88404756738407,0.101,0.617,5.88364352462522e-33
"PGC",2.36959148266263e-24,-2.80270714505861,0.064,0.397,1.93098009922178e-20
"LIPF",1.90712432282806e-18,-4.4760363908669,0.013,0.248,1.55411561067259e-14
"CD69",3.58120992439099e-13,-0.822122866356909,0.613,0.799,2.91832796738622e-09
"CCR4",3.9095010033088e-11,5.9186406555811,0.165,0,3.18585236759634e-07
"NFKBIZ",7.10776008976324e-11,-1.19630292209134,0.339,0.589,5.79211369714806e-07
"MKLN1",7.63678454719149e-11,5.6664536319843,0.152,0,6.22321572750635e-07
"NFKBIA",1.60256988972013e-09,-0.985659822561708,0.517,0.678,1.30593420313294e-05
"AQR",1.90263561779899e-09,5.21308801404636,0.123,0,1.5504577649444e-05
"BTG2",2.21613360350459e-09,-0.976075793687012,0.472,0.664,1.80592727349589e-05
"STAM",4.04480810173759e-09,5.16800012451782,0.109,0,3.29611412210596e-05
"KLC1",4.45649081771517e-09,4.58303762379667,0.08,0,3.63159436735609e-05
"TPP1",6.61867764368401e-09,5.38054475989792,0.123,0,5.3935604118381e-05
"CSNK2B",7.91422927967272e-09,4.80543004513311,0.091,0,6.4493054400053e-05
"FURIN",1.15066749829853e-08,4.6501518196552,0.075,0,9.37678944363475e-05
"TMOD3",8.34948468470681e-08,3.15419432499279,0.149,0.009,0.000680399506956758
"NOC2L",9.35291771675281e-08,4.74530905269554,0.08,0,0.000762169264738187
"JUNB",1.13065398394976e-07,-0.755611134188511,0.685,0.836,0.000921369931520657
"QRICH1",2.18396359758144e-07,5.14491651140478,0.091,0,0.00177971193566911
"JUN",2.54708068937264e-07,-1.0149027309227,0.512,0.701,0.00207561605376976
"PPP1R10",3.70924855574493e-07,-1.04806665856921,0.203,0.383,0.00302266664807655
"LYZ",3.86237178864752e-07,-5.66726079410967,0,0.07,0.00314744677056887
"EXOSC1",4.3220797933556e-07,4.9186406555811,0.096,0,0.00352206282360548
"PHF21A",4.70370216839952e-07,5.09761079662642,0.093,0,0.00383304689702877
"TBC1D5",6.50677533689058e-07,5.36064520246022,0.112,0,0.00530237122203213
"FOS",6.66934559279528e-07,-0.876966606493671,0.549,0.785,0.00543484972356887
"KLF3",8.74176561276433e-07,4.9186406555811,0.093,0,0.00712366479784165
"DUSP1",1.02730013500298e-06,-0.795473999457066,0.659,0.776,0.00837146880013928
"PPP1R15A",1.10913568604431e-06,-1.04329130358538,0.424,0.589,0.0090383467055751
"ZFP36L2",1.41193533811846e-06,-0.37632039170599,0.792,0.841,0.0115058610703273
"B3GAT3",1.44773674388368e-06,4.80543004513311,0.091,0,0.0117976067259081
"SSBP4",1.60031537237874e-06,4.80543004513311,0.085,0,0.0130409699695144
"DICER1",1.65457227838581e-06,5.1907202010179,0.112,0,0.0134831094965659
"RHBDD2",2.27313595441511e-06,3.12931965635376,0.149,0.023,0.0185237848925287
"AP2M1",2.32369648203699e-06,1.36064520246022,0.101,0.014,0.0189358026321194
"CXCR4",2.37740499934706e-06,-0.338428003581656,0.693,0.696,0.0193734733396792
"FHOD1",2.63217031261971e-06,-3.8092797989821,0,0.023,0.021449555877538
"GNB5",2.852591569236e-06,4.61698495572,0.08,0,0.0232457686977042
"HAGH",3.211899991851e-06,4.54827220563599,0.069,0,0.0261737730335938
"LIMA1",3.68655098137792e-06,4.36064520246022,0.072,0,0.0300417039472487
"NDUFA10",3.75308795364702e-06,4.77568270173906,0.083,0,0.0305839137342696
"TNFRSF18",4.15400673327554e-06,2.48617608454408,0.144,0.028,0.0338510008694624
"TBC1D20",4.41908419967658e-06,4.58303762379667,0.072,0,0.0360111171431644
"BRK1",4.51530257383857e-06,4.61698495572,0.08,0,0.0367952006742105
"TMEM242",5.27070559353673e-06,-4.13120789386946,0,0.028,0.0429509798817308
"ITCH",5.31634212133474e-06,4.77568270173906,0.091,0,0.0433228719467568
"B4GALT4",5.72420428754294e-06,-2.6166347210397,0.011,0.065,0.0466465407391874
"ARNTL",8.42685445596546e-06,2.40573309198875,0.112,0.014,0.0686704369616625
"AKAP8L",8.55893323785934e-06,4.51264829590527,0.075,0,0.0697467469553157
"ENO1",9.65478873548978e-06,2.34722468669789,0.189,0.042,0.0786768734055062
"NBDY",1.01004246960729e-05,4.51264829590527,0.075,0,0.0823083608482984
"LYSMD2",1.02453254848316e-05,-3.8092797989821,0,0.028,0.0834891573758924
"MT1G",1.08944385823472e-05,-4.89674264023244,0,0.037,0.088778780007547
"IARS",1.19003790743267e-05,4.47612241988015,0.067,0,0.0969761890766886
"HPS4",1.21844071561047e-05,4.74530905269554,0.067,0,0.0992907339150971
"EHD4",1.29674537364868e-05,4.32000321796287,0.056,0,0.105671780498631
"RAB9A",1.34150665352413e-05,4.51264829590527,0.077,0,0.109319377195681
"MTMR6",1.38876084038328e-05,3.07824547175949,0.128,0.014,0.113170120882833
"AKR1A1",1.39801436698004e-05,4.6501518196552,0.067,0,0.113924190765204
"GPR137B",1.48454845950718e-05,4.6501518196552,0.072,0,0.12097585396524
"CMTM3",1.59642890102256e-05,4.83457639079263,0.091,0,0.130092991144328
"ELK3",1.67187293732244e-05,4.71428215707492,0.077,0,0.136240925662406
"FAM118A",1.68231683171859e-05,1.57845035430101,0.235,0.061,0.137091998616748
"RPS4Y1",1.81158962652307e-05,1.94971210151411,0.155,0.023,0.147626438665365
"CD6",2.00115636944349e-05,1.38489274870689,0.411,0.15,0.16307423254595
"GLUL",2.05705931500108e-05,-2.05320538186819,0.027,0.107,0.167629763579438
"P4HA1",2.12266781069479e-05,4.71428215707492,0.083,0,0.172976199893518
"PRDX2",2.18666492957213e-05,4.74530905269554,0.08,0,0.178191325110833
"PPP3CB",2.22037836655739e-05,4.80543004513311,0.077,0,0.180938633090762
"ACTR1B",2.55136061699405e-05,4.32000321796287,0.059,0,0.207910376678845
"GAB3",2.90172799331786e-05,4.71428215707492,0.077,0,0.236461814175472
"CDK10",2.93939573338118e-05,4.54827220563599,0.064,0,0.239531358313232
"MMS22L",3.12530405293252e-05,-3.39424229970325,0,0.019,0.254681027273471
"TSC22D3",3.28974045659099e-05,-0.373080486582516,0.811,0.808,0.2680809498076
"FKBP1A",3.33924592742059e-05,4.27818304226824,0.064,0,0.272115150625504
"PSMA3",3.3943453899014e-05,4.1907202010179,0.064,0,0.276605205823065
"AF213884.3",3.43387640308453e-05,-5.13120789386946,0,0.042,0.279826588087358
"ZC3H7A",3.43973019690293e-05,4.36064520246022,0.064,0,0.28030361374562
"FOSB",3.51624276740557e-05,-0.949341545324924,0.456,0.659,0.28653862311588
"PAICS",3.57779890475893e-05,-4.26871141761939,0,0.033,0.291554832748805
"ZFP36",3.68382135895262e-05,-0.613591701474702,0.707,0.785,0.300194602541049
"IGLV3-25",3.98455304445743e-05,-1.75269627061573,0.029,0.065,0.324701227592836
"DUSP4",4.00547903528369e-05,1.03025552882466,0.28,0.121,0.326406486585268
"SNRNP40",4.09851080151905e-05,4.51264829590527,0.069,0,0.333987645215787
"CRK",4.20873220066138e-05,2.51264829590527,0.019,0,0.342969587031896
"METTL15",4.28185199013128e-05,4.74530905269554,0.069,0,0.348928118675798
"ODF2",4.32549884935496e-05,4.40017356664685,0.056,0,0.352484901233935
"KDSR",4.46854381452117e-05,4.40017356664685,0.069,0,0.36414163544533
"FBXO21",4.71991852610902e-05,4.54827220563599,0.067,0,0.384626160692624
"PIGH",5.06372625017488e-05,3.99807512307551,0.053,0,0.412643052126751
"H3F3B",5.11020719921513e-05,-0.674162868069039,0.677,0.762,0.416430784664041
"GTF2H1",5.15645335873023e-05,4.51264829590527,0.069,0,0.420199384202926
"PFKL",5.24200209324907e-05,4.51264829590527,0.072,0,0.427170750578867
"MTPN",5.34314719948298e-05,4.32000321796287,0.069,0,0.435413065285868
"ZNF821",5.45253224605175e-05,-3.13120789386946,0.008,0.079,0.444326852730757
"DYNC1I2",5.97467684810244e-05,4.54827220563599,0.069,0,0.486876416351868
"PIK3C2A",6.01481230629988e-05,4.27818304226824,0.059,0,0.490147054840378
"NR1D2",6.05831078477087e-05,4.58303762379667,0.069,0,0.493691745850978
"KLF6",6.06046944829714e-05,-0.638167882589341,0.717,0.85,0.493867655341734
"SIK2",6.15169846097544e-05,4.6501518196552,0.077,0,0.501301907584889
"ZNF808",6.28374389168925e-05,-4.26871141761939,0,0.028,0.512062289733757
"IKZF2",6.42574668591484e-05,4.71428215707492,0.075,0,0.523634097435201
"CASS4",6.48108941092625e-05,-4.50971951712319,0,0.028,0.52814397609638
"DNPH1",6.57282893519853e-05,3.83457639079263,0.043,0,0.535619829929328
"MCL1",6.59776983993638e-05,-0.429542436452518,0.632,0.645,0.537652264256415
"SSH1",6.91084061955313e-05,4.40017356664685,0.053,0,0.563164402087385
"CD38",7.48595886855748e-05,4.80543004513311,0.085,0,0.610030788198749
"TNFAIP3",7.69417061671829e-05,-0.358785165886351,0.797,0.808,0.626997963556374
"RPLP0",7.91886960102558e-05,-0.513205131384295,0.493,0.542,0.645308683787575
"KIAA1147",8.31992876126252e-05,-4.26871141761939,0,0.033,0.677990994755283
"LDHB",8.57685796945311e-05,1.99807512307551,0.157,0.028,0.698928155930734
"DDX60L",8.83102895359348e-05,4.36064520246022,0.061,0,0.719640549428333
"ACTR1A",9.07334127501282e-05,4.09761079662642,0.051,0,0.739386580500794
"NFYC",9.18635305219487e-05,4.40017356664685,0.067,0,0.74859591022336
"DCTN1",9.23196580808234e-05,4.23511432037636,0.056,0,0.75231289370063
"GET4",9.26907724109071e-05,-4.50971951712319,0,0.033,0.755337104376482
"GOLGA7",9.51006481551291e-05,4.47612241988015,0.072,0,0.774975181816147
"STX4",9.63311746152116e-05,4.23511432037636,0.056,0,0.785002741939359
"TOR3A",9.65308698632927e-05,4.14491651140478,0.056,0,0.786630058515973
"GDI2",9.91856274290323e-05,2.61698495572,0.141,0.019,0.808263677919184
"PSMA4",0.000102434458895021,4.14491651140478,0.064,0,0.834738405535527
"PLEKHG2",0.000102908315130499,4.09761079662642,0.04,0,0.838599859998435
"PWP1",0.000104404804858291,4.36064520246022,0.059,0,0.850794754790213
"AHR",0.000105505963141358,1.39831562042627,0.163,0.056,0.859768093638927
"MGAT1",0.000105750861167229,3.22634411074863,0.141,0.019,0.861763767651752
"FAM111A",0.000105885456638393,4.43864771446149,0.067,0,0.862860586146268
"GTF2H5",0.00010648570692785,-4.26871141761939,0,0.028,0.867752025755046
"ARHGEF2",0.000107263089830186,3.94560770318137,0.037,0,0.874086919026183
"DCAF13",0.000108681120920529,3.6501518196552,0.04,0,0.885642454381389
"AC007952.4",0.000113205495164964,-5.13120789386946,0,0.037,0.92251158009929
"CCL4",0.00011402988861306,-0.809279798982096,0.307,0.402,0.929229562307828
"NSD2",0.000124028177745172,4.58303762379667,0.051,0,1
"CCR8",0.000124955632035758,3.94560770318137,0.043,0,1
"IP6K2",0.000126488435392136,3.99807512307551,0.051,0,1
"MINK1",0.000127238701227681,4.1907202010179,0.056,0,1
"ADIPOR1",0.000129818140001121,3.99807512307551,0.04,0,1
"GIGYF2",0.000131464166885123,4.27818304226824,0.059,0,1
"SARS",0.000132371956315813,4.1907202010179,0.061,0,1
"CSKMT",0.000135245626494856,-2.06081856597806,0.032,0.098,1
"F5",0.000136314990604957,3.6501518196552,0.029,0,1
"VEZT",0.000136829076559758,4.68257329734758,0.064,0,1
"LAYN",0.00014320688817164,4.74530905269554,0.067,0,1
"DBI",0.000144998390559183,4.04870119614548,0.056,0,1
"RBKS",0.000150341436421325,-1.17701158348258,0.072,0.168,1
"ENO2",0.000152380023387367,-3.8092797989821,0,0.019,1
"DDX3X",0.000160322626421742,-0.781046118253152,0.387,0.505,1
"SF3A3",0.000161475033729084,2.97731656290871,0.112,0.014,1
"ABL2",0.00016158260048391,3.27818304226824,0.027,0,1
"TLE3",0.000162083283849784,3.71428215707492,0.056,0,1
"MED27",0.000162233630905656,4.1907202010179,0.051,0,1
"TRGV2",0.000163959811664146,-1.8092797989821,0.011,0.033,1
"ANKRD54",0.000166159380877509,3.6501518196552,0.035,0,1
"LARP7",0.000166879166221985,4.04870119614548,0.059,0,1
"PTCH2",0.000167772784256459,-3.52548683298151,0.008,0.079,1
"CARD16",0.000170269582838364,2.04870119614548,0.093,0.019,1
"RTKN2",0.000172500184912678,4.32000321796287,0.048,0,1
"RAD9A",0.000174036766669447,4.43864771446149,0.059,0,1
"ALKBH6",0.000176708501545548,4.27818304226824,0.059,0,1
"TMEM167B",0.000177364434383702,4.09761079662642,0.061,0,1
"DCTN2",0.000178621359531638,3.58303762379666,0.045,0,1
"HNRNPR",0.000182908339185556,1.89767322611767,0.2,0.056,1
"RAPGEF6",0.000183512900861513,2.49450094919501,0.133,0.023,1
"VPS4A",0.000186303595918294,3.94560770318137,0.048,0,1
"SPCS1",0.0001864862230368,1.63294252962298,0.237,0.07,1
"TRAC",0.000187346143988627,2.48617608454408,0.187,0.037,1
"CYTH2",0.000187710243099969,2.891159919159,0.021,0,1
"RNPC3",0.000195230955703431,0.903438248937433,0.117,0.033,1
"ZNF92",0.000201534104920557,4.43864771446149,0.061,0,1
"CCNH",0.000203279643124909,-0.468536082050567,0.456,0.537,1
"WDR18",0.000205455307578202,-3.8092797989821,0,0.019,1
"BTG1",0.000209415890026083,-0.269246641161384,0.917,0.893,1
"SLC25A33",0.000210893301031928,-4.8092797989821,0,0.033,1
"CD3D",0.000219972104985713,1.1744183886888,0.501,0.22,1
"IER2",0.000232280535101397,-0.95715500680447,0.36,0.453,1
"CBLL1",0.0002326400982067,3.77568270173906,0.048,0,1
"UBAP2L",0.000240485174936363,4.09761079662642,0.048,0,1
"AC016727.1",0.000243403973815341,-3.8092797989821,0,0.019,1
"MIR22HG",0.000258110044276925,-3.6166347210397,0,0.019,1
"LINC02001",0.000263333816723282,-3.39424229970325,0,0.023,1
"ZC3HC1",0.000263716651014934,-3.6166347210397,0,0.019,1
"MEF2D",0.000264909875976687,3.94560770318137,0.048,0,1
"DRAP1",0.000266029473724795,2.43864771446149,0.123,0.019,1
"SOS1",0.000267195057615439,3.83457639079263,0.045,0,1
"TNIP1",0.00027277402820438,1.99807512307551,0.131,0.028,1
"ACTR3",0.000272896023717357,1.614746483524,0.277,0.089,1
"INO80E",0.000273128920093379,4.51264829590527,0.064,0,1
"SLC10A3",0.000282014008229513,3.71428215707492,0.045,0,1
"AC020916.1",0.000285355214776978,-1.16597331203014,0.235,0.388,1
"HIST1H2BF",0.000287200431882271,-3.97920480042441,0,0.019,1
"MMS19",0.000300690687119495,4.23511432037636,0.064,0,1
"AGPS",0.000302316445439791,-3.13120789386946,0,0.019,1
"ARL15",0.000303426527730416,4.09761079662642,0.061,0,1
"TAP1",0.000307797767110714,1.3833652789603,0.285,0.098,1
"FOXP3",0.000313380949589223,4.43864771446149,0.051,0,1
"EP400",0.000325155729034431,2.51264829590527,0.155,0.033,1
"SUGT1",0.000333026562577064,4.04870119614548,0.059,0,1
"MED14",0.000348860850932017,4.23511432037636,0.056,0,1
"TSPAN32",0.000354959914579296,-3.39424229970325,0,0.019,1
"ACSL4",0.000355914854478462,4.36064520246022,0.051,0,1
"HADHB",0.000368011371505685,4.36064520246022,0.064,0,1
"STUB1",0.000368187228018894,4.51264829590527,0.077,0,1
"MED13",0.000368867755126314,3.09761079662642,0.093,0.009,1
"IL2RA",0.000371414149860487,2.29025587456882,0.091,0.014,1
"IGLV3-10",0.00037510864487821,2.6501518196552,0.016,0,1
"CLK4",0.000376940747824506,1.96010727287649,0.123,0.033,1
"SLC25A38",0.000385372524267059,4.1907202010179,0.056,0,1
"RNF38",0.00040955817843896,3.891159919159,0.051,0,1
"ARL5B",0.000410175293649553,-1.84675450440076,0.029,0.098,1
"NDUFS3",0.000416410586717666,4.32000321796287,0.059,0,1
"FEM1B",0.000420163878743461,3.6501518196552,0.04,0,1
"UBB",0.00042835502735129,-1.05485700773934,0.277,0.421,1
"JCHAIN",0.000428426737334122,-0.557741031986132,0.115,0.154,1
"TMEM41B",0.000428581617107846,4.27818304226824,0.069,0,1
"LINC00954",0.000429462637290095,-1.68374891689824,0.008,0.033,1
"TATDN3",0.000429877159448895,-3.6166347210397,0,0.019,1
"UBR5",0.000430702776379969,1.77568270173906,0.181,0.051,1
"FCHO1",0.000451181113285094,4.23511432037636,0.056,0,1
"PIDD1",0.000460687870352815,-2.8092797989821,0,0.014,1
"TMEM167A",0.00046400308174788,3.99807512307551,0.056,0,1
"TOB1",0.000467762494427492,-1.08491424159552,0.147,0.238,1
"SH2D1A",0.000468698928620598,2.34272329446295,0.141,0.023,1
"NSMCE2",0.000470682129471824,3.71428215707492,0.035,0,1
"CTBP1-DT",0.000470871803714117,-4.13120789386946,0,0.019,1
"GATAD2A",0.000480470690843188,3.99807512307551,0.051,0,1
"ILK",0.000481905263446906,4.23511432037636,0.056,0,1
"ASTL",0.0004823984824013,-4.39424229970325,0,0.028,1
"COQ7",0.000490859934934884,-3.35360031520591,0.008,0.07,1
"WDR59",0.00049218826169422,3.94560770318137,0.048,0,1
"TRAPPC2L",0.000492609289805841,-3.97920480042441,0,0.019,1
"NCAPD2",0.000502389722986614,-3.39424229970325,0,0.019,1
"PREB",0.000508458975123541,4.40017356664685,0.061,0,1
"MED4",0.000519893960030833,4.09761079662642,0.045,0,1
"ZNF593",0.000525380052082798,-3.39424229970325,0,0.019,1
"LYRM2",0.000528979722889299,3.99807512307551,0.056,0,1
"RRS1",0.000530380167120367,-4.26871141761939,0,0.033,1
"AC083880.1",0.000534233919585932,-3.97920480042441,0,0.019,1
"MBD6",0.000535089621495547,3.891159919159,0.045,0,1
"CDADC1",0.000539450831179448,3.99807512307551,0.04,0,1
"CYSTM1",0.000541710869015539,-4.26871141761939,0,0.019,1
"ARPC3",0.000545699025210985,1.15853979526875,0.245,0.103,1
"HAT1",0.000546821862235271,4.14491651140478,0.061,0,1
"ATP13A2",0.000553863178842466,-3.6166347210397,0,0.019,1
"TMEM156",0.000556524432841473,4.14491651140478,0.056,0,1
"SMNDC1",0.000559310348387549,4.32000321796287,0.064,0,1
"MMGT1",0.000560188964572597,4.23511432037636,0.051,0,1
"COPS8",0.000565201402517259,4.36064520246022,0.069,0,1
"HIST1H4B",0.000574519746447172,-5.76347610936897,0,0.051,1
"RAB6A",0.000578564377618278,1.59281864458925,0.131,0.033,1
"TTC7A",0.00059161603020865,4.40017356664685,0.056,0,1
"JADE1",0.000592136557204389,3.94560770318137,0.053,0,1
"ATG4B",0.000613044983382903,4.36064520246022,0.059,0,1
"ARMCX6",0.000616564504750992,-3.39424229970325,0,0.019,1
"ADIPOR2",0.00062380066778679,4.43864771446149,0.077,0,1
"VPS35L",0.000628449510909068,-3.6166347210397,0,0.019,1
"RBBP8",0.000631855045493468,3.58303762379666,0.035,0,1
"CLK3",0.000638175642024616,4.04870119614548,0.056,0,1
"ITGB1",0.000644072731344665,2.51264829590527,0.144,0.028,1
"CMPK1",0.00064493156251787,4.09761079662642,0.056,0,1
"ZC3H12D",0.000648928658841686,1.51264829590527,0.131,0.037,1
"IPO8",0.000659636009856788,4.09761079662642,0.051,0,1
"CCDC97",0.000662038179558353,4.09761079662642,0.059,0,1
