"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","test","log10_padj","category"
"CCR4",3.9095010033088e-11,5.9186406555811,0.165,0,3.18585236759634e-07,"MAST",6.49677435327557,"Up"
"MKLN1",7.63678454719149e-11,5.6664536319843,0.152,0,6.22321572750635e-07,"MAST",6.20598514395499,"Up"
"AQR",1.90263561779899e-09,5.21308801404636,0.123,0,1.5504577649444e-05,"MAST",4.80954005961138,"Up"
"STAM",4.04480810173759e-09,5.16800012451782,0.109,0,3.29611412210596e-05,"MAST",4.48199776003837,"Up"
"TPP1",6.61867764368401e-09,5.38054475989792,0.123,0,5.3935604118381e-05,"MAST",4.26812445248688,"Up"
"QRICH1",2.18396359758144e-07,5.14491651140478,0.091,0,0.00177971193566911,"MAST",2.74965028694589,"Up"
"EXOSC1",4.3220797933556e-07,4.9186406555811,0.096,0,0.00352206282360548,"MAST",2.45320290171858,"Up"
"PHF21A",4.70370216839952e-07,5.09761079662642,0.093,0,0.00383304689702877,"MAST",2.41645586715415,"Up"
"TBC1D5",6.50677533689058e-07,5.36064520246022,0.112,0,0.00530237122203213,"MAST",2.27552987033426,"Up"
"KLF3",8.74176561276433e-07,4.9186406555811,0.093,0,0.00712366479784165,"MAST",2.14729652433971,"Up"
"DICER1",1.65457227838581e-06,5.1907202010179,0.112,0,0.0134831094965659,"MAST",1.87020993855232,"Up"
