"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5A",0,11.7167730744205,1,0,0
"APOC1",2.0580887089212e-12,1.2676244290451,0.004,0.005,2.51889477084866e-08
"GLOD4",5.54317783605548e-09,-0.529882707056151,0.022,0.043,6.7842953535483e-05
"MIS18BP1",1.0891185030584e-07,1.82578687042255,0.169,0.047,0.00133297213589318
"NDUFA7.1",1.24887005937991e-07,0.297998078088624,0.009,0.014,0.00152849206567507
"IGLV8-61",8.24557406651249e-07,3.58955252393247,0.009,0.001,0.0100917581000046
"IGLC3",4.52442954552798e-06,-0.276696087178705,0.009,0.02,0.0553744932077169
"PPP4R3A",5.40189027756756e-06,2.35782223801668,0.091,0.018,0.0661137351071493
"NUP133",8.21625526115564e-06,3.30509913446377,0.052,0.005,0.100558748141284
"CEMIP2",1.2634072247395e-05,1.85258692976626,0.13,0.037,0.154628410235868
"RAB24",1.34672510037824e-05,2.39315531112896,0.082,0.016,0.164825685035293
"NFKB2",1.40724879439875e-05,1.53970397448191,0.13,0.047,0.172233179946463
"SBDS",2.81915861174541e-05,1.11824680500688,0.234,0.108,0.345036822491521
"ARID4B",2.89119936700862e-05,1.11431039044771,0.234,0.107,0.353853890528185
"RALGAPA1",3.30683613599306e-05,1.77166693438269,0.104,0.033,0.404723674684191
"AREG",3.32231868811191e-05,1.6872491978196,0.126,0.045,0.406618584238017
"UMAD1",3.63841682097525e-05,3.02946469185034,0.052,0.007,0.445305834719161
"NSMCE3",4.24159105973826e-05,2.12219398952354,0.091,0.022,0.519128329801365
"PCSK7",4.30036075774729e-05,1.09769942760279,0.19,0.092,0.52632115314069
"ELOC",4.8404875779855e-05,2.17881516208725,0.087,0.02,0.592427274669645
"VCP",4.88800102408818e-05,0.863234173965771,0.134,0.081,0.598242445338152
"AKAP8L",5.10860297694062e-05,2.055079793665,0.087,0.021,0.625241918347763
"CRYBG1",5.18778830162693e-05,2.15744151129468,0.087,0.02,0.634933410236119
"SELENOK",5.42410148525139e-05,1.61812167612924,0.143,0.047,0.663855780779917
"LINC02256",6.35735370485584e-05,2.63019450842981,0.061,0.01,0.778076519937307
"EAPP",6.74759517112306e-05,1.31781018621332,0.165,0.066,0.825838172993752
"KDM5A",7.41012657034464e-05,1.58409809384036,0.139,0.047,0.906925390944481
"ZBTB38",7.95773621695176e-05,2.14209354696125,0.087,0.021,0.973947335592726
"GSPT1",9.97234104673392e-05,1.86769382215647,0.1,0.028,1
"PTRH2",0.000101161365119908,2.70574554143699,0.056,0.009,1
"SDHAF3",0.000101890801497648,2.65994185182387,0.056,0.009,1
"TENT5C",0.000106536671615319,1.89839061937939,0.1,0.027,1
"MLF1",0.000109140658792827,2.85258692976626,0.004,0.001,1
"RUBCNL",0.000115188185793347,2.00823780022646,0.091,0.023,1
"TBK1",0.000118828880748725,2.39315531112896,0.065,0.013,1
"RTRAF",0.0001230016563506,1.72013663374261,0.1,0.034,1
"GCSAM",0.000137339105416036,0.506812092924532,0.017,0.018,1
"GRASP",0.000144698907289686,2.35508727029544,0.069,0.014,1
"SMCHD1",0.00014728383040517,0.917476460510285,0.203,0.12,1
"PRPF40A",0.000147387569004116,1.3153211710764,0.169,0.07,1
"C1orf43",0.000148380783768506,1.27322713527448,0.182,0.076,1
"ZPR1",0.00015407024476729,2.74567172584975,0.052,0.008,1
"SARAF",0.000160135344009058,1.27753989791019,0.268,0.12,1
"PCMTD1",0.000209948430644389,1.36262094298085,0.143,0.056,1
