"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5B",0,11.7205192471274,1,0,0
"SAMSN1",6.01253942844944e-07,0.947566206617477,0.227,0.127,0.00735874700647927
"JCHAIN",1.99017434615413e-06,1.82107346368001,0.134,0.04,0.0243577438225805
"TCL1A",2.4970949513877e-06,-0.666359428760234,0.123,0.195,0.030561945110034
"TOP3A",9.95305267566266e-06,5.58535966384573,0.013,0,0.121815411697435
"RPL10",1.28287262116165e-05,-0.391920259654191,1,0.998,0.157010780103975
"EVI2A",2.21457192544159e-05,0.756178379334944,0.163,0.103,0.271041457954796
"TBRG1",3.35976658068714e-05,1.34589372915034,0.137,0.054,0.411201831810299
"ELOB",4.90940306783705e-05,1.69054190053778,0.121,0.038,0.600861841472577
"RASSF6",6.36770185865042e-05,1.91550826553806,0.066,0.018,0.779343030480225
"ADAM28",6.40546674566575e-05,0.732730662023681,0.311,0.185,0.783965075002031
"SEM1",7.79798091301716e-05,1.72853606552382,0.093,0.027,0.95439488394417
"VIM",7.96127666470327e-05,0.821225270387245,0.3,0.164,0.974380650993033
"CMTM6",8.17822187551414e-05,0.280334318863133,0.359,0.27,1
"USP46-AS1",8.20424684873038e-05,5.36296724250928,0.011,0,1
"DNAJC4",9.9618314669376e-05,1.24662328127181,0.139,0.059,1
"PRR7",0.00010701267537633,-0.529423783404125,0.018,0.031,1
"ATP6V0C",0.00010847766392791,1.46905450089897,0.145,0.052,1
"CTSA",0.000113806017595148,0.965090294388617,0.073,0.041,1
"RPL26",0.000123662059449227,-0.346998065077238,0.954,0.965,1
"MLF1",0.000133341707981629,1.77800474178812,0.002,0.002,1
"SNU13",0.000135048954309324,1.48957355888885,0.128,0.048,1
"C12orf10",0.000139144481340059,-0.439225974432547,0.018,0.03,1
"GABARAP",0.000148062786423189,1.11503972906569,0.216,0.103,1
"EZR",0.000179221418936134,0.452474410220564,0.458,0.324,1
"ADAR",0.000267042529480551,1.1691954991126,0.13,0.057,1
"SCIMP",0.000272919723735909,1.29432557690415,0.126,0.052,1
"C15orf57",0.0002747523577769,-0.428446135679303,0.02,0.037,1
"MCRIP1",0.000356692463338785,2.37945536529785,0.046,0.009,1
"AL157402.2",0.000366746041626777,3.00039716312457,0.029,0.004,1
"NDUFV2",0.000397936800899462,0.927751861292804,0.154,0.08,1
