"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IL6",1.01195601452983e-210,11.9674531050227,1,0,1.23853296618306e-206
"RNF219",1.28957258341699e-31,1.12719970244448,0.009,0.012,1.57830788484406e-27
"AC016629.8",4.59752407087028e-22,1.67974072547326,0.009,0.008,5.62690971033813e-18
"FAM73A",7.8565807154748e-17,2.06306936502476,0.009,0.006,9.61566913766961e-13
"TPP1",9.13983563556181e-11,0.395011248540143,0.074,0.077,1.11862448343641e-06
"WNK1",4.58153201260073e-10,0.312369659824726,0.019,0.036,5.60733703022203e-06
"CCDC124",5.08325748067101e-09,0.457348304136809,0.037,0.04,6.22139883059325e-05
"KIAA0430",5.49755648901e-08,1.38695897624541,0.019,0.014,0.000672845938689934
"USP9X",5.99329022762424e-08,0.847863484281583,0.028,0.025,0.000733518790958931
"MT1X",9.32788745537753e-08,3.11452216005051,0.083,0.044,0.00114164014566366
"POLR3K",9.63330044639571e-08,0.71626660149837,0.037,0.034,0.00117901964163437
"TRAPPC4",1.2972088706045e-07,0.966044910629897,0.028,0.023,0.00158765393673284
"PILRB",1.63113999367774e-07,1.22907931646369,0.028,0.023,0.00199635223826219
"HEXIM1",4.49723272827402e-07,1.03819469638573,0.028,0.022,0.00550416313613457
"MED29",1.04411399580588e-06,0.971921476966567,0.037,0.028,0.0127789111946681
"ZNF3",1.36610276299679e-06,1.64411681574254,0.019,0.012,0.0167197317163177
"PSCA",1.4438778005792e-06,1.19431389830301,0.009,0.012,0.0176716204012888
"FOS",1.52406648014504e-06,0.80301210037499,0.639,0.483,0.0186530496504952
"CUTC",2.70055933052073e-06,1.01677571275083,0.037,0.027,0.0330521456462432
"CD69",2.11663414772739e-05,0.744730065622064,0.806,0.66,0.259054853340355
"RTN4",2.69155963787607e-05,1.38206017683257,0.194,0.084,0.329419984079653
"FADS3",2.94406086974458e-05,1.19431389830301,0.074,0.04,0.36032360984804
"SERINC3",2.96623998241613e-05,1.19431389830301,0.074,0.04,0.36303811144791
"NADSYN1",3.89937963687533e-05,1.58663132108178,0.037,0.018,0.477245073757172
"LRCH1",4.16047290501258e-05,1.39680676220176,0.037,0.021,0.509200278844489
"TXNDC17",5.42046959202883e-05,1.70621293683445,0.083,0.031,0.663411273368408
"TCIRG1",0.000103150405964504,0.392859577685094,0.028,0.035,1
"SLTM",0.000158568020732431,-0.28373339850163,0.056,0.089,1
"VGLL4",0.000179710437374277,1.70049928564005,0.046,0.02,1
"RIPOR2",0.000329756537392364,-2.73304079986522,0,0.06,1
"HEBP2",0.000470002277275732,2.30122910221953,0.083,0.017,1
"BIN2",0.000518652408009913,0.968245818823168,0.046,0.037,1
"CDK5RAP3",0.000555285701947726,0.394338506611007,0.056,0.056,1
"TNFRSF17",0.000608725050783,0.847863484281583,0.028,0.025,1
"IRF2BPL",0.000613842363974593,2.41670631963946,0.046,0.012,1
"RBM38",0.00113234102011628,0.592277884222917,0.056,0.049,1
"TMEM160",0.00124698849736459,1.30864657378201,0.12,0.055,1
"PIM3",0.00130908976868889,0.594164993767182,0.056,0.053,1
"PTP4A1",0.00141866552419566,1.00166882036062,0.231,0.115,1
"ARL2BP",0.00148320945509285,0.617004970125294,0.065,0.054,1
"ARL4A",0.00149109895047434,0.986293594473703,0.287,0.149,1
"SLC2A3",0.00157112261423869,0.670751942246001,0.444,0.284,1
"MT2A",0.00164147519584303,2.27474216279262,0.12,0.078,1
"EGR2",0.00169561601401892,0.886191602940682,0.028,0.028,1
"DNAJA4",0.00171755881284695,3.77927639902417,0.019,0.001,1
"TES",0.00178448542988106,-2.44954229147171,0,0.05,1
"ORMDL1",0.00218303232062555,0.721560901167883,0.102,0.077,1
"BCL2A1",0.00227063722286268,0.542237201723321,0.333,0.207,1
"MAPRE2",0.00227532888836597,0.7191149638074,0.102,0.073,1
"TMED9",0.00231604154528448,1.01374165266119,0.12,0.068,1
"TATDN1",0.00249038659241564,1.77137120093882,0.111,0.035,1
"PPTC7",0.00260039085538684,2.54223720172332,0.065,0.012,1
"MSH6",0.0027033867178704,2.76462962305977,0.056,0.009,1
"C12orf5",0.00290197252102894,3.41670631963946,0.019,0.003,1
"ATP5I",0.00303959185661962,0.753741306917033,0.241,0.172,1
"AC022167.3",0.0034472434264797,4.41670631963946,0.028,0.001,1
"DYNLT1",0.00349401913504084,0.784438104139949,0.074,0.053,1
"C7orf73",0.0035608942938076,0.905744400362082,0.074,0.049,1
"UBALD2",0.00377023414870408,1.0947782247521,0.074,0.043,1
"TAF4",0.00382390652073335,5.00166882036062,0.019,0.001,1
"HBA2",0.00383271656507845,-3.70913761333873,0,0.041,1
"TPM4",0.00384723363484704,0.424239992324869,0.12,0.108,1
"CD83",0.00385992944063837,0.504330184947214,0.657,0.543,1
"HSP90AA1",0.00391794501471264,0.561315700343568,0.546,0.519,1
"PIKFYVE",0.00396709333446067,0.741141270137399,0.093,0.066,1
"CYCS",0.00402801367250393,0.588511054299997,0.491,0.333,1
"ZNF575",0.00406426777968466,5.00166882036062,0.019,0.001,1
"DCTN2",0.00409302389590556,-2.25571902233203,0,0.044,1
"PLAC8",0.00420215565723026,0.743516635906571,0.315,0.185,1
"TMEM50B",0.0043092724751935,0.876973072911304,0.065,0.045,1
"RP11-277L2.4",0.00449155871123874,1.79221545473167,0.102,0.031,1
"HINT1",0.00452078959105289,0.528639598322599,0.546,0.4,1
"GLTPD1",0.0045580814288875,3.62315719710689,0.037,0.003,1
"ANXA2R",0.00462023788857988,1.9660449106299,0.083,0.023,1
"CCL4",0.004634647652293,1.91845545211164,0.139,0.059,1
"CATSPER2",0.00498440657324712,2.12719970244448,0.009,0.006,1
"HEXB",0.00515014095309947,1.06755675601708,0.046,0.03,1
"FAM60A",0.00572715456893619,-0.320259274526745,0.028,0.056,1
"ZFAND6",0.00575723558938517,-1.50929309891676,0.037,0.127,1
"PARP8",0.00671799727507889,1.46561592012041,0.074,0.033,1
"NFKBID",0.00695429861831697,0.496140787133867,0.306,0.196,1
"TRA2B",0.00697969725095014,0.665143349260298,0.398,0.295,1
"BZW1",0.00701913538411015,1.05355556202559,0.194,0.101,1
"LINC01781",0.00707098780822574,-1.95252749002626,0,0.036,1
"SEL1L3",0.00716546948644972,0.79911281467834,0.13,0.088,1
"EIF4EBP3",0.00784872010905986,3.15367191380567,0.037,0.005,1
"RBMX",0.00810969943101993,0.727995894080477,0.324,0.201,1
"CCL3",0.00904451708604631,1.5296003760454,0.13,0.053,1
"SWAP70",0.0101363992587376,-0.252087771885165,0.093,0.138,1
"MRPS25",0.0101558638065264,-1.96411546430147,0,0.036,1
"PHKB",0.0102698068230461,-1.94084568497862,0,0.035,1
"IGLC3",0.0102847257140264,1.49916847983144,0.037,0.019,1
"TSSC4",0.0111393789501153,-1.9052217752479,0,0.034,1
"PHB2",0.0111780410975982,0.314091253156576,0.102,0.096,1
"APOE",0.0112123717481281,2.67974072547326,0.009,0.004,1
"SURF1",0.011401580181801,-1.89314894294732,0,0.034,1
"NDUFB8.1",0.0114571797156149,1.12547502197502,0.167,0.079,1
"BCCIP",0.0115345608656932,-1.9052217752479,0,0.034,1
"OGA",0.0123204145283709,-1.80568610169699,0,0.032,1
"IFI35",0.0127769653600024,-1.86869589922279,0,0.034,1
"MSN",0.0130423124338232,0.347032791832651,0.13,0.116,1
"RPSAP58",0.0130652574966928,1.07814755020798,0.194,0.097,1
"DDHD2",0.0132892160908632,2.0947782247521,0.065,0.017,1
"CEPT1",0.0134289975744353,1.30122910221953,0.111,0.051,1
"SCAMP3",0.014104389929599,-1.84382123058376,0,0.033,1
"RBPJ",0.0141291388369905,0.551635899725571,0.046,0.043,1
"POLR3GL",0.0142872379756663,0.459410770593701,0.074,0.066,1
"DUSP10",0.014312856988073,0.815802275049284,0.028,0.025,1
"NKTR",0.0148988740875717,-1.66603411136847,0.019,0.084,1
"CDC37",0.0152609339000369,0.902133146809704,0.185,0.103,1
"JMJD6",0.0153365495596082,-1.77969089316404,0,0.032,1
"VPS37B",0.0154012992777128,0.81977117725223,0.176,0.099,1
"DCXR",0.0154276944353766,1.11758810766019,0.148,0.071,1
"SUMF2",0.015519693604604,0.721560901167883,0.046,0.038,1
"CAMKMT",0.0157239907743639,2.93127949246922,0.037,0.006,1
"FOSB",0.0157568621591835,0.568457391939511,0.398,0.276,1
"PLEKHG1",0.0160865742015926,1.41670631963946,0.093,0.038,1
"BTG2",0.0165312159480063,0.559388785108034,0.389,0.268,1
"DOK3",0.0169065895654555,-1.76651550441631,0,0.031,1
"TMLHE",0.0170707790865507,2.49916847983144,0.046,0.01,1
"XAF1",0.0171809966921526,-1.77969089316404,0,0.031,1
"ATG4B",0.0181704791736137,1.76220288566523,0.074,0.024,1
"ATP5MC1",0.0185775086564051,-1.64218736941411,0,0.029,1
"COPZ1",0.0185976788552612,1.25034793321734,0.13,0.058,1
"PLK3",0.0187854883267012,-1.73979816604053,0,0.03,1
"AL356512.1",0.0190016955256804,6.00166882036062,0.009,0,1
"GDPD1",0.0190016955256804,6.00166882036062,0.009,0,1
"TDRKH",0.0190016955256804,6.00166882036062,0.009,0,1
"DNAJA2",0.0190287270339835,1.30122910221953,0.12,0.052,1
"PDIA5",0.0190422527817337,6.00166882036062,0.009,0,1
"AL691447.2",0.0190833406905885,6.00166882036062,0.009,0,1
"ZNF888",0.0191800487450972,6.00166882036062,0.009,0,1
"C1orf86",0.0192421399192336,0.65294066612954,0.056,0.046,1
"ARL6IP1",0.0192966096123877,0.876973072911304,0.222,0.131,1
"ANXA6",0.0192967079439432,0.655893983518888,0.241,0.154,1
"AC023355.1",0.0193464953237643,6.00166882036062,0.009,0,1
"MUC5AC",0.0195672567261407,-1.65654266239118,0,0.028,1
"TMEM234",0.0198072383001721,3.54223720172332,0.028,0.003,1
"PKN1",0.02016449657933,-1.69877089778047,0,0.029,1
"ZNF821",0.0204455746508077,-1.69877089778047,0,0.029,1
"DNAJB1",0.0205815270648165,0.70227761423379,0.389,0.298,1
"JUNB",0.0207090204752916,0.441406760267786,0.685,0.582,1
"BTF3L4",0.0209597959870822,1.04747250997374,0.157,0.079,1
