"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"IL6",1.01195601452983e-210,11.9674531050227,1,0,1.23853296618306e-206,205.907092429255,"Up"
"RNF219",1.28957258341699e-31,1.12719970244448,0.009,0.012,1.57830788484406e-27,26.8018082738477,"Up"
"AC016629.8",4.59752407087028e-22,1.67974072547326,0.009,0.008,5.62690971033813e-18,17.2497300535001,"Up"
"FAM73A",7.8565807154748e-17,2.06306936502476,0.009,0.006,9.61566913766961e-13,12.0170204885772,"Up"
"KIAA0430",5.49755648901e-08,1.38695897624541,0.019,0.014,0.000672845938689934,3.17208436465596,"Up"
"MT1X",9.32788745537753e-08,3.11452216005051,0.083,0.044,0.00114164014566366,2.94247076770206,"Up"
"PILRB",1.63113999367774e-07,1.22907931646369,0.028,0.023,0.00199635223826219,2.69976282896185,"Up"
"HEXIM1",4.49723272827402e-07,1.03819469638573,0.028,0.022,0.00550416313613457,2.25930870266624,"Up"
"ZNF3",1.36610276299679e-06,1.64411681574254,0.019,0.012,0.0167197317163177,1.77677069550093,"Up"
"PSCA",1.4438778005792e-06,1.19431389830301,0.009,0.012,0.0176716204012888,1.7527236259843,"Up"
