"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5A",1.7945822936491e-30,8.09702881794034,1,0,1.93079108973706e-26
"EXOSC7",0.000395841969627414,5.15842936260448,0.095,0,1
"DYNLT3",0.000590844065393506,5.89539495677069,0.19,0,1
"ESM1",0.000825085071056803,1.35107444054688,0.048,0.052,1
"C12orf23",0.00104224823886877,3.57346686188333,0.095,0.004,1
"RAB22A",0.00114708596120252,4.57346686188333,0.143,0.004,1
"SNHG9",0.00124456577058742,2.13289427049735,0.286,0.06,1
"PPT1",0.0014208041760815,2.98850436116217,0.286,0.04,1
"ELK3",0.00153448769700896,-2.23388806017428,0,0.208,1
"CCDC127",0.001674428778676,5.15842936260448,0.095,0,1
"KPNA1",0.00209761644608064,5.15842936260448,0.095,0,1
"NDUFB11",0.00222310128943242,-2.25942315228142,0,0.192,1
"SEPT11",0.00362126426402579,5.15842936260448,0.095,0,1
"CSTB",0.00407405618339064,-1.38072944850355,0.095,0.332,1
"MMRN2",0.00409744881230745,1.76611193982572,0.429,0.116,1
"CCDC3",0.00410168369414912,2.79585928321977,0.286,0.04,1
"SNAPC1",0.0051033978029985,3.57346686188333,0.095,0.004,1
"OFD1",0.00516798863689872,1.69899774396719,0.048,0.04,1
"SELENOM",0.00577528314195079,-0.950095094173686,0,0.084,1
"MALT1",0.0058941201105668,4.15842936260448,0.095,0.004,1
"MIR22HG",0.00597686901255661,4.31043245604953,0.19,0.008,1
"SF3B5",0.00660366919556126,-1.95009509417369,0,0.164,1
"RP11-343N15.5",0.0066234719709029,4.15842936260448,0.095,0.004,1
"PDCL",0.00707496423149736,1.83650126771712,0.048,0.036,1
"SULF1",0.00717099361161637,5.15842936260448,0.095,0,1
"FGL2",0.00968389346232366,5.15842936260448,0.095,0,1
"TMEM100",0.00968389346232366,5.15842936260448,0.095,0,1
"MARCKS",0.00975315485596697,-1.67446065156026,0,0.14,1
"ECM1",0.0102438129170309,5.15842936260448,0.095,0,1
"SELENOH",0.010540912208039,-0.748461233004036,0,0.076,1
"CARD6",0.0110100865919695,5.15842936260448,0.095,0,1
"ZEB1",0.0111644067317239,-1.12697285625777,0,0.092,1
"ARL15",0.0119864668202677,2.79585928321977,0.238,0.04,1
"POR",0.0124203572249172,3.57346686188333,0.095,0.008,1
"STIM1",0.0128260412375526,5.15842936260448,0.095,0,1
"CALML4",0.0130205122267817,5.15842936260448,0.095,0,1
"ATF3",0.0130709317580775,2.76611193982572,0.333,0.044,1
"DYNC1H1",0.0131943419134647,-1.28451413324425,0,0.108,1
"RAB13",0.0133405360109321,-1.1407786557828,0.143,0.368,1
"CNIH1",0.0137203613197409,1.89539495677069,0.381,0.104,1
"SCAND1",0.013737616350142,-1.98112198979431,0,0.16,1
"SLC25A25",0.0138956401612212,4.31043245604953,0.19,0.008,1
"COPE",0.0149675763416866,-2.20789285164133,0,0.168,1
"TAGLN2",0.0150600275766958,0.44418384493836,0.857,0.52,1
"DIAPH2",0.0153658106392517,4.15842936260448,0.095,0.004,1
"ABI1",0.0156906248809301,2.98850436116217,0.095,0.02,1
"ABHD17A",0.0159998753914572,4.15842936260448,0.095,0.004,1
"EXOSC8",0.0162381207888424,4.15842936260448,0.095,0.004,1
"DAB2",0.0165094525515944,-1.51399597936701,0,0.12,1
"RPP14",0.0169566466297975,3.57346686188333,0.095,0.008,1
"USHBP1",0.0169832092669819,2.57346686188333,0.095,0.012,1
"CASP3",0.0170671404564597,3.57346686188333,0.095,0.008,1
"EFNA1",0.0176088921576109,0.573466861883327,0.19,0.2,1
"PLCB1",0.0177833493133093,-1.51399597936701,0,0.12,1
"LHX6",0.018097643941776,3.15842936260448,0.095,0.008,1
"RBPMS",0.0190866944445273,-1.23388806017428,0,0.1,1
"S100A4",0.0195761121165168,1.28396024468834,0.333,0.112,1
"LSMD1",0.0198586309413251,-0.869476633965401,0.048,0.256,1
"SUMO2",0.0207590216583133,0.873027143742235,0.81,0.476,1
"C19orf70",0.0213622279559388,-1.95009509417369,0,0.16,1
"APRT",0.0214940194659104,-1.91838623444635,0,0.156,1
"DIMT1",0.0219752925923992,2.35107444054688,0.095,0.008,1
"LMAN1",0.0226576210275089,2.69899774396719,0.238,0.04,1
"MT1E",0.0228254964750188,3.08804003471309,0.19,0.024,1
"TSC22D4",0.0249448498430793,3.57346686188333,0.095,0.008,1
"SRSF10",0.0252279906178545,-0.333423733725192,0,0.056,1
"NUB1",0.0252328025456345,3.57346686188333,0.095,0.008,1
"CTSH",0.0253002172295886,-1.59645813955899,0,0.116,1
"BMX",0.0254624427293469,5.15842936260448,0.095,0,1
"BGN",0.0267402139449133,-1.12697285625777,0,0.088,1
"LTBP4",0.0267752394779711,3.57346686188333,0.19,0.016,1
"CDKN1C",0.0268362142586614,4.57346686188333,0.048,0,1
"TMEM261",0.0269609656830485,2.40354186044101,0.143,0.024,1
"MYO1C",0.0276680855623854,2.29335894269059,0.286,0.06,1
"FHL1",0.0280696917888369,4.15842936260448,0.095,0.004,1
"EIF4H",0.0280812174214775,-0.596458139558986,0,0.068,1
"LYPLA2",0.0282056781897368,2.83650126771712,0.095,0.012,1
"CYTH1",0.0284181932879161,2.66657626627481,0.333,0.056,1
"SERPINB1",0.0286648532953146,2.21089678249862,0.286,0.064,1
"AP3S1",0.0294728715402143,1.40354186044101,0.238,0.084,1
"NHP2L1",0.0296539111320728,-2.04124298223188,0,0.164,1
"GADD45B",0.0316915593806144,1.57346686188333,0.524,0.196,1
"CYHR1",0.0319808407265127,3.57346686188333,0.095,0.008,1
"DPYD",0.0330094627354127,4.15842936260448,0.095,0.004,1
"ATF4",0.0332004213564803,1.48600402063299,0.333,0.116,1
"ERF",0.0333547082405526,3.25153876699596,0.143,0.016,1
"FBLN5",0.0337010709356426,3.98850436116217,0.143,0.008,1
"NDUFA6",0.0339671111054691,-1.59645813955899,0,0.116,1
"SEC61G",0.0340478487072513,-1.72421368675736,0.095,0.352,1
"ADGRF5",0.0345937267672905,2.68038206579984,0.286,0.044,1
"ZNF664",0.0346670793197995,4.15842936260448,0.095,0.004,1
"CHMP7",0.0347668335449831,4.57346686188333,0.048,0,1
"AFMID",0.0349016031603092,4.57346686188333,0.048,0,1
"GBA",0.0352271280282594,4.57346686188333,0.048,0,1
"SAYSD1",0.0352271280282594,4.57346686188333,0.048,0,1
"SLC18B1",0.0352271280282594,4.57346686188333,0.048,0,1
"THUMPD1",0.0352271280282594,4.57346686188333,0.048,0,1
"NOL7",0.0353236914666596,-1.33342373372519,0,0.096,1
"SPP1",0.0358615661359585,1.6559290220753,0.048,0.068,1
"NUDCD1",0.0363823117944731,3.57346686188333,0.143,0.012,1
"TAP1",0.0368524052379032,-0.596458139558986,0,0.068,1
"PCMT1",0.0372546477871403,1.6474674433271,0.19,0.064,1
"FRYL",0.0373059091804625,-0.674460651560259,0,0.072,1
"EIF5B",0.0376216069412413,0.732164607902385,0.143,0.144,1
"HLA-DMA",0.0376295430322192,-1.42653313811667,0,0.112,1
"BTG2",0.0382133432471577,1.66657626627481,0.333,0.108,1
"MDH1",0.0387372287447164,2.25153876699596,0.143,0.028,1
"MATN2",0.0391336498951059,-1.0703893278914,0,0.088,1
"TUBB6",0.0392233036732895,-1.01149563883783,0,0.088,1
"PSMB2",0.0400149660166119,-1.18142064028014,0,0.1,1
"RYBP",0.0401038115333042,3.57346686188333,0.095,0.008,1
"COPS7B",0.0406697772377567,4.57346686188333,0.048,0,1
"DAAM1",0.0406697772377567,4.57346686188333,0.048,0,1
"ETV5",0.0406697772377567,4.57346686188333,0.048,0,1
"KAZN",0.0406697772377567,4.57346686188333,0.048,0,1
"LIN7C",0.0406697772377567,4.57346686188333,0.048,0,1
"MLTK",0.0406697772377567,4.57346686188333,0.048,0,1
"NARG2",0.0406697772377567,4.57346686188333,0.048,0,1
"NUAK2",0.0406697772377567,4.57346686188333,0.048,0,1
"SPATA6L",0.0406697772377567,4.57346686188333,0.048,0,1
"STRIP1",0.0406697772377567,4.57346686188333,0.048,0,1
"TRAPPC6B",0.0406697772377567,4.57346686188333,0.048,0,1
"USP14",0.0406697772377567,4.57346686188333,0.048,0,1
"USP3",0.0406697772377567,4.57346686188333,0.048,0,1
"VPS52",0.0406697772377567,4.57346686188333,0.048,0,1
"RNF138",0.0410069963202923,3.57346686188333,0.095,0.008,1
"DEPP1",0.0410363041154642,2.68038206579984,0.238,0.032,1
"LINC00493",0.0429510015073958,1.87302714374224,0.095,0.048,1
"IVNS1ABP",0.042974251723996,-0.950095094173686,0,0.08,1
"EIF4A2",0.0432078037607009,1.03289848052062,0.429,0.208,1
"NDN",0.0432868503412785,2.98850436116217,0.048,0.004,1
"DPY19L4",0.0436117663896119,4.15842936260448,0.095,0.004,1
"SDF2",0.0439728809392527,2.98850436116217,0.143,0.016,1
"ZC3H15",0.0440714680720404,0.457989644463391,0.048,0.092,1
"ARHGAP17",0.0444813215626171,4.15842936260448,0.095,0.004,1
"AES",0.0447652726468042,1.52284078881336,0.286,0.1,1
"RPS19",0.0447894951861264,-1.00480098626382,0.857,0.924,1
"CYFIP1",0.0451071981434534,-0.748461233004036,0,0.076,1
"NDUFA1",0.0455376369158542,-1.51399597936701,0.048,0.244,1
"CHD9",0.0456667390132466,-1.12697285625777,0,0.088,1
"CSRP2",0.0464873897872742,2.13289427049735,0.286,0.064,1
"C1orf174",0.0465825710810414,4.57346686188333,0.048,0,1
"EAF1",0.0465825710810414,4.57346686188333,0.048,0,1
"FAM175A",0.0465825710810414,4.57346686188333,0.048,0,1
"FAM219A",0.0465825710810414,4.57346686188333,0.048,0,1
"NAA15",0.0465825710810414,4.57346686188333,0.048,0,1
"RP11-51J9.5",0.0465825710810414,4.57346686188333,0.048,0,1
"SEPT4",0.0465825710810414,4.57346686188333,0.048,0,1
"TPPP3",0.0465825710810414,4.57346686188333,0.048,0,1
