"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5B",9.28077501692884e-35,8.05354581772798,1,0,9.98518584071374e-31
"MYO1C",7.72755211216293e-06,0.491303393506911,0.04,0.081,0.0831407331747609
"DPYSL2",6.14217879523207e-05,0.906340892785755,0.12,0.159,0.660837016579018
"DOCK6",8.95475212164635e-05,0.796157975035332,0.04,0.065,0.963441780767931
"TFF1",9.25653086233963e-05,1.86569890828841,0.08,0.085,0.995910155479121
"PLAU",0.000179504014328988,0.883620816285671,0.04,0.061,1
"USP47",0.000234722660541965,5.29865831556451,0.12,0,1
"PCBP2",0.000304561169678652,1.65820070225166,0.52,0.207,1
"MBNL1",0.000548859191099319,2.18318109814458,0.44,0.093,1
"RPP14",0.00077442359250384,4.29865831556451,0.12,0.004,1
"AMN1",0.00127833417222368,5.29865831556451,0.08,0,1
"MESDC1",0.00130497706172704,1.18318109814458,0.04,0.049,1
"CCNL1",0.00140469360525498,0.920146692310785,0.24,0.199,1
"COMT",0.0015709636016767,2.29865831556452,0.32,0.065,1
"TFEB",0.00175115112008635,4.88362081628567,0.08,0,1
"NDUFB3",0.00177339875452077,1.81323148839427,0.36,0.089,1
"DDX20",0.00185626463078303,5.29865831556451,0.08,0,1
"COX8A",0.00188718980419213,1.65480212578979,0.48,0.183,1
"AMZ2",0.00197415565459902,4.88362081628567,0.08,0,1
"SNX27",0.00197415565459902,4.88362081628567,0.08,0,1
"CC2D1A",0.00203655483666236,4.29865831556451,0.12,0.004,1
"SNRNP35",0.00211138446882313,4.29865831556451,0.12,0.004,1
"KANSL3",0.00212762522148042,4.88362081628567,0.08,0,1
"NOSIP",0.00239509399397914,2.37265889700829,0.32,0.073,1
"RNF138",0.00263581862444949,4.29865831556451,0.12,0.004,1
"DLC1",0.00282309802361285,1.88362081628567,0.44,0.122,1
"EIF4A2",0.0028513045628056,1.04490172331873,0.48,0.199,1
"TRIM52-AS1",0.00297423874957138,4.88362081628567,0.08,0,1
"MRPL32",0.00302875409903839,1.29865831556452,0.04,0.045,1
"SKIL",0.00315326058929952,-1.70134168443548,0,0.126,1
"KCTD9",0.00349180995033747,4.88362081628567,0.08,0,1
"EBP",0.00378336381600391,4.88362081628567,0.08,0,1
"PCSK7",0.00417312444147656,3.29865831556452,0.16,0.02,1
"SHE",0.00489685812986764,2.71369581484336,0.2,0.028,1
"VAMP3",0.00583195346419752,1.88362081628567,0.16,0.061,1
"PSMB6",0.00593349490156439,1.29865831556452,0.4,0.138,1
"BTG3",0.0059580275858264,4.29865831556451,0.12,0.004,1
"EFHC1",0.00629917351199,3.88362081628567,0.08,0.004,1
"LCN6.1",0.0063467740403127,2.56169272139831,0.12,0.033,1
"SSBP1",0.0065274426332809,0.65480212578979,0.08,0.098,1
"GLRX3",0.00672923617717724,1.97673022067715,0.12,0.016,1
"MAP1LC3B",0.00707153374410644,1.67416745065672,0.32,0.142,1
"EIF4EBP1",0.00715464084297578,2.56169272139831,0.2,0.033,1
"RAD23B",0.00738526172295516,1.56169272139831,0.04,0.037,1
"NSA2",0.00765016081438969,1.56169272139831,0.04,0.037,1
"AGK",0.00785238262522813,4.88362081628567,0.08,0,1
"TSPAN4",0.00800243389723153,-2.09365910721424,0,0.146,1
"AL590079.1",0.00836575868250645,4.88362081628567,0.08,0,1
"KDM1A",0.00836575868250645,4.88362081628567,0.08,0,1
"NXN",0.00836575868250645,4.88362081628567,0.08,0,1
"PRAG1",0.00836575868250645,4.88362081628567,0.08,0,1
"SGF29",0.00836575868250645,4.88362081628567,0.08,0,1
"TBL2",0.00836575868250645,4.88362081628567,0.08,0,1
"IQCJ-SCHIP1",0.00852789889102432,4.88362081628567,0.08,0,1
"MARCH9",0.00853192465575211,3.88362081628567,0.08,0.004,1
"MTDH",0.00890291058419136,1.46576830139977,0.52,0.215,1
"GIMAP5",0.00936425105457164,2.21119547431418,0.24,0.061,1
"ANO6",0.00957766990953549,3.52105073690096,0.2,0.016,1
"ZNF638",0.00975197705569078,3.88362081628567,0.08,0.004,1
"MIR22HG",0.00985358878345662,4.03562390973072,0.16,0.008,1
"NBPF15",0.0101930393051707,4.88362081628567,0.08,0,1
"PRKX",0.0101930393051707,4.88362081628567,0.08,0,1
"REPIN1",0.0101930393051707,4.88362081628567,0.08,0,1
"YEATS2",0.0101930393051707,5.29865831556451,0.08,0,1
"SLC35A5",0.0105497141074017,3.88362081628567,0.08,0.004,1
"LIMS1",0.0105889350255884,0.713695814843359,0.08,0.093,1
"MRTO4",0.0106034251235202,3.88362081628567,0.08,0.004,1
"EMD",0.0107127850386538,3.62058641045188,0.16,0.012,1
"CTNNBIP1",0.0109524518410296,3.71369581484336,0.12,0.008,1
"PSMA6",0.011659255990536,-0.94926919787907,0,0.065,1
"VASH1",0.0117165573597026,2.88362081628567,0.2,0.024,1
"A2M",0.012773898803082,0.457356061583573,0.92,0.606,1
"APOL2",0.0130357538919347,3.88362081628567,0.08,0.004,1
"ADRM1",0.0133552022270681,-2.02326977932285,0,0.142,1
"BTF3",0.0134673611433678,0.802232489445016,0.84,0.504,1
"GTF2E2",0.0138336811000405,3.88362081628567,0.08,0.004,1
"SNRPB2",0.0139145254582386,1.45066140900957,0.32,0.126,1
"MFSD10",0.0140759367855693,2.81323148839427,0.16,0.024,1
"NUDT21",0.0141502373920278,1.56169272139831,0.04,0.037,1
"PPID",0.014240124657892,2.71369581484336,0.12,0.016,1
"NHP2L1",0.0147138026419281,-2.31605152855069,0,0.167,1
"NUCB2",0.0149095270854189,-1.78880452568582,0,0.126,1
"CMPK1",0.0149584854866865,1.93608823617981,0.24,0.065,1
"RAB7L1",0.0154817868866914,3.88362081628567,0.08,0.004,1
"NDUFB8.1",0.0157911789361336,1.56169272139831,0.24,0.102,1
"CDKN1A",0.0162720391031757,1.65480212578979,0.44,0.187,1
"GCC2",0.0162775067961807,0.713695814843359,0.04,0.065,1
"ADAMTS1",0.0166181506816507,2.46858331700683,0.28,0.061,1
"LGALS9",0.016720458449906,-1.28630418515664,0,0.085,1
