"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TGM2",4.72057784742746e-40,8.04015712647198,1,0,5.07886970604721e-36
"LY6E",0.000175499780603817,1.50790944254875,0.516,0.15,1
"TBL1XR1",0.000623210195894071,0.730301863885195,0.032,0.054,1
"MTSS1",0.00089074389054364,4.95269428522164,0.097,0,1
"FJX1",0.00100342481711715,4.95269428522164,0.097,0,1
"PTAFR",0.00115691427854261,4.95269428522164,0.097,0,1
"TUBG1",0.0012650380035907,3.95269428522164,0.097,0.004,1
"ACKR1",0.0013027850287009,2.42913232916463,0.419,0.079,1
"GPATCH8",0.0013716720055132,3.95269428522164,0.129,0.008,1
"IL33",0.00187752697162995,2.27462238010901,0.29,0.058,1
"CRLS1",0.00188044370594459,3.95269428522164,0.097,0.004,1
"CDC42EP4",0.00188950515321152,4.95269428522164,0.097,0,1
"N4BP2L2",0.00193065044318829,-2.60189456645599,0,0.167,1
"HLA-DRA",0.00193472470168554,0.359464168516887,0.645,0.333,1
"NUDT4",0.00215566306995813,0.952694285221643,0.032,0.046,1
"ITGB4",0.00217575749372441,2.57418266196791,0.29,0.05,1
"PIEZO1",0.00246572277451648,0.952694285221643,0.032,0.046,1
"RBMS3",0.00286476176802295,4.5376567859428,0.065,0,1
"HS3ST1",0.00290382499316636,3.68965987938785,0.129,0.008,1
"GNL2",0.00290450008340339,3.36773178450049,0.097,0.004,1
"C8orf4",0.00305786421273757,-3.31409225547326,0,0.212,1
"AIDA",0.00325962612411913,2.7303018638852,0.161,0.021,1
"C19orf70",0.00356614021557935,-2.57086767083537,0,0.167,1
"MYO9A",0.00371987369619906,4.95269428522164,0.097,0,1
"MET",0.00402192876218263,4.5376567859428,0.065,0,1
"ALDH7A1",0.00418863108516462,3.5376567859428,0.065,0.004,1
"DNAJB11",0.0046847071251037,2.21572869105544,0.161,0.033,1
"MSRB3",0.00519860552808054,3.68965987938785,0.129,0.008,1
"HLA-DQB1",0.00521398789762868,1.7303018638852,0.258,0.075,1
"ALG8",0.00532034189729388,3.5376567859428,0.065,0.004,1
"VWF",0.00545190566319211,0.865231443971304,0.774,0.425,1
"DUSP23",0.00599150194821678,1.08479782122899,0.548,0.225,1
"GNS",0.00615307463123633,3.27462238010901,0.129,0.013,1
"CLSTN3",0.0062821004009313,2.95269428522164,0.161,0.021,1
"NFYC",0.00631402915281363,3.68965987938785,0.129,0.008,1
"PECAM1",0.0064271033225489,1.22334187516531,0.581,0.221,1
"MOSPD2",0.00645321364510042,4.5376567859428,0.065,0,1
"SCO1",0.00651343543459246,4.5376567859428,0.065,0,1
"SH3BP2",0.00677356332414203,2.5376567859428,0.161,0.025,1
"STC1",0.00677735018851398,2.41212590385894,0.258,0.058,1
"PCYOX1",0.00766409952717623,4.5376567859428,0.065,0,1
"SKP1",0.0076699934533275,-1.41362792902417,0.226,0.488,1
"SELP",0.00768858833768673,1.67967579081523,0.323,0.092,1
"CHCHD7",0.0077202383586873,3.27462238010901,0.129,0.013,1
"SNAP25",0.00799397867617967,4.5376567859428,0.065,0,1
"NFKBIZ",0.00800690454133209,2.28972927249921,0.323,0.067,1
"PDLIM1",0.00803839113291346,0.738569479868796,0.71,0.367,1
"EHMT1",0.00810177891954312,4.5376567859428,0.065,0,1
"STRN",0.00830171372748849,3.5376567859428,0.065,0.004,1
"ARMC5",0.00849002047044903,4.5376567859428,0.065,0,1
"MAGI1",0.00856399634943387,-1.69116190455308,0,0.092,1
"MRPS25",0.00859560321931841,4.5376567859428,0.065,0,1
"RUVBL1",0.00921952711238601,4.5376567859428,0.065,0,1
"ROBO1",0.00955189524390274,2.95269428522164,0.194,0.025,1
"MT-ND4L",0.00972192307645493,1.11444535521826,0.774,0.367,1
"C21orf59",0.0104480922819686,2.63076619033428,0.032,0.017,1
"BCL3",0.0107300107665616,2.12261928666396,0.258,0.058,1
"RAC1",0.0109211668049841,0.604770981801336,0.677,0.383,1
"PSMB2",0.0109548274937763,-1.80219321694182,0,0.104,1
"TUBB",0.0112030077267531,1.1094197889091,0.516,0.225,1
"STAT3",0.0113756183500035,1.95269428522164,0.355,0.092,1
"THRA",0.0113801834365938,4.5376567859428,0.065,0,1
"SQSTM1",0.0117660948302343,1.17508670655809,0.613,0.262,1
"FAM49B",0.0117957625536681,2.5376567859428,0.065,0.008,1
"NSUN6",0.0121858549349119,4.5376567859428,0.065,0,1
"RPS14",0.0124368860356729,-0.553459374658836,1,0.921,1
"STAU2",0.0131043574830476,3.5376567859428,0.065,0.004,1
"HOOK2",0.0131403055522894,4.5376567859428,0.065,0,1
"CMSS1",0.01342582649149,2.95269428522164,0.097,0.008,1
"H2AFZ",0.0136259811101709,0.64891353704454,0.323,0.292,1
"ADAMTS9",0.0136557546211008,1.71168618571785,0.323,0.096,1
"MSANTD4",0.0138576503388696,3.5376567859428,0.065,0.004,1
"SELE",0.013989070337189,1.27462238010901,0.387,0.125,1
"MATR3-1",0.0142260407758531,4.5376567859428,0.065,0,1
"VIMP",0.0149362433798815,-2.50673733341565,0,0.15,1
