"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5A",2.37046513451132e-75,11.2911706993219,1,0,4.261385172311e-71
"TMEM181",7.78961492633512e-15,1.8988532765431,0.028,0.022,1.40033907530726e-10
"DDX10",2.9686391362546e-11,2.31389077582194,0.028,0.016,5.33672257524489e-07
"BOLA1",2.03176028817119e-10,2.4394216579058,0.028,0.015,3.65249547004534e-06
"NECAB3",3.2926488714676e-10,2.4394216579058,0.028,0.015,5.9191948762373e-06
"PEX1",3.29746912257172e-09,2.62583478213668,0.028,0.013,5.92786024164718e-05
"PCSK7",1.5273526749064e-08,1.06091003465207,0.056,0.065,0.000274572190367923
"BORCS5",3.12636521298491e-08,2.78337605912316,0.028,0.012,0.000562026674338297
"MALT1",3.36186215269077e-08,4.22078137143046,0.056,0.007,0.00060436195918922
"CXCL3",3.55745716110191e-08,2.59169464098608,0.278,0.226,0.00063952407385129
"IL7R",3.70256811941363e-08,4.8988532765431,0.194,0.01,0.000665610670826988
"ARHGAP1",9.74794417781491e-08,2.8988532765431,0.028,0.011,0.00175238792484579
"REPS1",1.00537970975696e-07,2.8988532765431,0.028,0.011,0.00180737110423008
"SRGN",1.75247217595207e-07,3.51296212292377,0.389,0.061,0.00315041923070904
"SNX11",2.04430736617104e-07,4.41342644937286,0.056,0.006,0.00367505135216568
"TSEN34",2.36577239501018e-07,1.62583478213668,0.028,0.026,0.00425294903450981
"TIMP1",3.24179252554089e-07,3.05805187139235,0.278,0.169,0.00582777042316485
"ZDHHC11",3.33171555959787e-07,3.02438415862696,0.028,0.01,0.0059894250614891
"SINHCAF",3.33382639241586e-07,3.05085636998815,0.056,0.016,0.005993219705646
"CCL20",3.37250953818439e-07,3.57098815664789,0.25,0.082,0.00606276039679408
"LAPTM5",5.29359968892784e-07,4.00576848045961,0.278,0.02,0.00951630416078558
"CXCL2",6.88112334759823e-07,2.50756158792834,0.306,0.171,0.0123701954419773
"IL8",7.45252600486508e-07,3.94677390716833,0.194,0.068,0.0133974059989459
"CD3E",7.52976224791586e-07,4.65092576309952,0.194,0.007,0.0135362535930783
"ASH1L-AS1",8.03184485346443e-07,3.0914983544855,0.028,0.009,0.014438847493073
"AGR2",1.0470585008398e-06,-3.16206777725475,0.222,0.716,0.0188229706695971
"TMEM66",1.13015589861334e-06,0.364874704540749,0.028,0.062,0.020316812589372
"DENND1A",2.5355476203963e-06,3.23588826382067,0.028,0.008,0.0455815395718642
"LINC01644",3.33892235017718e-06,3.23588826382067,0.028,0.008,0.0600238070891351
"NFKBIA",3.54858226983207e-06,1.56689481651847,0.694,0.297,0.0637928634647712
"BCL2A1",3.73995663168772e-06,3.56181828926553,0.25,0.019,0.0672332003678501
"MOV10",5.11684619088025e-06,3.0914983544855,0.083,0.02,0.0919855439734543
"JADE1",5.32872150281817e-06,3.79931760299219,0.111,0.014,0.0957944264561623
"GLRX",5.36249692500881e-06,0.541301271925016,0.028,0.055,0.0964016072208835
"BTG1",6.16420793343082e-06,1.65287403488904,0.667,0.264,0.110813966019286
"PTPRC",6.44376510941996e-06,4.0914983544855,0.222,0.015,0.115839565372043
"VIM",7.09299735450771e-06,2.6858595532089,0.389,0.064,0.127510813441985
"ADNP",7.67503390260899e-06,4.11458196759854,0.194,0.014,0.137974084467202
"TNFAIP6",9.31139546309398e-06,4.53895733145672,0.194,0.012,0.167390956240041
"IL1B",9.52780265862512e-06,4.03971581238295,0.194,0.036,0.171281308394104
"CD3D",1.01625719223798e-05,4.31389077582194,0.167,0.012,0.182692555448622
"DHX15",1.02948604881559e-05,2.40408858479352,0.194,0.055,0.185070706995578
"CNKSR3",1.05422467743005e-05,3.39635293601392,0.028,0.007,0.1895179702616
"MRPS16",1.28221861394145e-05,1.2320966846583,0.056,0.055,0.230504440228255
"CD247",1.29728383213888e-05,6.48381577726426,0.111,0.001,0.233212714503606
"SRGAP1",1.33742985680407e-05,2.93537915256821,0.056,0.017,0.240429765357668
"HNRNPH1",1.40326146383142e-05,1.94220964573748,0.444,0.122,0.252264313352975
"CD44",1.62214478542366e-05,2.55402477954566,0.361,0.088,0.291612968075611
"METTL2B",1.63221479757706e-05,3.57692518165574,0.056,0.011,0.293423254160427
"IST1",1.72006824452525e-05,2.36635819571608,0.111,0.036,0.309216668318305
"TEX264",1.79698511318299e-05,2.12626377264617,0.083,0.036,0.323044013796906
"NDRG2",1.84440160101712e-05,2.05755102256216,0.028,0.019,0.331568075814848
"CCL4",1.85006672204105e-05,2.99528303922619,0.278,0.032,0.332586494621319
"ALOX5",1.88614075998438e-05,3.48381577726426,0.028,0.007,0.339071524422392
"ARMH1",1.96746688307102e-05,6.31389077582194,0.083,0,0.353691521569678
"ZBED1",1.99964561906823e-05,3.48381577726426,0.028,0.007,0.359476292939896
"HAPLN3",2.06534563290162e-05,5.24677657996341,0.139,0.004,0.371287184426724
"CREM",2.06793187805478e-05,3.11458196759854,0.222,0.024,0.371752113717908
"DDAH1",2.12765762265936e-05,2.57692518165574,0.083,0.027,0.382489010825472
"AK9",2.34350384246623e-05,3.48381577726426,0.028,0.007,0.421291685760155
"TNIP1",2.39242364172935e-05,2.69918093170674,0.333,0.061,0.430085998073685
"EPB41L3",2.62124055476637e-05,5.8988532765431,0.083,0.001,0.47122041453035
"FAM114A1",2.89203236584229e-05,1.4614479642358,0.028,0.029,0.519900658407468
"HCAR3",3.09236346804328e-05,6.8988532765431,0.083,0,0.55591418065014
"CXCL6",3.49442666614607e-05,4.72892827510079,0.028,0.004,0.628193081773079
"PTPRCAP",3.53124010284433e-05,3.98131543673507,0.167,0.014,0.634811033288325
"CYTIP",4.11253338722225e-05,3.66619251975282,0.194,0.02,0.739310127020944
"ACTR1A",4.30092142305666e-05,2.19841355840201,0.028,0.017,0.773176644222896
"FKBP5",4.3925424870788e-05,4.39635293601392,0.139,0.006,0.789647362902157
"PLEKHG2",4.65275941642547e-05,3.67646085520665,0.167,0.019,0.836426560290807
"AC005920.1",5.02954345220093e-05,2.64011900814293,0.083,0.028,0.904161026402162
"CXCL1",5.10040925728178e-05,3.11458196759854,0.167,0.078,0.916900572181545
"PIGC",6.09474794815994e-05,3.67646085520665,0.028,0.006,1
"UBR4",6.11557218285962e-05,2.08009359121325,0.111,0.052,1
"RPGR",6.32773537906678e-05,3.67646085520665,0.028,0.006,1
"NCAPG2",6.39996062660687e-05,3.67646085520665,0.028,0.006,1
"ZNF143",6.69200286849358e-05,3.67646085520665,0.028,0.006,1
"DDX60L",7.06794054486834e-05,2.36280037630289,0.056,0.025,1
"GADD45A",7.41717988742233e-05,1.18735836989301,0.083,0.06,1
"CBLB",7.6440574871734e-05,3.50653585376434,0.194,0.018,1
"TRIP10",7.8335921227836e-05,2.68384038557225,0.083,0.027,1
"IGF1R",8.50652697660751e-05,4.61874535735036,0.139,0.007,1
"TNFAIP3",8.70314057914874e-05,2.43008379332647,0.333,0.062,1
"UBAP2",8.75956640839199e-05,2.65092576309951,0.056,0.017,1
"ZFP90",9.05934948975548e-05,3.67646085520665,0.028,0.006,1
"MYCBP2",9.74315466570899e-05,3.0914983544855,0.25,0.036,1
"LYST",9.82414587226267e-05,3.45139429957188,0.222,0.025,1
"HAT1",0.000108147210812883,2.54835602945897,0.083,0.023,1
"ADSS",0.000109951043303646,3.03095681255045,0.194,0.032,1
"FCER1G",0.000113884374081783,3.62799936625001,0.194,0.018,1
"MARCH2",0.000115116244324691,3.78337605912316,0.028,0.006,1
"PTGS2",0.000115300512300033,3.64105551907545,0.222,0.022,1
"CCNDBP1",0.000122632892860192,2.92157335304318,0.139,0.028,1
"N4BP3",0.000122760419779946,3.78337605912316,0.028,0.006,1
"MIS18BP1",0.000131821989267421,1.25499708676838,0.028,0.033,1
"SIRT2",0.000133372379871118,2.35453276031929,0.028,0.015,1
