"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5A",2.37046513451132e-75,11.2911706993219,1,0,4.261385172311e-71,70.370449209604,"Up"
"MALT1",3.36186215269077e-08,4.22078137143046,0.056,0.007,0.00060436195918922,3.21870287959797,"Up"
"IL7R",3.70256811941363e-08,4.8988532765431,0.194,0.01,0.000665610670826988,3.17677972421113,"Up"
"SRGN",1.75247217595207e-07,3.51296212292377,0.389,0.061,0.00315041923070904,2.50163165018852,"Up"
"SNX11",2.04430736617104e-07,4.41342644937286,0.056,0.006,0.00367505135216568,2.43473658806104,"Up"
"CCL20",3.37250953818439e-07,3.57098815664789,0.25,0.082,0.00606276039679408,2.21732959495263,"Up"
"LAPTM5",5.29359968892784e-07,4.00576848045961,0.278,0.02,0.00951630416078558,2.02153168546204,"Up"
"IL8",7.45252600486508e-07,3.94677390716833,0.194,0.068,0.0133974059989459,1.87297928144108,"Up"
"CD3E",7.52976224791586e-07,4.65092576309952,0.194,0.007,0.0135362535930783,1.86850151799869,"Up"
"DENND1A",2.5355476203963e-06,3.23588826382067,0.028,0.008,0.0455815395718642,1.34121101008427,"Up"
