"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5B",1.11070189320515e-137,11.1373546661427,1,0,1.99670879341489e-133
"MAT2B",1.4147947459808e-13,0.992271663984655,0.014,0.02,2.54337651484968e-09
"NECAB3",2.48304598412178e-10,1.3741422993283,0.014,0.015,4.46377176565572e-06
"CEMIP2",2.04540498482245e-09,2.35244722822898,0.311,0.055,3.67702454121532e-05
"CASP4",1.09769043611179e-07,1.62412055233665,0.068,0.035,0.00197331809699817
"HDAC5",1.82882329865021e-07,1.89497446262974,0.014,0.01,0.00328767564398349
"SMARCC1",1.9160068341018e-07,2.65425021852104,0.216,0.034,0.0034444054856648
"S100P",2.14502656931286e-07,-2.25500512840107,0.216,0.514,0.00385611426365372
"RACK1",2.40776281941485e-07,1.34762142307561,0.595,0.232,0.00432843522046207
"SLC40A1",3.02275362819605e-07,1.8335739179656,0.311,0.084,0.00543400419740803
"RPL41",5.11789806266567e-07,-1.49618429134419,0.797,0.863,0.00920044534725407
"TMEM176B",7.74558849003697e-07,1.67402806230328,0.392,0.122,0.0139242444285395
"TRAC",8.0013291682787e-07,7.41853641868675,0.054,0,0.0143839894458146
"RPL8",8.35516572750483e-07,-0.656392068819811,0.919,0.832,0.0150200814283354
"TMEM176A",9.96494659728581e-07,1.69256160843852,0.365,0.109,0.0179139844979407
"RPL7",1.23539884751643e-06,-0.805862559260591,0.77,0.685,0.0222087650818028
"RPS27A",1.7314777379565e-06,-0.590452364540501,0.892,0.813,0.031126775295244
"RPS28",1.84365435584647e-06,-0.783964186300429,0.865,0.824,0.0331433743550521
"RPS3A",1.87559985725455e-06,-0.611124325767274,0.851,0.763,0.033717658633865
"JUN",2.11770413829172e-06,0.331338803108802,0.77,0.504,0.0380699672940703
"MT-ND4L",2.30795780375295e-06,0.765179488603146,0.824,0.481,0.0414901574380667
"OLFM4",2.50257055736095e-06,0.31346256159441,0.432,0.195,0.0449887109096778
"EEF2",2.82012190498121e-06,0.669187100064715,0.689,0.402,0.0506973314858473
"RPL37",3.01775982497272e-06,-0.501028006956875,0.878,0.796,0.0542502683735347
"ATP5F1E",5.16580263125943e-06,1.03677277406873,0.622,0.286,0.0928656339021508
"RPLP2",5.58560461190687e-06,-0.730135703616638,0.865,0.809,0.10041241410825
"MT-ATP8",7.6903635054273e-06,0.98793628428457,0.73,0.371,0.138249664737067
"RPS3",8.52342278041458e-06,-0.511448199052384,0.892,0.812,0.153225571323513
"RPL18A",9.60944717971517e-06,-0.952010381420787,0.811,0.852,0.17274903194974
"MRPL1",9.80556798168154e-06,0.926683322357079,0.014,0.02,0.176274695606689
"RPL32",1.09330983693559e-05,-0.595330235644816,0.919,0.85,0.19654430938591
"CCL25",1.11933452379e-05,1.91796610525597,0.27,0.069,0.201222767341729
"KRT8",1.30510531069288e-05,-1.21042270998908,0.622,0.67,0.23461878170326
"AIF1",1.48079535366316e-05,3.24861141724444,0.014,0.009,0.266202580728026
"CCT6A",1.58736174577665e-05,1.52371865537881,0.311,0.106,0.285360021038268
"TFF1",1.66154348968207e-05,-4.30170783960081,0.189,0.428,0.298695673140146
"PTPN11",1.87751498004322e-05,2.76944358054588,0.135,0.019,0.337520867962369
"TMEM181",2.05443146081143e-05,1.27898506628796,0.027,0.022,0.36932514371007
"RPL12",2.47660918759566e-05,-0.694100536333147,0.878,0.831,0.445220033654072
"RPL11",2.61006560782165e-05,-0.42066736941019,0.932,0.844,0.469211494318098
"CYTIP",2.8899468551279e-05,3.07458201746939,0.122,0.02,0.519525746146343
"ACTB",3.19324471790559e-05,-0.877977755295719,0.878,0.809,0.574049602937887
"RPS6",3.31174342297023e-05,-0.727371701637023,0.838,0.791,0.595352115147358
"IFITM1",3.6561934548455e-05,1.59794566947246,0.365,0.124,0.657273897377575
"RPS18",4.166767570711e-05,-0.880001202364628,0.905,0.903,0.749059806186717
"S100A6",4.31273145610256e-05,-1.51931765040628,0.784,0.832,0.775299733863557
"HCLS1",4.37871972825493e-05,2.51164582307823,0.014,0.007,0.787162445548389
"WDTC1",4.57145949838216e-05,2.51164582307823,0.014,0.007,0.82181127402416
"VCP",4.6178049838644e-05,1.56055542355918,0.324,0.112,0.830142801949304
"UNK",4.82569373080197e-05,1.17060890524317,0.014,0.017,0.867514961986271
"USMG5",5.42850333890572e-05,-3.46104683092603,0.014,0.212,0.975882045235081
"ASS1",5.49356522078831e-05,1.52979316978849,0.311,0.104,0.987578219741114
"BATF",5.7058705276653e-05,3.29752101772539,0.081,0.013,1
"PTBP2",6.52854778270158e-05,2.51164582307823,0.014,0.007,1
"EEF1A1",6.74508729897995e-05,-0.428020911789107,0.959,0.867,1
"GABARAP",6.98566313589503e-05,1.50631237877519,0.351,0.122,1
"CEL",7.1167316425662e-05,3.00760331774065,0.135,0.018,1
"MACF1",7.65801312207569e-05,2.24861141724444,0.203,0.044,1
"MT-CO2",7.90247204270739e-05,-0.803778959888533,0.959,0.937,1
"NCL",7.93218080400144e-05,0.908600963373622,0.473,0.235,1
"RPL13A",8.16043487407035e-05,-0.779807069708509,0.838,0.837,1
"CD70",9.3073990818345e-05,6.15550201285296,0.041,0,1
"CDKN1B",9.82422878327662e-05,2.76944358054588,0.135,0.021,1
"RPL37A",0.000108187785511475,-0.613417443170899,0.824,0.778,1
"RPL36",0.000110232680926592,-0.781713119612356,0.811,0.84,1
"ADD3",0.000119880607572302,1.77468022891203,0.23,0.066,1
"RPL35",0.000125221086642927,-0.73667102919942,0.77,0.79,1
"SPN",0.000129716093520372,5.8335739179656,0.041,0,1
"KRT19",0.000130559876081922,-1.31258291754376,0.527,0.586,1
"C14orf2",0.000131127756807305,-2.51338297141329,0.054,0.273,1
"RPL35A",0.000131146510109734,-0.526022433091905,0.824,0.786,1
"CALM1",0.000133114989586093,0.648052061472267,0.568,0.335,1
"LATS2",0.000137699508528678,2.61118149662915,0.014,0.006,1
"LMBRD2",0.000139696653857183,3.95910480004946,0.068,0.004,1
"HNRNPA2B1",0.000148926449932944,0.674478849724037,0.608,0.368,1
"SPP1",0.000150067567217655,4.73539352402669,0.041,0.014,1
"MT-CO3",0.00015068897658122,-0.893011573014897,0.946,0.932,1
"MYH9",0.00015937995777303,1.4861107309711,0.338,0.121,1
"MARCH2",0.000159804683604284,2.71809670054566,0.014,0.006,1
"TACC1",0.00016937985464701,2.38611494099438,0.135,0.027,1
"BTG2",0.00017613396466328,0.756758320914767,0.419,0.216,1
"EDN1",0.000184931364298042,1.73554183500507,0.189,0.052,1
"WBSCR22",0.000185931617621403,0.746111076715258,0.027,0.031,1
"NORAD",0.000186095503024269,1.88761375767849,0.216,0.056,1
"IFI27",0.000199042355903542,-1.23438647254812,0.486,0.576,1
"DDX17",0.000203115462648545,1.07655067145814,0.324,0.142,1
"RPL13",0.000212935401253772,-0.829056851296613,0.892,0.895,1
"MYADM",0.000222045356705159,0.926683322357079,0.068,0.049,1
"ATP5G3",0.000222838537877474,-2.94997004282094,0.027,0.229,1
"SUPT7L",0.00023087685547391,3.44125649518684,0.095,0.009,1
"DYM",0.000254284342703452,1.41853641868675,0.014,0.014,1
"CD3E",0.000256700181746934,3.8335739179656,0.081,0.008,1
"RPS16",0.000258126354820246,-0.655023054045802,0.73,0.751,1
"ATP5I",0.000263522148344471,-2.24781440887506,0.054,0.288,1
"RPL26",0.000267712186240191,-0.637830342337776,0.797,0.783,1
"TCEB2",0.000271308608094091,-2.05081467914807,0.054,0.281,1
"TAB2",0.000279684314001598,3.31001196190858,0.095,0.01,1
"KRT18",0.0002886895707808,-1.00528619401723,0.595,0.68,1
"SRSF7",0.000291416424767791,1.27718056944121,0.378,0.172,1
"RPS27",0.000304143227778445,-0.760415659657341,0.811,0.894,1
"PABPC1",0.000306612502510667,0.348415474209931,0.622,0.414,1
"RPL27A",0.000314905521365867,-0.749485039741719,0.703,0.719,1
"RPS29",0.000322284811904783,-0.823797078283608,0.649,0.702,1
"RPLP1",0.000324459493553717,-0.554543516283877,0.946,0.909,1
"MLEC",0.000343157486640803,1.36408863466438,0.324,0.13,1
"TMX2",0.000344404735964867,0.774680228912029,0.014,0.022,1
"TPR",0.000349549561528144,1.45944961195281,0.243,0.081,1
"TBC1D5",0.000366515496633719,2.93545353198481,0.122,0.018,1
"ATP5E",0.000379089820714935,-1.81913318939139,0.108,0.362,1
"FCHSD2",0.000383241463852744,2.8335739179656,0.014,0.005,1
"SRA1",0.000386541411223503,-0.295709098979369,0.014,0.046,1
"RPL18",0.000393274998726276,-0.315181658516625,0.838,0.756,1
"RPS12",0.000402900978169917,-0.648629008330358,0.892,0.864,1
"MT-ND4",0.000423475426938478,-0.693649186360473,0.919,0.906,1
"AHSA1",0.000441603604973407,2.06098441406867,0.149,0.036,1
"GSTP1",0.000458240638679086,-0.82432010520941,0.568,0.637,1
"SF3B1",0.000461823536265931,1.61118149662915,0.257,0.086,1
"MUC1",0.000482206997604059,-1.67055750814251,0.162,0.349,1
"RPL15",0.000484189866943888,-0.313520375095829,0.811,0.752,1
"ATP5MC2",0.000497757505570646,1.12662089286583,0.446,0.199,1
"TM9SF2",0.00051162211763463,1.45626906604186,0.284,0.108,1
"HSPA1B",0.000534216684084461,0.814823826799272,0.459,0.234,1
"RPL39",0.000541177986835429,-0.654266115857453,0.865,0.844,1
"NCOA7",0.000565175942239808,1.3741422993283,0.297,0.116,1
"CAPRIN1",0.000569322267970184,2.09107014025796,0.162,0.038,1
"SARAF",0.000569874269226814,1.77730569831885,0.257,0.079,1
"SMAP2",0.00058819890145628,3.94048912188211,0.068,0.006,1
"RPL19",0.000590410986904441,-0.473247284531556,0.865,0.823,1
"TMSB10",0.000592073606983183,-0.837135971912116,0.838,0.83,1
"GOLGA4",0.000601342733921997,1.40571237832917,0.27,0.099,1
"PRKACB",0.000629705420657174,3.95910480004946,0.068,0.005,1
"AGR2",0.000630671577352525,-1.54990301731929,0.608,0.712,1
"SELENOK",0.000636993395671568,1.97228018879719,0.189,0.049,1
"MT-ND5",0.000642278559050121,0.27898506628796,0.811,0.602,1
"RPS24",0.000652586606372929,-0.307311410525361,0.838,0.757,1
"HN1",0.000659734785410184,-3.25653850169869,0.014,0.175,1
"NDUFB1",0.000666231073140304,-2.2670884210396,0.041,0.219,1
"MT-ATP6",0.000684066699301285,-0.380205373066142,0.946,0.873,1
"PLEKHM2",0.000706641364936226,3.24861141724444,0.095,0.012,1
"TIAM1",0.000728803405660832,4.24861141724444,0.041,0.001,1
"CD4",0.000746834920721726,6.8335739179656,0.027,0,1
"CXCR5",0.000746834920721726,6.8335739179656,0.027,0,1
"ZAP70",0.000758710988330804,6.41853641868675,0.027,0,1
"BTLA",0.000763464062114991,6.41853641868675,0.027,0,1
"STAT4",0.000763464062114991,6.41853641868675,0.027,0,1
"NUP62CL",0.000764949543951639,6.41853641868675,0.027,0,1
"SELENOM",0.000766721842309734,2.38611494099438,0.135,0.026,1
"RPS19",0.000768810717618128,-0.4270237153278,0.946,0.891,1
"ZBTB32",0.000778341625767833,6.8335739179656,0.027,0,1
"GNG2",0.000779781866424453,4.8335739179656,0.054,0.002,1
"RPL28",0.000780590760749281,-0.502829499437644,0.905,0.879,1
"PRRC2C",0.000789940130847772,1.16949270012684,0.392,0.172,1
"SLAMF1",0.000793032981616296,6.41853641868675,0.027,0,1
"RHOB",0.000877016682058517,0.628459488060986,0.459,0.266,1
"CD2",0.000920153282546203,3.58564640452201,0.068,0.008,1
"MT-ND3",0.000925044047082984,-0.387472077663334,0.932,0.84,1
"RPL23A",0.000938520768582124,-0.419376435003181,0.811,0.745,1
"MUC5AC",0.000943691818406741,-1.66361262266712,0.257,0.384,1
"RPS2",0.000950955174569144,-0.718576712680637,0.797,0.809,1
"GAPDH",0.000960140226197656,-0.542109142676361,0.77,0.735,1
"SMYD4",0.000963670116685079,4.61118149662915,0.054,0.002,1
"RCC1",0.000963935312952456,2.75557140596432,0.108,0.017,1
"HNRNPA1",0.00103238521288327,0.282994411270105,0.568,0.405,1
"RNF43",0.00105409626091717,2.5705395121318,0.122,0.022,1
"PPP1R15A",0.00106557149244223,0.849051254584543,0.473,0.247,1
"MBOAT1",0.00109819894301917,2.8335739179656,0.095,0.014,1
"DPP7",0.0011086280101059,1.89015744633197,0.162,0.044,1
"RPL3",0.00111298154715927,-0.630534187881173,0.797,0.774,1
"DEK",0.00111735010954859,0.926683322357079,0.311,0.155,1
"ATP5J",0.00114319145683028,-2.92131358419787,0.014,0.162,1
"ZFP36L2",0.00114405424085645,0.548171699103349,0.527,0.314,1
"CYSTM1",0.00115649134288048,-1.23378134983617,0.324,0.564,1
"CNPY2",0.00118203086981694,-2.71332054192204,0,0.078,1
"RPS21",0.00120168609030323,-0.478862727944467,0.689,0.695,1
"SLTM",0.00124735299267713,1.29613978732703,0.23,0.087,1
"PRPF18",0.0012565215967479,2.02621899590799,0.027,0.013,1
"MSN",0.00126285218897581,2.92668332235708,0.095,0.013,1
"SUPT5H",0.0012669436695593,1.55346599877286,0.176,0.054,1
"VPS36",0.0012702301032135,1.58564640452201,0.203,0.065,1
"IFITM3",0.00131451837673895,0.367327477771989,0.581,0.38,1
"CCSER2",0.00133222387739152,2.87937760757872,0.095,0.013,1
"CRIP2",0.00134633908019209,-0.529830812897924,0.041,0.106,1
"S100A10",0.00135535041601859,-0.324072753698278,0.649,0.528,1
"LSM8",0.0013714208896522,2.09660832379939,0.149,0.034,1
"GPD2",0.00138346441862617,2.02621899590799,0.027,0.013,1
"RRBP1",0.00138628323048987,0.431188798776639,0.419,0.264,1
"ISG20",0.00138655350578458,-2.28190329945434,0.027,0.159,1
