"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5B",1.11070189320515e-137,11.1373546661427,1,0,1.99670879341489e-133,132.699685269448,"Up"
"NECAB3",2.48304598412178e-10,1.3741422993283,0.014,0.015,4.46377176565572e-06,5.35029801914447,"Up"
"CEMIP2",2.04540498482245e-09,2.35244722822898,0.311,0.055,3.67702454121532e-05,4.43450347155109,"Up"
"CASP4",1.09769043611179e-07,1.62412055233665,0.068,0.035,0.00197331809699817,2.70480290124767,"Up"
"HDAC5",1.82882329865021e-07,1.89497446262974,0.014,0.01,0.00328767564398349,2.48311103571128,"Up"
"SMARCC1",1.9160068341018e-07,2.65425021852104,0.216,0.034,0.0034444054856648,2.46288572776984,"Up"
"SLC40A1",3.02275362819605e-07,1.8335739179656,0.311,0.084,0.00543400419740803,2.2648800304543,"Up"
"TMEM176B",7.74558849003697e-07,1.67402806230328,0.392,0.122,0.0139242444285395,1.85622836164212,"Up"
"TRAC",8.0013291682787e-07,7.41853641868675,0.054,0,0.0143839894458146,1.84212064427229,"Up"
"TMEM176A",9.96494659728581e-07,1.69256160843852,0.365,0.109,0.0179139844979407,1.7468078059428,"Up"
