"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PSENEN",6.70005916836155e-30,2.59629349714993,0.091,0.045,1.20446963669636e-25
"IL6",1.23906370617553e-25,11.7959658419863,1,0,2.22746482459175e-21
"FTH1",6.09012680347795e-24,3.7003185702051,1,0.828,1.09482209546123e-19
"CXCL3",9.86939582243968e-23,4.67771687531631,0.818,0.224,1.77422128699998e-18
"IL8",9.72679388913687e-17,6.49392051349095,0.818,0.067,1.74858573745013e-12
"CXCL2",5.49403078626331e-16,4.21100334126514,0.818,0.17,9.87661914446555e-12
"CCL20",3.0688410010772e-12,5.5024414621026,0.636,0.082,5.51685546763648e-08
"CXCL1",9.53306919296752e-12,5.27959042652255,0.727,0.076,1.71375984881977e-07
"SOD2",1.63065466011315e-11,4.35888696820079,0.727,0.124,2.93142788248541e-07
"VIM",1.8524778820451e-11,4.80403914252198,0.909,0.065,3.33019948855247e-07
"PES1",2.66341879843317e-11,4.08172032432017,0.091,0.016,4.78802797394331e-07
"TASP1",2.74985526120017e-11,4.08172032432017,0.091,0.016,4.94341480305955e-07
"IL1B",2.0011399594844e-10,5.76690337638384,0.727,0.035,3.5974493051651e-06
"TIMP1",7.558001388139e-10,4.14635038292289,0.909,0.168,1.35870190954575e-05
"RILP",2.43332911041587e-09,4.40364841920754,0.091,0.012,4.37439574179461e-05
"TRMT10B",3.17016809276553e-09,4.40364841920754,0.091,0.012,5.69901118036459e-05
"SAT1",4.5148868184932e-09,2.13697825773594,0.909,0.536,8.11641203360522e-05
"AGL",5.96033843303426e-09,4.45611583910167,0.091,0.012,0.000107149004010657
"CCL4",6.84478793424895e-09,5.99377262504447,0.636,0.033,0.000123048752693993
"SSR3",1.19523154098232e-08,1.73364981463058,0.182,0.13,0.000214866774122392
"SLC38A5",1.74002279682782e-08,4.56714715149042,0.091,0.011,0.000312803898185737
"FTL",3.02978305951832e-08,1.75946250824731,1,0.798,0.000544664100609608
"LGALS1",4.70661461470457e-08,4.32374155240556,0.727,0.06,0.000846108109285441
"XPO4",5.23936107729582e-08,4.62604084054399,0.091,0.011,0.000941879940865469
"EIF1",6.72623509631069e-08,1.4530364461697,0.727,0.618,0.00120917528326377
"CXCL5",6.90662846630148e-08,4.88695519450341,0.545,0.046,0.00124160459938702
"ANKRD22",7.62554787843524e-08,3.30411274565662,0.091,0.027,0.0013708447421063
"PIAS4",1.36938187873949e-07,4.75157172262784,0.091,0.01,0.00246173780340998
"C15orf48",1.40530688887049e-07,3.09111902232242,0.636,0.22,0.00252632019412248
"GTPBP3",1.58770798107168e-07,4.75157172262784,0.091,0.01,0.00285422263757256
"ARID1A",2.19700565052837e-07,3.3781133271004,0.091,0.025,0.00394955705795486
"IL1RN",2.2923783686727e-07,4.5291793012914,0.636,0.046,0.00412100859336291
"CCL3L1",2.66218246872734e-07,6.31791854518165,0.636,0.009,0.00478580542403115
"CCL3",2.92674003411846e-07,6.39338008375371,0.636,0.02,0.00526140055933476
"EIF1B",3.79394450944092e-07,3.22394239697264,0.273,0.064,0.00682037404462195
"SRGN",3.85619283456752e-07,4.66047433760786,0.636,0.063,0.00693227785870203
"INHBA",5.62193032620746e-07,7.04107833982283,0.545,0.005,0.0101065441474231
"TNFAIP6",9.81035361039855e-07,6.58539885604664,0.636,0.012,0.0176360726854135
"HIST1H1C",1.03859266628888e-06,2.31013653328439,0.091,0.092,0.0186707803618753
"PTGS2",1.24491698782072e-06,5.65300788814426,0.545,0.023,0.022379872690053
"IGBP1",1.36607699369714e-06,2.49675782359902,0.091,0.046,0.0245579661156935
"AP1S2",1.56670650580571e-06,6.51056362312405,0.455,0.006,0.0281646828548693
"EMP3",1.74524896580428e-06,4.92560112240289,0.545,0.025,0.0313743406582636
"CD44",2.71570219973368e-06,3.68008068025687,0.636,0.09,0.0488201784446124
"ECI1",2.89662928796851e-06,2.96307582782156,0.091,0.034,0.0520727047098099
