"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"IL6",1.23906370617553e-25,11.7959658419863,1,0,2.22746482459175e-21,20.6521891454757,"Up"
"IL8",9.72679388913687e-17,6.49392051349095,0.818,0.067,1.74858573745013e-12,11.7573130683084,"Up"
"IL1B",2.0011399594844e-10,5.76690337638384,0.727,0.035,3.5974493051651e-06,5.44400531737529,"Up"
"CCL4",6.84478793424895e-09,5.99377262504447,0.636,0.033,0.000123048752693993,3.90992278424368,"Up"
"CCL3L1",2.66218246872734e-07,6.31791854518165,0.636,0.009,0.00478580542403115,2.32004496242701,"Up"
"CCL3",2.92674003411846e-07,6.39338008375371,0.636,0.02,0.00526140055933476,2.2788986333698,"Up"
"INHBA",5.62193032620746e-07,7.04107833982283,0.545,0.005,0.0101065441474231,1.99539732257699,"Up"
"TNFAIP6",9.81035361039855e-07,6.58539885604664,0.636,0.012,0.0176360726854135,1.7535981199382,"Up"
"PTGS2",1.24491698782072e-06,5.65300788814426,0.545,0.023,0.022379872690053,1.65014238832441,"Up"
"AP1S2",1.56670650580571e-06,6.51056362312405,0.455,0.006,0.0281646828548693,1.55029513472352,"Up"
