"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MKI67",4.26032766655306e-170,11.1311665107077,1,0,7.65879104616244e-166
"HMGB2",8.35136872356974e-26,2.54447104276204,0.547,0.091,1.50132555543613e-21
"TOP2A",3.96723639784595e-20,4.37385227114965,0.263,0.015,7.13190087240767e-16
"CDC20",1.23699623933415e-18,3.39056966609458,0.295,0.026,2.22374813945101e-14
"CENPF",2.35633231593883e-18,4.07541252918466,0.232,0.012,4.23597860436323e-14
"HMGN2",4.623032619497e-18,1.716048963543,0.663,0.223,8.31082574006975e-14
"UBE2C",1.40405243139479e-17,3.47081400103674,0.316,0.039,2.52406505591842e-13
"HMGB1",2.6686988674256e-17,1.29813894636491,0.821,0.421,4.797519953971e-13
"NUCKS1",2.70193885173559e-17,1.873778668015,0.568,0.164,4.85727547376507e-13
"TUBA1B",6.63593216199004e-17,1.6037783651715,0.726,0.29,1.19294152476095e-12
"SMC4",2.37949312533918e-16,3.33944224036382,0.284,0.029,4.27761479142224e-12
"TUBB",7.56946528421633e-16,2.00276510873508,0.537,0.159,1.36076277414357e-11
"TUBB4B",8.23586983182914e-15,1.56624679420415,0.642,0.268,1.48056231966793e-10
"NUSAP1",2.34653600136155e-14,3.35182596481965,0.242,0.024,4.21836776964767e-10
"PTTG1",3.26813758818565e-14,2.64204838209922,0.337,0.057,5.87513094228135e-10
"KPNA2",5.50951274799601e-14,3.28424343750402,0.263,0.031,9.90445106707243e-10
"ASPM",1.80056628513175e-13,5.26609609079376,0.137,0.003,3.23687801078135e-09
"MANBAL",2.41905246057748e-13,0.617438914755218,0.011,0.02,4.34873060838013e-09
"CDS1",9.74569925337721e-13,0.686151664839233,0.011,0.019,1.75198435477962e-08
"STMN1",1.09272135332702e-12,2.22329259457427,0.4,0.1,1.96438517687598e-08
"CKS2",1.24017773051363e-12,2.47324073843127,0.337,0.079,2.22946750614436e-08
"CDK1",1.31510618086858e-12,3.26234395593266,0.221,0.022,2.36416638134744e-08
"GTSE1",2.0957221197081e-12,4.99930955009886,0.137,0.004,3.76747965459924e-08
"IQGAP3",1.48891962680395e-11,5.35182596481965,0.116,0.003,2.67663081310546e-07
"DEK",2.499906718125e-11,1.71889306603683,0.453,0.147,4.49408230717332e-07
"TPX2",3.24349181253885e-11,4.04370366945732,0.147,0.008,5.83082523140109e-07
"PRC1",3.78392261539618e-11,4.04370366945732,0.147,0.009,6.80235768569771e-07
"HIST1H4C",8.40404859536195e-11,1.83761112167859,0.547,0.246,1.51079581598822e-06
"TACC3",1.08101742231844e-10,4.98925588543494,0.116,0.004,1.94334502010186e-06
"CDC25B",2.32033698374473e-10,3.60076017360859,0.158,0.013,4.17126979567791e-06
"H2AFZ",3.41932793406613e-10,1.5225562663336,0.568,0.252,6.14692582707068e-06
"CCNB2",3.62660214386272e-10,3.54120332892813,0.168,0.015,6.51954267402201e-06
"CCNB1",3.65350114888316e-10,3.0281068144063,0.2,0.024,6.56789901534725e-06
"CENPA",4.04399607735586e-10,5.45874116873616,0.105,0.002,7.26989174826262e-06
"CDKN3",4.50934753174009e-10,3.15388658720774,0.168,0.017,8.10645405780916e-06
"H2AFV",6.42661232350663e-10,1.70640034868304,0.4,0.127,1.15531209739679e-05
"PLK1",1.04389864060158e-09,4.01816857735018,0.137,0.009,1.87661658620946e-05
"KIF20B",2.01727929091927e-09,3.74253413473675,0.137,0.01,3.62646298128558e-05
"KIFC1",2.27067412056027e-09,5.19570676290237,0.095,0.002,4.0819908665312e-05
"CENPW",3.32843777801466e-09,2.60459203519962,0.232,0.041,5.98353259353696e-05
