"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TGM2",1.6081572365873e-67,11.2154911588489,1,0,2.89098426421299e-63
"CDS1",9.12470868011842e-13,2.44290165495196,0.034,0.019,1.64034887942489e-08
"MRPL35",1.00777620572623e-12,2.44290165495196,0.034,0.019,1.81167928503405e-08
"UPP1",3.38442592475468e-11,3.09210874334361,0.069,0.026,6.0841824849315e-07
"SAMD4B",8.97336278962841e-11,2.7129908183197,0.034,0.015,1.6131414286915e-06
"MMP24-AS1",1.41919430251742e-10,2.33284810948705,0.034,0.026,2.55128559763557e-06
"MUC4",5.08582034106439e-10,3.02962461353755,0.517,0.069,9.14277922713146e-06
"HLA-DQA2",9.17632673212322e-10,2.84625734918317,0.034,0.014,1.64962825663379e-05
"CRIP2",1.27536205035208e-08,2.59305395270907,0.552,0.097,0.000229271835791793
"TEX264",1.39337489917236e-08,2.16237982238933,0.069,0.037,0.000250487005624215
"MLXIP",5.9152302362729e-08,2.28137909450534,0.103,0.046,0.00106338093957478
"LAMA5",6.27089574700413e-08,3.13576396637815,0.345,0.036,0.00112731892843893
"KRT7",1.07048493851795e-07,1.9675636454053,0.621,0.153,0.00192441077397372
"PIGBOS1",1.50183896588561e-07,3.27689170351303,0.034,0.01,0.00269985590897256
"PNISR",2.06794141548323e-07,2.0589866731689,0.552,0.132,0.00371753828261421
"MUC5B",4.35684404667661e-07,2.657495705728,0.448,0.077,0.00783229854271054
"HLA-DQA1",7.00712549096777e-07,2.57163496907416,0.103,0.033,0.0125967094951128
"RGL3",7.47099519427169e-07,3.55252614612646,0.276,0.024,0.0134306080607422
"RPS6",7.65097630314156e-07,-1.57354626395673,0.379,0.799,0.0137541601001576
"HNF1B",9.40995991752676e-07,3.47852556468268,0.034,0.009,0.0169162849437379
"TTC30A",9.97693698401862e-07,6.9524567530151,0.138,0.001,0.0179355396161703
"KRT17",1.06737730843552e-06,2.67943825860868,0.414,0.073,0.0191882418737453
"LIME1",1.21826791011226e-06,3.93008893998664,0.241,0.016,0.0219008022200881
"RAP1GAP",1.49128135212074e-06,3.78922640414679,0.241,0.017,0.0268087648670745
"AQP1",1.74497470634337e-06,2.46060365668542,0.069,0.025,0.0313694102959348
"HOXB7",1.98057058483337e-06,2.30860056324037,0.069,0.032,0.0356047174035495
"RSBN1L",2.17623884570131e-06,2.22943034980676,0.414,0.084,0.0391222457291724
"EEF1G",2.18223875511012e-06,-0.512429295714311,0.034,0.142,0.0392301061006146
"PICALM",2.44618222580786e-06,2.18574381545484,0.034,0.022,0.0439750178733479
"SIGIRR",2.55592915663591e-06,2.77637952459119,0.379,0.06,0.0459479384488437
"TFR2",2.67731579545839e-06,6.53741925373625,0.138,0.001,0.0481301060549555
"SEZ6L2",3.7516503970675e-06,2.73602178697505,0.379,0.064,0.0674434191880824
"ASPHD1",3.87260293544222e-06,3.04556615740658,0.276,0.031,0.0696177829704448
"NPW",4.34982576462627e-06,2.74788560876589,0.345,0.069,0.0781968177706865
"CDC37",5.5809920894321e-06,1.82317373607013,0.586,0.189,0.100329494791721
"SMARCC2",6.53720152965831e-06,3.23566904078652,0.276,0.031,0.117519271898667
"KAT2A",6.83355581397731e-06,4.02284608090649,0.207,0.013,0.12284683286787
"ERLEC1",8.13397177969533e-06,1.61557831666176,0.069,0.044,0.146224410683583
"TGOLN2",9.82741528831387e-06,2.25355919968241,0.241,0.079,0.176667444638018
"CEP164",1.10789337094205e-05,3.77491856746291,0.207,0.015,0.199165991294252
"SRGAP3",1.12391927571843e-05,5.53741925373625,0.138,0.003,0.202046968195902
"LPGAT1",1.29187453331714e-05,3.43413144532423,0.241,0.023,0.232240284854423
"MUC2",1.47285223270987e-05,2.36203982220183,0.276,0.037,0.264774645874253
"CST6",1.76114589499744e-05,6.80045365957004,0.069,0.001,0.31660119754369
"NPDC1",1.90366807803299e-05,1.9675636454053,0.517,0.158,0.342222410387991
"PAXX",1.93814226659022e-05,2.41674936709599,0.345,0.065,0.348419835264923
"GAK",2.14324629726048e-05,2.46417027170561,0.379,0.079,0.385291386858516
"SMIM10L1",2.1470705804496e-05,3.97845196154804,0.172,0.015,0.385978878247424
"ITGB1",2.1535770087609e-05,2.01671129473439,0.207,0.086,0.387148538864948
"C3",2.22073380615303e-05,3.73436446911227,0.241,0.028,0.399221316332129
"WIPF3",2.25620846080514e-05,3.89356306396153,0.034,0.006,0.40559859499894
"CALU",2.34557072054442e-05,2.77254766300016,0.138,0.038,0.42166324843227
"WDR90",2.37198771044683e-05,3.43121984990433,0.241,0.025,0.426412230707027
"RHOT2",2.51964355551594e-05,2.47133006327848,0.31,0.053,0.4529563219751
"GPATCH2",2.65009643133639e-05,3.47852556468268,0.241,0.025,0.476407835461343
"NSD3",3.31461667528778e-05,2.19918934651979,0.345,0.072,0.595868639716485
"ANKRD12",3.58813201788358e-05,2.54089144564306,0.31,0.069,0.64503849285493
"LLGL2",3.65859429885199e-05,1.89736463412138,0.483,0.142,0.657705497104623
"TTF1",3.88113618201671e-05,4.15659746979532,0.172,0.01,0.697711851441143
"RNF115",4.09776442895712e-05,3.24148636738183,0.138,0.024,0.736655111393621
"ARGLU1",4.21853440525293e-05,1.58128513910788,0.586,0.216,0.75836593003232
"FAM174B",4.51169850015217e-05,2.55252614612646,0.034,0.017,0.811068039372356
"AFMID",4.62637846003215e-05,3.3854161602912,0.241,0.026,0.83168405575998
"DENND1B",4.75295909938933e-05,4.10001394142895,0.172,0.01,0.85443945729722
"VSIG8",4.87184799570574e-05,5.07798763509895,0.138,0.004,0.875812114188021
"BTF3L4",4.94168309799897e-05,1.42541422822312,0.034,0.037,0.888366370527274
"MICALL2",4.98250911425185e-05,2.06418183557392,0.379,0.091,0.895705663469056
"RPL7",5.04509710048709e-05,-1.26899610785774,0.31,0.693,0.906957105754565
