"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"TGM2",1.6081572365873e-67,11.2154911588489,1,0,2.89098426421299e-63,62.5389542722118,"Up"
"UPP1",3.38442592475468e-11,3.09210874334361,0.069,0.026,6.0841824849315e-07,6.21579776848323,"Up"
"LAMA5",6.27089574700413e-08,3.13576396637815,0.345,0.036,0.00112731892843893,2.94795320084243,"Up"
"PIGBOS1",1.50183896588561e-07,3.27689170351303,0.034,0.01,0.00269985590897256,2.56865941347359,"Up"
"RGL3",7.47099519427169e-07,3.55252614612646,0.276,0.024,0.0134306080607422,1.87190432452809,"Up"
"HNF1B",9.40995991752676e-07,3.47852556468268,0.034,0.009,0.0169162849437379,1.77169500805749,"Up"
"TTC30A",9.97693698401862e-07,6.9524567530151,0.138,0.001,0.0179355396161703,1.74628555242545,"Up"
"LIME1",1.21826791011226e-06,3.93008893998664,0.241,0.016,0.0219008022200881,1.65953997678652,"Up"
"RAP1GAP",1.49128135212074e-06,3.78922640414679,0.241,0.017,0.0268087648670745,1.57172319436365,"Up"
"TFR2",2.67731579545839e-06,6.53741925373625,0.138,0.001,0.0481301060549555,1.31758318135129,"Up"
