"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5A",2.29400646920562e-175,10.2956628379457,1,0,2.94963351810459e-171
"FCER1G",1.25362465211896e-08,0.796025987618564,0.84,0.592,0.000161191057769457
"CASC7",6.27232611971036e-08,1.04299740549548,0.008,0.011,0.000806495692472358
"EHD1",1.84451842468428e-07,1.82435711902014,0.244,0.075,0.00237168179045905
"PPIF",2.13038293545096e-07,1.49293311275891,0.319,0.144,0.00273924637840285
"PNRC1",5.1951609075755e-07,0.940987941780761,0.588,0.358,0.00667993789496057
"RPP21",8.1768324275624e-07,1.2494482829629,0.008,0.01,0.0105137711353597
"PRMT9",1.78474990950546e-06,3.00235542099813,0.109,0.014,0.0229483143364212
"LRCH1",2.30977309871721e-06,1.36492550038284,0.008,0.009,0.0296990625033059
"CD44",2.49821668911228e-06,0.85815773004188,0.588,0.366,0.0321220701886056
"HBP1",2.61734690518233e-06,2.0848175811901,0.168,0.04,0.0336538465068343
"OLR1",2.96724462523191e-06,0.971147120475798,0.336,0.148,0.0381528313912319
"WARS",3.00466783247842e-06,1.74477357119938,0.193,0.066,0.0386340189900075
"CDC37",3.67792413695349e-06,1.24154308487756,0.336,0.143,0.0472907485529479
"BIRC5",3.70579051542759e-06,0.862425159853655,0.017,0.027,0.047649054447368
"CD93",3.82515238864776e-06,1.54549774602466,0.261,0.095,0.0491838094132328
"CHST11",5.34270155647528e-06,2.50694450525527,0.126,0.022,0.0686964566131592
"SSBP3",5.40101182241457e-06,1.36492550038284,0.025,0.019,0.0694462100126065
"CEBPB",1.28971069197684e-05,0.836231219308427,0.412,0.213,0.165831000774382
"SELENOK",1.34624110885363e-05,1.70781321390585,0.193,0.064,0.1730996817764
"ERN1",1.41119689452029e-05,2.46446117393375,0.118,0.021,0.181451696697419
"ETS2",1.61203347713995e-05,1.21215521997959,0.336,0.156,0.207275264490654
"CNOT1",1.78487746416611e-05,2.51692859382789,0.101,0.021,0.229499544342478
"PRNP",1.93407344490524e-05,1.60593359988663,0.202,0.064,0.248683163545916
"EMP3",2.08092220738361e-05,0.830003682161278,0.513,0.327,0.267564977425385
"RRNAD1",2.33202471389185e-05,5.94988800110399,0.034,0,0.299851737712214
"PSMD11",2.63126965310485e-05,2.20446082818959,0.126,0.03,0.338328651996222
"TNFRSF4",2.70714723946955e-05,0.410729189995963,0.017,0.024,0.348084992050995
"SLC7A5",2.96812828471161e-05,1.75920443949488,0.168,0.055,0.381641934848219
"CCL18",3.10513890146938e-05,1.85035232755308,0.017,0.014,0.399258759950933
"TRIM22",3.19666085009559e-05,2.24293497600423,0.126,0.029,0.411026652105291
"RILPL2",3.58477191149813e-05,1.21468286480223,0.303,0.142,0.46092997238043
"S100A12",4.08273080149313e-05,1.11699798693925,0.244,0.099,0.524957526455987
"SLC11A1",4.39805973860095e-05,1.292775714627,0.286,0.126,0.56550252118931
"LCP2",4.66911337937033e-05,1.18331869389289,0.303,0.135,0.600354598319437
"MORF4L2",4.96841204732555e-05,1.53640596832719,0.21,0.077,0.638838421045119
"TROVE2",5.10466835880223e-05,2.77996299966168,0.092,0.014,0.656358257574791
"DSE",5.49650097560044e-05,1.46801899334694,0.227,0.084,0.706740095442704
"ZBTB43",5.70239339886373e-05,2.52842423266572,0.101,0.02,0.733213743225899
"HOOK3",5.70991547149885e-05,2.60593359988663,0.101,0.017,0.734180931325322
"METTL21A",7.87906843219235e-05,1.77996299966168,0.008,0.007,1
"GALE",8.05464240173609e-05,3.77996299966168,0.059,0.004,1
"FGFR1OP2",8.77168487412436e-05,2.27181609599136,0.118,0.025,1
"SPAG9",9.11492571591585e-05,2.04299740549548,0.109,0.032,1
"PPP1R15B",9.49196729550165e-05,1.51990016035918,0.193,0.076,1
"MAML3",0.000100221380145345,3.36492550038284,0.067,0.007,1
"DIDO1",0.000110513118866139,4.17228042244044,0.05,0.002,1
"HIF1A",0.000111016821058327,1.02178091958578,0.361,0.189,1
"MBNL1",0.000113692502437484,1.40025857349512,0.218,0.094,1
"PET100",0.000114260541140293,1.10619123198267,0.227,0.096,1
"DDX17",0.000119584940467201,1.58251693545546,0.193,0.068,1
