"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5A",2.29400646920562e-175,10.2956628379457,1,0,2.94963351810459e-171,170.530231940277,"Up"
"EHD1",1.84451842468428e-07,1.82435711902014,0.244,0.075,0.00237168179045905,2.62494358087197,"Up"
"PPIF",2.13038293545096e-07,1.49293311275891,0.319,0.144,0.00273924637840285,2.56236890386556,"Up"
"RPP21",8.1768324275624e-07,1.2494482829629,0.008,0.01,0.0105137711353597,1.97824148097293,"Up"
"PRMT9",1.78474990950546e-06,3.00235542099813,0.109,0.014,0.0229483143364212,1.6392492099645,"Up"
"LRCH1",2.30977309871721e-06,1.36492550038284,0.008,0.009,0.0296990625033059,1.52725725964128,"Up"
"HBP1",2.61734690518233e-06,2.0848175811901,0.168,0.04,0.0336538465068343,1.47296529039328,"Up"
"WARS",3.00466783247842e-06,1.74477357119938,0.193,0.066,0.0386340189900075,1.41303011105285,"Up"
"CDC37",3.67792413695349e-06,1.24154308487756,0.336,0.143,0.0472907485529479,1.32522381159587,"Up"
"CD93",3.82515238864776e-06,1.54549774602466,0.261,0.095,0.0491838094132328,1.30817783706384,"Up"
