"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5B",2.04924664836138e-97,10.4148248221883,1,0,2.63492134046306e-93
"CYLD",3.40622628358314e-24,0.637843549174244,0.019,0.036,4.37972575543121e-20
"CXCL9",1.06332867243047e-11,3.12204307296048,0.019,0.01,1.3672280070111e-07
"SCP2",1.42965983826053e-07,-0.535488053711318,0.019,0.079,0.00183825662003539
"ATP5O",7.94526261394347e-06,-1.08369200442236,0.019,0.113,0.102160186690085
"SPP1",1.33348716518359e-05,1.16857521249612,0.377,0.163,0.171459779699306
"CST3",1.52459738685334e-05,-1.69919143810333,0.226,0.508,0.196032732001602
"TMSB4X",2.18066791893762e-05,-1.329750305539,0.906,0.967,0.280390281017
"KIF5B",2.35159628660909e-05,0.800114978073121,0.075,0.064,0.302368250532197
"ITGAX",2.92553636013973e-05,1.25697265304659,0.132,0.077,0.376165465186766
"PLP2",3.08902427097224e-05,1.56307578077227,0.226,0.101,0.39718674076161
"LST1",3.94575644381653e-05,-2.56579081387484,0.038,0.264,0.507345363545929
"MAPRE2",5.00446582252328e-05,3.14803828149343,0.094,0.016,0.643474215460043
"XCL2",6.03669978909531e-05,3.87050430596452,0.019,0.006,0.776198858881875
"CDK14",8.47413196741315e-05,3.19243240085188,0.019,0.005,1
"RAD21",9.06498804902005e-05,2.05492887710195,0.264,0.066,1
"ETHE1",0.000110846858224687,1.228958276877,0.057,0.039,1
"PDP1",0.00015506745011562,5.60746990013073,0.057,0.001,1
"GGNBP2",0.000156085781221416,0.577722556736673,0.019,0.036,1
"NFIL3",0.000172840064212662,1.50313324031599,0.057,0.033,1
"BNIP3",0.000173189695349776,1.74948890500315,0.038,0.022,1
"POLR3F",0.000183584231026137,4.92939799501809,0.075,0.002,1
"PPM1G",0.000198586658721709,1.12634321039411,0.075,0.051,1
"RIN2",0.00020378986697035,2.228958276877,0.189,0.053,1
"MSANTD3",0.000222026731533625,4.34443549429693,0.075,0.003,1
"LDHA",0.000245339812433843,0.886529729890595,0.623,0.339,1
"HLA-B",0.000257961766833904,0.48485061346677,0.868,0.601,1
"DOCK4",0.000289360744556357,2.64399577615584,0.17,0.029,1
"BACH1",0.000308185542739972,1.0749748193037,0.094,0.062,1
"NPC2",0.00035332338122329,-1.44195980912503,0.208,0.439,1
"SAMD8",0.000384697554905055,2.963613710356,0.132,0.019,1
"KDSR",0.000427393428732854,3.50793422657981,0.113,0.011,1
"ZFAND3",0.000441685572870868,2.82319859118616,0.151,0.023,1
"BATF",0.000508410575292691,2.57504842243835,0.17,0.033,1
"SSH1",0.000512056253766146,2.14803828149343,0.038,0.016,1
"RPL7",0.000541725773129284,-1.12364943609979,0.453,0.661,1
"SNX9",0.000586636528283675,2.39447617679653,0.151,0.038,1
"MT2A",0.000591030900443058,1.38415768594139,0.528,0.339,1
"RNF144B",0.000597720576739161,1.70057930452221,0.208,0.088,1
"PPP4R2",0.000618157904474123,2.40583603896108,0.17,0.034,1
"CENPF",0.000696787470572764,3.02250739940957,0.132,0.018,1
"ARRDC3",0.000724217656246465,2.32206768126848,0.113,0.029,1
"ZFX",0.000735880464144602,3.16689730874474,0.113,0.014,1
"RHOC",0.000781247439801565,1.62561724684099,0.151,0.06,1
"FANK1",0.000821231372965442,6.19243240085188,0.038,0,1
"IRAK3",0.000823637030720425,1.41107268732722,0.075,0.042,1
"MARCO",0.000852276694900447,1.52000705888039,0.189,0.059,1
"ALOX12-AS1",0.000862382814107778,6.19243240085188,0.038,0,1
"AC005392.2",0.000865515141263695,6.19243240085188,0.038,0,1
"ZNF107",0.000876003261965273,6.19243240085188,0.038,0,1
"NDST1",0.000890622968748416,6.19243240085188,0.038,0,1
