"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AXL",6.130523662182e-77,10.4918017173863,1,0,7.88262732483361e-73
"GLO1",2.78149700277396e-30,1.77275521345634,0.051,0.037,3.57644884616676e-26
"DNASE2",1.48550745435058e-21,1.22423470870324,0.026,0.032,1.91006548480397e-17
"SMARCE1",9.64953552239501e-16,2.60610534404689,0.026,0.016,1.24073727746955e-11
"HLA-DPA1",6.27441139790241e-15,1.6478274517178,0.974,0.482,8.06763817542292e-11
"HLA-DRB5",9.37266473311778e-14,2.07436081307119,0.795,0.34,1.20513723138428e-09
"HLA-DRB1",2.6543413002317e-13,1.55096378985442,0.974,0.596,3.41295204383792e-09
"HLA-DPB1",8.12872915761501e-13,1.58314419560357,0.949,0.508,1.04519199508614e-08
"HLA-DQB1",6.57171484843015e-12,1.7358315172051,0.872,0.374,8.44991095211148e-08
"CD74",1.38497450840384e-11,1.28148941411865,1,0.728,1.78080022290566e-07
"SQRDL",1.5893852800337e-11,1.7079849580661,0.026,0.03,2.04363159306733e-07
"ADRM1",4.66462726595009e-10,0.421680772909458,0.026,0.072,5.99777773855863e-06
"EIF4E2",4.31568813746124e-09,1.04316914965573,0.051,0.049,5.54911180714767e-05
"CST3",5.84355176002549e-09,1.43797108053929,0.846,0.486,7.51363885304078e-05
"HLA-DRA",2.33548168907208e-08,1.07378432306696,0.974,0.79,0.000300296235580889
"C1QC",3.1137992373026e-08,1.97345256369347,0.59,0.162,0.000400372305932368
"C1QA",2.03569901061293e-07,1.70434943734959,0.59,0.175,0.00261750178784611
"FUCA2",2.68482914113107e-07,2.84314454134773,0.026,0.01,0.00345215330966633
"C1QB",9.3969584826545e-07,1.80119635934976,0.564,0.178,0.0120826092169972
"HIST2H2AA3",1.27373866227641e-06,3.06553696268418,0.026,0.008,0.0163777317195501
"STX12",2.92208320168188e-06,1.25818204062658,0.026,0.031,0.0375721458072257
"CHST11",3.24065000628445e-06,1.7079849580661,0.051,0.031,0.0416682777808054
