"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"AXL",6.130523662182e-77,10.4918017173863,1,0,7.88262732483361e-73,72.1033290055435,"Up"
"GLO1",2.78149700277396e-30,1.77275521345634,0.051,0.037,3.57644884616676e-26,25.4465479822752,"Up"
"SMARCE1",9.64953552239501e-16,2.60610534404689,0.026,0.016,1.24073727746955e-11,10.9063201693671,"Up"
"HLA-DRB5",9.37266473311778e-14,2.07436081307119,0.795,0.34,1.20513723138428e-09,8.91896349629286,"Up"
"HLA-DQB1",6.57171484843015e-12,1.7358315172051,0.872,0.374,8.44991095211148e-08,7.0731478677616,"Up"
"SQRDL",1.5893852800337e-11,1.7079849580661,0.026,0.03,2.04363159306733e-07,6.68959739205909,"Up"
"C1QC",3.1137992373026e-08,1.97345256369347,0.59,0.162,0.000400372305932368,3.39753597064506,"Up"
"FUCA2",2.68482914113107e-07,2.84314454134773,0.026,0.01,0.00345215330966633,2.46190992556875,"Up"
"C1QB",9.3969584826545e-07,1.80119635934976,0.564,0.178,0.0120826092169972,1.91783927050112,"Up"
"HIST2H2AA3",1.27373866227641e-06,3.06553696268418,0.026,0.008,0.0163777317195501,1.78574624725795,"Up"
