"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IL6",9.75855311959873e-95,10.87464992565,1,0,1.254754760118e-90
"PRMT2",3.49321614534172e-29,0.417269046577426,0.02,0.043,4.49157731968038e-25
"PTGS2",6.61387957246222e-19,2.55972940906245,0.765,0.182,8.50412635427192e-15
"IL1B",7.23485168709757e-18,1.83498896690959,0.922,0.362,9.30257229927005e-14
"ANO6",2.49669676350748e-16,1.25015906074217,0.02,0.024,3.21025269851792e-12
"CXCL2",1.29438973701049e-15,2.15564146195788,0.824,0.309,1.66432632384809e-11
"DEGS1",1.74343697741471e-14,1.02134037024629,0.02,0.037,2.24171126555984e-10
"CXCL3",4.79702505440209e-14,2.27897933677867,0.745,0.238,6.16801481495021e-10
"CXCL1",1.93927837498808e-12,2.7967013431495,0.51,0.107,2.49352413455968e-08
"SOD2",2.23128631127569e-12,0.986546767842411,0.98,0.527,2.86898793903829e-08
"VDAC2",5.38004824649128e-11,-0.620205658841237,0.02,0.088,6.91766603533849e-07
"CCL3L1",1.44342411821329e-10,2.25802117851514,0.588,0.168,1.85595473119865e-06
"IER3",5.24254679588203e-10,1.27203124121967,0.824,0.379,6.74086667014511e-06
"IL8",1.92715112325829e-09,1.8409053781642,0.608,0.397,2.47793091428551e-05
"EREG",1.96655976990012e-09,1.60291228176667,0.627,0.209,2.52860255213757e-05
"CXCL5",2.79864514442498e-09,2.00428520606656,0.412,0.087,3.59849792670164e-05
"SERPINA1",3.57273851266237e-09,1.64328178359257,0.627,0.253,4.59382717958127e-05
"CCL3",3.91204249275355e-09,2.16283114537838,0.745,0.4,5.03010423718252e-05
"TNFAIP6",6.57221402161462e-09,2.36635207824669,0.451,0.112,8.45055278899208e-05
"SAMSN1",3.04868684409138e-08,1.54342759673335,0.627,0.24,0.000392000154413269
"IL1A",3.90967316394126e-08,2.66519656002101,0.294,0.042,0.000502705775419567
"HBA2",7.8884317279595e-08,0.727137946318814,0.471,0.154,0.00101429455158103
"CXCL8",8.87837420563592e-08,1.91228942198578,0.353,0.114,0.00114158135536067
"CTSL",8.97394836911048e-08,1.08023405929986,0.588,0.222,0.00115387028130022
"PLAUR",9.63155048806501e-08,1.1852036189014,0.725,0.338,0.0012384247617554
"CCL20",9.89294669252713e-08,1.58122551968676,0.549,0.184,0.00127203508572514
"IL1RN",1.71911939436727e-07,1.47516398513013,0.647,0.268,0.00221044371727744
"SRGN",1.88340669641155e-07,0.738372037043735,1,0.732,0.00242168433024597
"PAPSS1",2.1230347015682e-07,0.937276105457812,0.039,0.04,0.00272979801927639
"CCL4",2.88577694715272e-07,1.81589345596544,0.647,0.308,0.00371053199864897
"ANXA5",4.1298118587028e-07,1.11194291902719,0.725,0.349,0.00531011208792006
"C15orf48",8.50858117881004e-07,1.10213497385707,0.784,0.412,0.0109403336797139
"CCL3L3",8.71629412865564e-07,2.31942172317928,0.373,0.128,0.0112074109906254
"RPL41",8.98384349395205e-07,-1.06660732902942,0.824,0.876,0.0115514259645235
"BCL2A1",1.16939485112019e-06,1.02454992672218,0.745,0.379,0.0150360789957034
"APLP2",1.19392747053004e-06,1.5888456738909,0.431,0.138,0.0153515194160753
