"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"IL6",9.75855311959873e-95,10.87464992565,1,0,1.254754760118e-90,89.9014411480754,"Up"
"PTGS2",6.61387957246222e-19,2.55972940906245,0.765,0.182,8.50412635427192e-15,14.0703702956913,"Up"
"CXCL2",1.29438973701049e-15,2.15564146195788,0.824,0.309,1.66432632384809e-11,10.7787615177376,"Up"
"CXCL3",4.79702505440209e-14,2.27897933677867,0.745,0.238,6.16801481495021e-10,9.20985459182425,"Up"
"CXCL1",1.93927837498808e-12,2.7967013431495,0.51,0.107,2.49352413455968e-08,7.60318642393434,"Up"
"CCL3L1",1.44342411821329e-10,2.25802117851514,0.588,0.168,1.85595473119865e-06,5.7314326209137,"Up"
"CCL3",3.91204249275355e-09,2.16283114537838,0.745,0.4,5.03010423718252e-05,4.29842301511025,"Up"
"TNFAIP6",6.57221402161462e-09,2.36635207824669,0.451,0.112,8.45055278899208e-05,4.07311488094893,"Up"
"IL1A",3.90967316394126e-08,2.66519656002101,0.294,0.042,0.000502705775419567,3.29868612527831,"Up"
"CCL3L3",8.71629412865564e-07,2.31942172317928,0.373,0.128,0.0112074109906254,1.95049470161976,"Up"
