"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"FTL",1.47111374834591e-25,-5.47307785248115,0.098,0.872,1.89155805762317e-21,20.7231803243589,"Down"
"SOD2",6.85252609646951e-12,-5.40221430783099,0.024,0.561,8.81097805484049e-08,7.05497588043652,"Down"
"TIMP1",1.19821402757396e-11,-6.64703347702059,0.024,0.564,1.5406635966546e-07,6.81229217897508,"Down"
"IL1B",3.06009698335843e-11,-5.4371840230913,0,0.395,3.93467270120226e-07,6.40509138782172,"Down"
"S100A9",5.00127626122149e-10,-5.76287621791593,0,0.39,6.43064101667859e-06,5.19174573374286,"Down"
"C15orf48",8.38565231973538e-10,-6.15602877532923,0,0.439,1.07822717527158e-05,4.9672897265588,"Down"
"G0S2",2.35747244298327e-09,-4.98610377388692,0,0.337,3.03123806718789e-05,4.51837995369973,"Down"
"CXCL2",1.99861137407516e-08,-5.50567762777505,0,0.339,0.000256981450478584,3.59009822392759,"Down"
"S100A8",2.1800768475252e-07,-5.31943663204653,0,0.304,0.00280314281054791,2.5523547758562,"Down"
"IL8",1.04939379252716e-06,-8.14373141652585,0,0.418,0.0134931053843142,1.86988808768417,"Down"
