"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MKI67",1.81333124573027e-76,10.4174409043151,1,0,2.33158131575998e-72
"TOP2A",1.89649989975305e-31,5.47660297678324,0.634,0.012,2.43851957110247e-27
"HMGB2",2.68463383946833e-30,2.45015699647943,0.951,0.123,3.45190219078838e-26
"CENPF",2.75907016797407e-29,6.57613865033415,0.561,0.005,3.54761242198106e-25
"STMN1",1.1507354143377e-28,2.52917517136356,0.951,0.129,1.47961559575541e-24
"HIST1H4C",2.16682317029412e-28,3.50042899050949,0.829,0.062,2.78610123236418e-24
"CD3E",8.28697429731012e-27,4.24493274185878,0.732,0.038,1.06553915514814e-22
"H2AFV",9.79387074258774e-27,2.95555223988227,0.927,0.118,1.25929590008193e-22
"FTL",1.47111374834591e-25,-5.47307785248115,0.098,0.872,1.89155805762317e-21
"UBE2C",8.94713259506996e-24,3.64722174839563,0.61,0.035,1.1504223090741e-19
"HIST1H2BK",2.73422162529419e-23,2.55821674233689,0.024,0.02,3.51566216580327e-19
"SMC4",4.30343136377752e-23,4.4436883543105,0.61,0.028,5.53335204754513e-19
"RAC2",7.4888504111809e-23,2.63272217870052,0.902,0.143,9.6291638586964e-19
"HMGN2",9.98397660672836e-22,1.70644667267988,1,0.258,1.28373971209313e-17
"TPX2",4.42239435834799e-21,7.99117614961299,0.366,0.001,5.68631466596385e-17
"TUBB",1.10304291733273e-20,1.89541716680756,0.951,0.233,1.41829258310642e-16
"H2AFX",8.93457182448157e-20,4.38545508872504,0.537,0.025,1.14880724519184e-15
"RNMT",1.14598402731316e-19,1.32821113689056,0.024,0.028,1.47350626231927e-15
"TUBA1B",3.87009078715218e-18,1.74735888123132,1,0.326,4.97616273412027e-14
"CENPE",4.09490616144841e-18,6.40621364889184,0.366,0.004,5.26523034239036e-14
"CD3D",4.54497322932871e-18,3.7608785301912,0.585,0.041,5.84392657827086e-14
"ANP32B",7.66815296586224e-18,2.56796471888845,0.78,0.123,9.85971108350567e-14
"NUSAP1",1.20021405080061e-17,4.3390994530333,0.463,0.02,1.54323522651943e-13
"TYROBP",7.51567885485746e-17,-4.16617078574985,0.049,0.66,9.66365987157573e-13
"CCNB2",1.47867024042193e-16,5.89806674522151,0.317,0.005,1.90127419513452e-12
"KIF22",1.8842682933205e-16,4.3390994530333,0.488,0.025,2.4227921715515e-12
"ASPM",1.90437381113756e-16,7.69161586775409,0.293,0.001,2.44864384636067e-12
"HLA-DRA",3.8401101008646e-16,-3.88812861432362,0.244,0.813,4.93761356769171e-12
"SAT1",3.93840804863212e-16,-4.18333347086868,0.122,0.732,5.06400506893119e-12
"HMGB1",8.04700859326311e-16,1.24453264154443,0.951,0.319,1.03468436492177e-11
"FCER1G",1.21472045259466e-15,-4.96083701527649,0.024,0.633,1.56188755794622e-11
"RAD21",5.69694069374455e-15,3.27235790215705,0.561,0.058,7.32512634401674e-11
"IL32",5.96287546711751e-15,2.28691472051949,0.634,0.087,7.66706527561969e-11
"H2AFZ",6.52833003195565e-15,1.51473810567001,0.902,0.278,8.39412675508857e-11
"PTTG1",6.59172349604201e-15,3.36824579869282,0.512,0.05,8.47563807121082e-11
"BUB3",1.66762212393678e-14,3.06834401013545,0.537,0.061,2.14422852695791e-10
"NUCKS1",9.58992158681233e-14,2.9207868217216,0.585,0.076,1.23307211763233e-09
"TRBC2",1.44527929205081e-13,5.19762702708042,0.341,0.009,1.85834011371893e-09
"LYZ",1.91588214936784e-13,-4.81725180710984,0.024,0.531,2.46344126765717e-09
"CST3",1.98949989410126e-13,-3.25485183091511,0.049,0.511,2.5580989638354e-09
"CALM3",2.62396679577046e-13,2.3831300357788,0.683,0.131,3.37389650600166e-09
"FTH1",6.35498438636299e-13,-4.53874237850733,0.537,0.916,8.17123892398553e-09
"CDCA8",1.73262295292782e-12,6.12867967336293,0.244,0.003,2.22780659287459e-08
"GZMA",2.44942939990082e-12,2.5649113949109,0.366,0.019,3.14947632239248e-08
"CD2",5.61317752895223e-12,4.19470954369813,0.39,0.024,7.21742366672678e-08
"SOD2",6.85252609646951e-12,-5.40221430783099,0.024,0.561,8.81097805484049e-08
"BIRC5",1.08837916800151e-11,4.25421055544679,0.341,0.016,1.39943793421635e-07
"TIMP1",1.19821402757396e-11,-6.64703347702059,0.024,0.564,1.5406635966546e-07
"GTSE1",1.76831192832351e-11,6.31310424450036,0.22,0.002,2.27369547743836e-07
"CDKN3",1.87461288641785e-11,4.69161586775409,0.293,0.011,2.41037724935607e-07
"SPOCK2",1.93806975481347e-11,4.50574932244275,0.341,0.015,2.49197009073916e-07
"CCL5",1.9437588132513e-11,2.58518378993716,0.463,0.053,2.49928508207852e-07
"IER3",2.0686316730138e-11,-4.8714612079458,0,0.409,2.65984660516115e-07
"CKS1B",2.06881554415061e-11,3.07363830980497,0.415,0.044,2.66008302666886e-07
"JPT1",2.09362789994154e-11,3.19366901351174,0.488,0.052,2.69198675374483e-07
"TROAP",2.68789620165161e-11,7.99117614961299,0.171,0,3.45609693608364e-07
"IL1B",3.06009698335843e-11,-5.4371840230913,0,0.395,3.93467270120226e-07
"NPC2",6.65144331182161e-11,-3.77700817516393,0.024,0.442,8.55242581034023e-07
"HIST1H1E",9.85373942379911e-11,4.50574932244275,0.317,0.014,1.26699381511209e-06
"RPL9",1.05936497367806e-10,-2.1747357893227,0.22,0.676,1.36213148315525e-06
"TMPO",1.25415270638948e-10,3.53866394491549,0.415,0.038,1.6125895498756e-06
"AIF1",1.55224145208138e-10,-3.84013109418906,0.024,0.44,1.99587205908624e-06
"CD3G",1.65617459001963e-10,4.78472527214557,0.293,0.011,2.12950928784724e-06
"PLAUR",1.69201914170343e-10,-4.44345207802373,0,0.363,2.17559821240227e-06
"CD7",1.82519089882396e-10,3.37819927272224,0.39,0.033,2.34683045770785e-06
"HP1BP3",2.1885149724978e-10,3.19470954369813,0.439,0.049,2.81399255163767e-06
"BCL2A1",2.39120150252051e-10,-4.92917670580209,0,0.406,3.07460689194087e-06
"RPL39",2.86050457612097e-10,-2.09946560230485,0.585,0.91,3.67803678397635e-06
"MT-ND4",3.14588666421474e-10,-2.08162638493121,0.341,0.817,4.04498107284732e-06
"CRIP1",3.8024256816262e-10,1.78172278398404,0.732,0.196,4.88915894143496e-06
"CTSS",4.05597676057645e-10,-4.18125135903249,0,0.337,5.2151749187492e-06
"C12orf57",4.91796357300331e-10,2.79616016720785,0.439,0.062,6.32351756216765e-06
"S100A9",5.00127626122149e-10,-5.76287621791593,0,0.39,6.43064101667859e-06
"NEAT1",5.28011992954055e-10,-3.40714001378721,0.098,0.552,6.78917820540324e-06
"DCTN3",5.84715412311961e-10,3.05257669427714,0.415,0.05,7.5182707715072e-06
"UBE2S",7.73314988682379e-10,3.7281417437792,0.341,0.026,9.94328412447803e-06
"C15orf48",8.38565231973538e-10,-6.15602877532923,0,0.439,1.07822717527158e-05
"RER1",9.52379380833791e-10,0.467614193555981,0.024,0.051,1.22456940787609e-05
"PSAP",9.73519583952485e-10,-3.24722858971209,0.049,0.424,1.25175148104611e-05
"ARHGDIB",1.28276667906168e-09,1.22672981902468,0.878,0.337,1.64938139593751e-05
"HIST1H2AJ",1.66839591121347e-09,6.16110115105531,0.195,0.002,2.14522346263827e-05
"ANP32E",1.94152931020002e-09,3.15828613544825,0.366,0.041,2.49641838705518e-05
"G0S2",2.35747244298327e-09,-4.98610377388692,0,0.337,3.03123806718789e-05
"SH2D2A",2.64779568997686e-09,4.66924805472563,0.268,0.011,3.40453569817224e-05
"CCNA2",3.01601278773035e-09,5.14317924305804,0.22,0.005,3.87798924246368e-05
"PTPRCAP",3.5139146103457e-09,2.59063822002927,0.488,0.08,4.5181914059825e-05
"TUBB4B",3.66662651604839e-09,2.08428555400448,0.585,0.133,4.71454837433503e-05
"C12orf75",3.71761361074763e-09,3.10853310025115,0.366,0.038,4.78010758069931e-05
"TRBC1",3.84545508110509e-09,4.99117614961299,0.244,0.008,4.94448614328492e-05
"CDC25B",3.91074394479708e-09,4.99117614961299,0.244,0.008,5.02843456422009e-05
"DUSP4",4.8589388026883e-09,2.89164047606208,0.439,0.067,6.24762351249662e-05
"CYBA",5.47369386370472e-09,-1.88874739839525,0.195,0.563,7.03807556995153e-05
"RPL41",6.77021553424939e-09,-2.05498923459765,0.512,0.885,8.70514313393786e-05
"CORO1A",6.92469279090782e-09,1.26105030092725,0.805,0.295,8.90376999054927e-05
"HIST1H1D",7.42732638642458e-09,4.86564526752913,0.244,0.008,9.55005626766472e-05
"NRD1",7.53296212245525e-09,2.48867580908381,0.024,0.012,9.68588269705297e-05
"TMEM106C",1.12035707989116e-08,4.40621364889184,0.268,0.013,0.000144055513332406
"PTPRC",1.13536899489236e-08,1.81573414320312,0.683,0.191,0.00014598574536326
"GLUL",1.15018342975931e-08,-3.90666930639252,0,0.299,0.000147890585398452
"PPDPF",1.28537580685222e-08,1.70714466248416,0.634,0.183,0.000165273621245058
"HMGN1",1.46026466355836e-08,1.04502612355725,0.659,0.232,0.000187760830440334
"NCAPH",1.58301052890394e-08,6.40621364889184,0.171,0.002,0.000203543493806469
"CTSB",1.70094027367829e-08,-3.56532990505893,0.024,0.393,0.000218706900389555
"UBB",1.88193041308978e-08,0.81777057943572,0.878,0.444,0.000241978612515084
"CXCL2",1.99861137407516e-08,-5.50567762777505,0,0.339,0.000256981450478584
"CD8A",2.02281615300331e-08,4.04775967797936,0.293,0.018,0.000260093700953166
"HMMR",2.30584633903376e-08,5.7985310716706,0.146,0.002,0.00029648572227296
"HLA-DQB1",2.42158402641022e-08,-3.6812491923585,0.024,0.4,0.000311367274115826
"CDCA3",2.49562270297529e-08,5.66924805472563,0.171,0.003,0.000320887167148562
"SGO2",2.5330479244517e-08,7.57613865033415,0.122,0,0.000325699302126
"CD74",2.71507621935469e-08,-2.36323067163408,0.537,0.742,0.000349104500284626
"SARAF",2.99667144244424e-08,2.42557897375877,0.561,0.11,0.00038531201406948
"KPNA2",3.13239959059772e-08,2.95164778542636,0.366,0.048,0.000402763939359055
"ARL6IP1",3.31210105708313e-08,1.61480027070326,0.585,0.182,0.000425869953919749
"CD68",3.39704702162539e-08,-3.79018356391167,0,0.287,0.000436792306040593
"NAP1L4",3.40263828433572e-08,3.62860607022829,0.317,0.027,0.000437511230599887
"PLK1",3.60275427684727e-08,4.99117614961299,0.195,0.005,0.000463242144917022
"PFDN5",3.80918116375899e-08,-2.27694807781742,0.146,0.582,0.000489784514036131
"RPL34",4.33250607811723e-08,-1.93623146333604,0.561,0.877,0.000557073631524313
"CENPA",5.53601266849714e-08,5.99117614961299,0.171,0.002,0.000711820508915362
"KIF23",6.29982735337311e-08,6.7985310716706,0.146,0.001,0.000810031801096715
"TENT5C",6.72651817981963e-08,5.99117614961299,0.171,0.002,0.000864895707561208
"LGALS1",8.38590211199842e-08,-3.0571868719484,0.22,0.679,0.00107825929356076
"CKS2",9.52231272516301e-08,2.10982064611161,0.439,0.091,0.00122437897020146
"CDK1",1.02471763091723e-07,3.11670703169685,0.268,0.027,0.00131758192983338
"CD14",1.09451182605926e-07,-4.04774283967931,0,0.278,0.00140732330594699
"RPS24",1.14644303931199e-07,-1.44526382639807,0.488,0.795,0.00147409645994736
"HIST1H1B",1.19419864031781e-07,5.66924805472563,0.171,0.003,0.00153550061172064
"RPL21",1.47544637987262e-07,-1.79777893411263,0.439,0.823,0.00189712895524022
"HIST1H3B",1.48373385894208e-07,5.66924805472563,0.171,0.003,0.00190778499582772
"HLA-DRB1",1.53550915699252e-07,-2.2654861738082,0.293,0.617,0.00197435767406099
"IFITM1",1.58536812820524e-07,3.14317924305804,0.341,0.038,0.0020384663392463
"DEK",1.61257261975563e-07,2.05530648703271,0.537,0.13,0.00207344587448179
"ACTN4",1.76915761912304e-07,0.932282460559425,0.024,0.037,0.0022747828666684
"KIF20B",1.82208715673634e-07,4.99117614961299,0.195,0.006,0.00234283966613158
"TYMP",1.82947686690212e-07,-3.27561039108191,0.024,0.365,0.00235234135546275
"MS4A6A",1.83547393641689e-07,-3.55571831027464,0,0.235,0.00236005238744484
"RPL27A",1.99134990736126e-07,-2.45101339009582,0.22,0.67,0.0025604777108851
"RNF19A",2.00359018203367e-07,3.86564526752913,0.244,0.017,0.0025762162560589
"S100A8",2.1800768475252e-07,-5.31943663204653,0,0.304,0.00280314281054791
"SERPINA1",2.27901104420715e-07,-3.80972375030731,0,0.275,0.00293035240064155
"EVL",3.01556333896093e-07,2.9207868217216,0.341,0.047,0.00387741134123596
