"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TGM2",1.76604805526043e-80,10.3796805971008,1,0,2.27078458945386e-76
"SCPEP1",8.35752334017021e-30,0.622568429822852,0.023,0.045,1.07461035107909e-25
"PNKD",2.941243506951e-24,0.920248978463538,0.023,0.036,3.7818509012376e-20
"PRKCSH",9.82893940090495e-22,1.0789467244826,0.023,0.032,1.26380502816836e-17
"TRIP12",1.23436504624645e-20,1.14765947456661,0.023,0.031,1.58714657646368e-16
"HUWE1",5.28680708007574e-18,2.27639278868881,0.023,0.018,6.79777654356139e-14
"CCDC50",1.04523072557919e-17,1.37592846223973,0.023,0.026,1.34395766694972e-13
"LRP10",2.56767082527928e-16,1.50521147918469,0.023,0.024,3.30151114714409e-12
"CTBP1",3.95377322908004e-16,1.50521147918469,0.023,0.024,5.08376161795112e-12
"NSL1",4.97906911100451e-15,1.59832088357618,0.023,0.022,6.4020870629296e-11
"HELZ",3.79222483909116e-14,1.69785655712709,0.023,0.021,4.87604269810342e-10
"C22orf39",1.09580216563903e-13,1.75032397702122,0.023,0.02,1.40898242457867e-09
"MTMR6",3.76423439362731e-13,1.8047717610436,0.023,0.019,4.840052583326e-09
"VPS25",8.22507497820624e-13,1.86135528940997,0.023,0.018,1.05758014069776e-08
"C1orf63",9.88893442863105e-13,1.86135528940997,0.023,0.018,1.27151918883338e-08
"ERP44",2.19834908410676e-12,0.412454338264841,0.047,0.069,2.82663725234447e-08
"NDUFV3",2.44516980824836e-12,1.92024897846354,0.023,0.018,3.14399933944574e-08
"VAMP7",8.32323313187905e-12,1.98164952312768,0.023,0.017,1.07020131609701e-07
"TMF1",6.94652611698344e-11,2.11289405640593,0.023,0.015,8.93184328121731e-07
"SLCO2B1",2.10344738135695e-10,2.18328338429733,0.023,0.015,2.70461264294877e-06
"SRPK1",9.67174717787475e-10,2.25728396574111,0.023,0.014,1.24359325213114e-05
"TIMP1",1.27585971218152e-09,0.574869693139348,0.93,0.535,1.640500417923e-05
"NFIC",2.00186642840296e-09,2.33528647774238,0.023,0.013,2.57399985364053e-05
"NBDY",2.06750341910535e-09,2.33528647774238,0.023,0.013,2.65839589628566e-05
"CDK11B",2.14959526446274e-09,2.33528647774238,0.023,0.013,2.76394959104619e-05
"PDCD2",6.18326056145507e-09,2.41774863793435,0.023,0.012,7.95043642991892e-05
"CCM2",6.26816678619198e-09,2.41774863793435,0.023,0.012,8.05960885368565e-05
"ACAT2",6.37395519894014e-09,2.41774863793435,0.023,0.012,8.19563159479724e-05
"NSMAF",6.76497073290583e-09,2.41774863793435,0.023,0.012,8.69839936837031e-05
"POP4",8.53517075743695e-09,2.41774863793435,0.023,0.012,0.000109745225599124
"DCAF12",1.37334530654971e-08,2.41774863793435,0.023,0.012,0.000176584739516162
"C15orf48",1.51441083215743e-08,0.744945797294658,0.791,0.414,0.000194722944798802
"UNC93B1",1.91232474368148e-08,2.50521147918469,0.023,0.012,0.000245886715542565
