"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"TGM2",1.76604805526043e-80,10.3796805971008,1,0,2.27078458945386e-76,75.6438240617506,"Up"
"PDCD2",6.18326056145507e-09,2.41774863793435,0.023,0.012,7.95043642991892e-05,4.09960903060099,"Up"
"CCM2",6.26816678619198e-09,2.41774863793435,0.023,0.012,8.05960885368565e-05,4.09368603472195,"Up"
"ACAT2",6.37395519894014e-09,2.41774863793435,0.023,0.012,8.19563159479724e-05,4.08641757198176,"Up"
"NSMAF",6.76497073290583e-09,2.41774863793435,0.023,0.012,8.69839936837031e-05,4.06056065651228,"Up"
"POP4",8.53517075743695e-09,2.41774863793435,0.023,0.012,0.000109745225599124,3.95961436439843,"Up"
"DCAF12",1.37334530654971e-08,2.41774863793435,0.023,0.012,0.000176584739516162,3.7530468309413,"Up"
"UNC93B1",1.91232474368148e-08,2.50521147918469,0.023,0.012,0.000245886715542565,3.60926493414215,"Up"
"PPP1R9B",2.20498360737737e-08,2.50521147918469,0.023,0.012,0.000283516792236582,3.54742121345639,"Up"
"GNPTAB",2.34680673052525e-08,3.7827454547136,0.047,0.008,0.000301752409410937,3.52034925349342,"Up"
"HSPA13",8.119280191645e-08,2.59832088357618,0.023,0.011,0.00104397704704171,2.98130904966011,"Up"
"SYNRG",1.7705737154919e-07,2.69785655712709,0.023,0.01,0.00227660368337948,2.64271256582837,"Up"
"CHKA",1.90101879123527e-07,2.69785655712709,0.023,0.01,0.0024443299617703,2.61184016876356,"Up"
"DNM1L",5.49665580271586e-07,2.8047717610436,0.023,0.009,0.00706760003113205,2.1507280360169,"Up"
"KANSL1",1.02600733128777e-06,2.8047717610436,0.023,0.009,0.0131924022656981,1.87967611455658,"Up"
