"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5A",3.75815262558723e-173,11.0874355006517,1,0,4.95099026894862e-169
"ESYT1",1.55684523414321e-15,1.2356864592356,0.01,0.013,2.05098791146026e-11
"MAP2K4",1.08001744240067e-12,1.51947942523619,0.01,0.01,1.42281497861865e-08
"EPC1",5.84151030725147e-10,1.29820754379366,0.124,0.067,7.69560567877309e-06
"AC004687.1",6.54922928679773e-10,4.26543380262965,0.124,0.007,8.62795466242733e-06
"DGKA",1.86416744672016e-08,2.13615078568469,0.01,0.007,0.000245585419430914
"MON1B",5.83940751616485e-08,2.2356864592356,0.01,0.006,0.000769283546179558
"GPR15",7.79556964461794e-08,2.2356864592356,0.01,0.006,0.00102698834498197
"EIF2AK4",1.10400490293743e-07,2.13615078568469,0.247,0.058,0.00145441605912977
"GZMA",1.57891661462855e-07,2.34260166315211,0.01,0.006,0.00208006474811165
"BIRC2",6.12196343500958e-07,2.66452975803947,0.144,0.022,0.00806507462928162
"EZR",6.99391558476609e-07,1.42533029823234,0.371,0.166,0.00921378439137084
"CHMP7",9.70805640959137e-07,0.903490028894411,0.021,0.022,0.0127893935139957
"CYTOR",1.24973672596197e-06,1.95781354442617,0.216,0.075,0.016464031627823
"STAP1",1.28236837383491e-06,1.47456700336062,0.072,0.04,0.016893920956901
"EIF2S1",2.69772342983748e-06,0.590182416579394,0.031,0.034,0.035539808464679
"RAB21",2.81414547209078e-06,1.06576145779329,0.021,0.019,0.0370735524493239
"CBFA2T3",3.74639612904704e-06,2.2356864592356,0.01,0.006,0.0493550226040657
"ATP5ME",4.76391546303228e-06,2.13615078568469,0.175,0.039,0.0627598223099873
"LCORL",6.53890761959092e-06,1.72111328640584,0.062,0.028,0.0861435689804908
"UTP14C",6.85871460719551e-06,2.45807888057205,0.01,0.005,0.0903567062351937
"ZNF444",7.33840148728508e-06,3.38768955268065,0.093,0.009,0.0966761011934936
"EML4",8.57410072542052e-06,1.7762548405983,0.093,0.036,0.11295520295669
"ADAM28",9.65785640559694e-06,1.76293346210047,0.206,0.056,0.127232600287334
"GTF2B",1.17319498455506e-05,1.80898604243118,0.216,0.063,0.154556707265283
"ERO1B",1.83394957737505e-05,3.13615078568469,0.103,0.013,0.241604517323389
"STK4",2.04389612166449e-05,1.09272850539356,0.351,0.155,0.26926287506808
"JCHAIN",2.41827323258366e-05,0.949351965677977,0.289,0.132,0.318583315660572
"FOSB",2.46305113153779e-05,0.753276609844889,0.577,0.451,0.324482356068789
"PDE4B",2.53086971393594e-05,1.2764720740821,0.351,0.149,0.333416776113921
"MSL3",3.48930922304417e-05,1.68869180871346,0.072,0.034,0.459681597043839
"CD55",3.53300982548409e-05,1.38482989854141,0.32,0.13,0.465438714409274
"LACTB2-AS1",4.28851286080986e-05,6.45807888057205,0.031,0,0.564968684283091
"PARP6",4.30308464249801e-05,6.45807888057205,0.031,0,0.566888370802688
"CCT2",4.64146556108454e-05,1.98234544960565,0.144,0.041,0.611466673017277
"MT-ND5",4.87187983845028e-05,0.683390147434766,0.753,0.544,0.641821449917439
"RNF216",5.22919479282024e-05,3.72111328640584,0.072,0.007,0.688894122006139
"KANSL3",5.55979674992582e-05,2.87311637985089,0.01,0.004,0.732447623835227
"EIF2AK3",6.91954710754124e-05,1.7080571335804,0.206,0.062,0.911581135947483
"MIA2",7.06186854356823e-05,3.0430413812932,0.082,0.01,0.930330561929679
"TNFRSF13B",7.49251252255022e-05,1.62518886640731,0.134,0.053,0.987063599720766
"LRWD1",8.06702628995734e-05,1.28815387912974,0.031,0.021,1
"CHD2",8.34394980863816e-05,1.88461201868872,0.186,0.056,1
"POLR3GL",8.9092028897441e-05,1.87311637985089,0.175,0.052,1
"JUNB",8.99933582197457e-05,0.296630887853931,0.876,0.692,1
"SMNDC1",9.01378564244946e-05,1.02511947329594,0.031,0.025,1
"MT-ATP8",9.1181173014351e-05,1.33306630100531,0.32,0.155,1
"PSMD12",9.26568601611123e-05,0.663663014221942,0.062,0.052,1
"AC020916.1",0.000114036193719833,2.24657477537834,0.134,0.036,1
"ZFP36L2",0.00011661825892756,0.815999409052531,0.546,0.399,1
"PIGG",0.00012121599597514,3.0430413812932,0.01,0.003,1
"MIR155HG",0.000122702473158321,1.40496754411249,0.278,0.109,1
"BTAF1",0.000136366496423548,2.96331418882247,0.093,0.013,1
"RMDN3",0.000146373116987951,2.92202598033184,0.093,0.013,1
"SMU1",0.00014727727048242,2.73561285610096,0.093,0.015,1
"SLPI",0.000155192486268796,1.55118828496353,0.021,0.014,1
"MRPS16",0.000165206597313753,1.44248202552103,0.227,0.084,1
"NUP98",0.000165619516153854,1.50388257018517,0.021,0.014,1
"RHOB",0.000168087585602443,1.11091349418566,0.289,0.123,1
"RAB24",0.000170861936695144,0.488452529615567,0.01,0.021,1
"SERPINB9",0.000171285118100819,1.6894044266785,0.206,0.067,1
"ATP2B1",0.000176325310247662,1.8451020036813,0.165,0.046,1
"MCL1",0.000177071623583906,0.708262367956002,0.629,0.414,1
"H3F3B",0.000183645877827168,0.460940081446715,0.887,0.762,1
"SH3BGRL3",0.000187460919508592,0.808265235500924,0.515,0.298,1
"HIST1H2BC",0.00019571489861641,1.31852752817325,0.082,0.059,1
"VPS35L",0.000195934140351223,3.2356864592356,0.01,0.003,1
"SSBP2",0.00019610014282469,2.79511386784962,0.041,0.008,1
"SOS2",0.000197751832120548,5.45807888057205,0.031,0,1
"RASSF6",0.000207031071838059,1.90008342745116,0.165,0.045,1
"SEM1",0.000224466450331185,1.90349002889441,0.155,0.042,1
"TRIB1",0.0002264396322118,0.926445882257019,0.454,0.27,1
"IL10RA",0.000230309421697926,1.57427189807657,0.175,0.071,1
"RDH10",0.000238138610783126,3.2356864592356,0.01,0.003,1
"TNFAIP8",0.000238349391237586,1.57055360983046,0.196,0.067,1
"HSH2D",0.000243533006105491,1.428331537178,0.258,0.107,1
"BACH1",0.00024626785556319,2.34260166315211,0.113,0.023,1
"TANK",0.000249349306540359,1.65072395851444,0.165,0.052,1
"SAMSN1",0.000277421726817274,1.61199156402573,0.196,0.064,1
"PER1",0.000279761138846201,2.92756416387327,0.082,0.011,1
