"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5A",3.75815262558723e-173,11.0874355006517,1,0,4.95099026894862e-169,168.305307927263,"Up"
"AC004687.1",6.54922928679773e-10,4.26543380262965,0.124,0.007,8.62795466242733e-06,5.06409214566376,"Up"
"DGKA",1.86416744672016e-08,2.13615078568469,0.01,0.007,0.000245585419430914,3.60979742111665,"Up"
"MON1B",5.83940751616485e-08,2.2356864592356,0.01,0.006,0.000769283546179558,3.11391355637006,"Up"
"GPR15",7.79556964461794e-08,2.2356864592356,0.01,0.006,0.00102698834498197,2.98843448506751,"Up"
"EIF2AK4",1.10400490293743e-07,2.13615078568469,0.247,0.058,0.00145441605912977,2.83731133877493,"Up"
"GZMA",1.57891661462855e-07,2.34260166315211,0.01,0.006,0.00208006474811165,2.68192314613823,"Up"
"BIRC2",6.12196343500958e-07,2.66452975803947,0.144,0.022,0.00806507462928162,2.09339160956017,"Up"
"CYTOR",1.24973672596197e-06,1.95781354442617,0.216,0.075,0.016464031627823,1.78346380829011,"Up"
"CBFA2T3",3.74639612904704e-06,2.2356864592356,0.01,0.006,0.0493550226040657,1.30666864485377,"Up"
