"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5B",0,11.067939546558,1,0,0
"JCHAIN",4.43813371576819e-24,2.05583883040642,0.392,0.097,5.84679735715301e-20
"NME2",6.39474672790291e-23,1.96214488253539,0.369,0.09,8.4244393393393e-19
"IGJ",9.99881132472515e-23,-0.579510994359903,0.592,0.889,1.31724340391929e-18
"MT-ATP8",4.9571568163912e-22,1.88789032784197,0.42,0.12,6.53055838991377e-18
"RACK1",1.76719789946014e-20,1.96496370593633,0.369,0.097,2.32810651274879e-16
"ATP5MC2",2.09596150293351e-20,2.01167132691124,0.341,0.083,2.7612196839646e-16
"IGHA1",8.97169597481718e-20,2.22252646192593,0.303,0.067,1.18193122772242e-15
"IGKC",9.4666015068938e-20,2.27201136014588,0.287,0.06,1.24713008251819e-15
"EEF1G",2.08569767038037e-19,1.99812283031963,0.354,0.094,2.7476981109591e-15
"SARAF",3.10364935806676e-19,2.01541754631614,0.328,0.08,4.08874766431715e-15
"CYTOR",3.5389385177299e-19,2.46011608802802,0.261,0.052,4.66219760325736e-15
"AC016831.7",8.73537116487461e-19,2.26455352670333,0.271,0.061,1.15079779726058e-14
"SELENOK",4.02658094507256e-18,1.78747806896601,0.328,0.087,5.30461773703859e-14
"MT-ND4L",1.3352972351136e-17,1.33822543858403,0.576,0.275,1.75912057753866e-13
"PDE4B",3.95749913067691e-17,1.53450734647692,0.354,0.126,5.21360935475376e-13
"ATP5MG",7.98557742141215e-17,1.91190007137063,0.322,0.085,1.05201996949684e-12
"ATP5F1E",2.17727974474967e-16,1.92733011194023,0.312,0.082,2.86834833573322e-12
"GABARAP",2.24556969470375e-16,1.63507764832459,0.385,0.125,2.95831351580272e-12
"MT-ND6",7.90322872524673e-16,1.89151703351575,0.341,0.105,1.041171352264e-11
"TENT5C",8.34803661391668e-16,2.0330057564486,0.28,0.069,1.09977034351738e-11
"ANKRD28",6.18606402436906e-14,0.88280145116917,0.583,0.328,8.1495207457038e-10
"UQCR11",6.26818085808906e-14,1.99845444623671,0.229,0.053,8.25770146244653e-10
"SELENOM",1.99797722931547e-13,2.02908361074097,0.245,0.061,2.6321352019002e-09
"SELENOS",2.80179707647102e-13,1.78538569000477,0.271,0.074,3.69108746854293e-09
"EZR",4.67241667533294e-13,1.38611550658424,0.341,0.148,6.15544172808362e-09
"MYDGF",8.5453488373043e-13,1.57023791099298,0.264,0.078,1.12576425582647e-08
"YPEL5",1.28664476117609e-12,0.695219561114023,0.586,0.349,1.69502580837338e-08
"TSC22D3",2.63195239084556e-12,0.435727191167319,0.831,0.639,3.46733407969994e-08
"PNRC1",3.51015544405918e-12,1.09434938220713,0.468,0.221,4.62427878200357e-08
"NSD3",6.31041767765101e-12,2.63953482354132,0.143,0.023,8.31334424853744e-08
"GAPDH",6.61033824075796e-12,0.262540821465712,0.79,0.581,8.70845959837453e-08
"CPNE5",8.03217696234915e-12,1.74236367465548,0.239,0.072,1.05815899301988e-07
"MT-ND1",8.49277897147952e-12,0.333938491720421,0.885,0.686,1.11883870170271e-07
"RNASEK",8.61075959489113e-12,1.82091626068452,0.255,0.072,1.13438146903096e-07
"ATP5IF1",1.36169043185985e-11,2.11976074245884,0.194,0.044,1.79389097493216e-07
"PTPN1",2.17473608611203e-11,1.96161767805633,0.21,0.056,2.86499731984398e-07
