"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5B",0,11.067939546558,1,0,0,Inf,"Up"
"CYTOR",3.5389385177299e-19,2.46011608802802,0.261,0.052,4.66219760325736e-15,14.3314093232252,"Up"
"NSD3",6.31041767765101e-12,2.63953482354132,0.143,0.023,8.31334424853744e-08,7.08022423535944,"Up"
"MRPL57",9.69664952025419e-10,2.77356717419119,0.108,0.017,1.27743660779829e-05,4.89366064232162,"Up"
"HIST1H1E",3.00944701615265e-07,2.56411380856224,0.086,0.017,0.0039646454990795,2.40179563928623,"Up"
"IGKV3-11",6.05126673559786e-07,2.78097512392546,0.086,0.015,0.00797193879747662,2.09843604414368,"Up"
"ELOC",6.49388790205488e-07,2.86004669491666,0.073,0.01,0.00855504792216709,2.0677775533614,"Up"
"LINC02384",1.14389449718265e-06,2.51229261266139,0.083,0.015,0.0150696661058843,1.8218963701126,"Up"
"SRSF8",2.08459193979503e-06,3.15599572322319,0.057,0.006,0.0274624142148598,1.56126128668759,"Up"
"CCDC32",3.19702065752056e-06,2.72398514534063,0.073,0.012,0.0421175501421758,1.37553689842382,"Up"
