"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5A",2.11584175610738e-101,9.54264498688628,1,0,3.17968699107817e-97
"CSRP2",1.00207506130768e-16,1.86986608651554,0.729,0.223,1.50591840213318e-12
"FRZB",3.54090239056751e-13,1.15746374538915,0.786,0.32,5.32126811254485e-09
"RGS5",4.35922298815412e-11,0.805771305538467,0.857,0.435,6.55104030659801e-07
"ADIRF",5.4310225372005e-11,1.23116423425963,0.857,0.448,8.1617406689049e-07
"NDUFA4L2",5.11881278209216e-10,0.833730723641676,0.714,0.322,7.6925518489281e-06
"MGP",8.50627597923817e-10,-0.318786607927118,0.743,0.417,1.27832315415991e-05
"MCAM",9.6464711559471e-10,1.86522612603253,0.471,0.128,1.44967168531573e-05
"MYH11",2.52899928582543e-09,1.64941930949406,0.529,0.173,3.80058012673846e-05
"CRIP2",2.80959989556417e-09,1.02793093274779,0.729,0.341,4.22226672305383e-05
"MYL9",3.027454317919e-09,1.14913939234953,0.9,0.574,4.54965834896868e-05
"CRIP1",4.75771688490682e-09,1.16127647859284,0.743,0.36,7.14989693463798e-05
"TMEM176B",6.21997169343183e-09,-2.29146389539405,0.1,0.45,9.34737346088936e-05
"TGFB1I1",6.44931034073202e-09,1.44473535820082,0.557,0.204,9.69202358005208e-05
"ACTA2",7.72756803382987e-09,1.12010321788522,0.8,0.432,0.000116129892412395
"HEYL",7.81770392585736e-09,2.30756730591872,0.314,0.062,0.000117484454597784
"UBA2",9.90779171168527e-09,1.8773090697011,0.429,0.119,0.000148894293843206
"MGST3",2.9141726295802e-08,1.17899690693879,0.714,0.361,0.000437941862773313
"RERGL",4.10692731250912e-08,2.26528920448119,0.329,0.069,0.000617189036523871
"TMSB10",2.85179008007358e-07,-0.872401103110133,0.714,0.92,0.00428567013233457
"MFGE8",3.84174004872099e-07,0.761779431626731,0.714,0.382,0.00577336694521791
"LBH",4.65577994783816e-07,1.53263386155349,0.471,0.18,0.00699670610561119
"TBC1D1",4.90170869758435e-07,2.86082094691253,0.2,0.027,0.00736628783072976
"CAV2",4.96694180563548e-07,1.38277365010789,0.514,0.204,0.00746432014550899
"HSPB8",5.33677855405923e-07,2.92222149157668,0.214,0.031,0.00802011081104021
"TINAGL1",7.05867100011204e-07,1.1906910629287,0.471,0.183,0.0106077707789684
"CDKN1A",7.80727140001504e-07,1.50141814660651,0.414,0.209,0.0117327674599426
"KCNMB1",7.97281865916372e-07,2.0431976894011,0.271,0.062,0.0119815518809912
"ADAMTS1",8.99154083559159e-07,1.74931263169554,0.386,0.146,0.013512487567727
"TAGLN",9.98391409459608e-07,1.00762594811389,0.843,0.547,0.015003826101359
"ZFHX3",1.06358656296562e-06,1.96465675789707,0.329,0.09,0.0159835788682473
"NR4A1",1.13348881427066e-06,1.32094633571992,0.5,0.268,0.0170340699008595
"BCAM",1.27177973149848e-06,1.66817586897014,0.414,0.145,0.0191123058049592
"RCAN2",1.32167763495517e-06,1.70757468661685,0.357,0.105,0.0198621714981062
"PLN",1.32916793909989e-06,1.66644290174568,0.314,0.083,0.0199747357887931
"PDGFRA",1.36161583234307e-06,-3.58212254893619,0.014,0.23,0.0204623627284517
"SGCA",1.46386012336791e-06,2.46850352413377,0.243,0.047,0.0219988899339729
"KLHL23",1.49123446539936e-06,2.23403827049675,0.229,0.044,0.0224102715460216
"EFHD1",1.49693030749448e-06,1.69089594547022,0.343,0.102,0.022495868661027
"TMEM176A",2.03667493938735e-06,-2.13507465475473,0.143,0.391,0.0306071509891131
"TSC22D1",2.11658827648076e-06,1.04279909980307,0.686,0.373,0.0318080886189529
"GPR4",2.48350296049405e-06,2.23838374077271,0.214,0.056,0.0373220824903047
"CXCL14",2.5514415655345e-06,-3.29736794647881,0.043,0.283,0.0383430638468525
"EPS8",2.61857649510838e-06,1.18839560494104,0.486,0.204,0.0393519675684887
"GADD45B",2.81797114722308e-06,1.40764831874692,0.571,0.32,0.0423484704004685
"ADAMTS4",3.44677695078988e-06,1.93705653273962,0.314,0.099,0.0517981640164703
"OLFML3",3.45077101691704e-06,-1.30910405452978,0.029,0.164,0.0518581868422293
"MMP2",4.65904958695907e-06,-2.37159998026354,0.071,0.322,0.0700161971928209
"HCFC1R1",6.88773981746242e-06,1.06286472285718,0.543,0.255,0.103508953976825
"PDGFA",7.84285937131393e-06,1.67178712252252,0.286,0.08,0.117862490632106
"RARRES2",1.02532136034367e-05,-1.98884478000303,0.286,0.482,0.154085294032447
"BGN",1.04101466731547e-05,0.687816552538249,0.714,0.417,0.156443684204168
"C1orf54",1.26284450785879e-05,1.67013738530342,0.3,0.09,0.189780272641019
"SORBS2",1.36799763222935e-05,1.87376000262003,0.286,0.078,0.205582684171426
"KLF2",1.4597529488613e-05,0.953930351304015,0.343,0.136,0.219371673154877
"PTP4A3",1.61125686713129e-05,1.56644857454573,0.371,0.136,0.24213968199249
"NOTCH3",1.67432030905144e-05,0.992065480190786,0.5,0.233,0.25161685604425
"MDK",1.75581152480192e-05,-2.56544380778956,0.086,0.33,0.263863355947232
"DSTN",1.97393664301398e-05,0.97724962188914,0.843,0.676,0.296643198712141
"JAG1",1.98144805444205e-05,1.45385674816937,0.357,0.128,0.297772013621551
