"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5A",2.11584175610738e-101,9.54264498688628,1,0,3.17968699107817e-97,96.4976156299332,"Up"
"HEYL",7.81770392585736e-09,2.30756730591872,0.314,0.062,0.000117484454597784,3.93001959491601,"Up"
"RERGL",4.10692731250912e-08,2.26528920448119,0.329,0.069,0.000617189036523871,3.20958179715762,"Up"
"TBC1D1",4.90170869758435e-07,2.86082094691253,0.2,0.027,0.00736628783072976,2.13275131550345,"Up"
"HSPB8",5.33677855405923e-07,2.92222149157668,0.214,0.031,0.00802011081104021,2.09581963118082,"Up"
"KCNMB1",7.97281865916372e-07,2.0431976894011,0.271,0.062,0.0119815518809912,1.92148692738061,"Up"
"ZFHX3",1.06358656296562e-06,1.96465675789707,0.329,0.09,0.0159835788682473,1.796325971661,"Up"
"SGCA",1.46386012336791e-06,2.46850352413377,0.243,0.047,0.0219988899339729,1.65759923316476,"Up"
"KLHL23",1.49123446539936e-06,2.23403827049675,0.229,0.044,0.0224102715460216,1.64955288107207,"Up"
"GPR4",2.48350296049405e-06,2.23838374077271,0.214,0.056,0.0373220824903047,1.42803413157036,"Up"
