"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"SMIM22",8.91187950635752e-11,-4.00342439050139,0.009,0.156,1.33927725221541e-06,5.8731295076459,"Down"
"SPINT2",8.59960075704587e-09,-3.12006930935366,0.018,0.158,0.000129234800176885,3.8886205243461,"Down"
"HEPACAM2",2.91386544915009e-08,-4.70969318744468,0.005,0.116,0.000437895699698275,3.35862931972333,"Down"
"CLDN4",7.65445105305762e-08,-3.18845628433391,0.018,0.148,0.0011503109042535,2.93918476333942,"Down"
"KRT19",1.91187374687791e-07,-3.29346189824179,0.045,0.184,0.00287316386680812,2.54163960393459,"Down"
"TFF3",2.43567184507732e-07,-6.99867086053075,0,0.074,0.0036603276487822,2.43648003764132,"Down"
"LGALS4",5.65764926862141e-07,-3.54209323894861,0.018,0.122,0.00850231532088426,2.07046279261982,"Down"
"TM4SF4",1.43768939272119e-06,-4.22581681183784,0.009,0.11,0.021605596193814,1.66543374508471,"Down"
"GPR160",2.01790326990055e-06,-3.86402133383597,0.005,0.093,0.0303250503400654,1.51819846952505,"Down"
"UCP2",2.87827915958823e-06,-2.90524399656249,0.014,0.114,0.043254779210292,1.36396590045378,"Down"
