"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5B",7.19573667024941e-198,9.26687093597065,1,0,1.08137530680508e-193
"C11orf96",2.15878125198694e-11,1.21881647927855,0.477,0.217,3.24421646548597e-07
"ATP5MC2",5.41372838486648e-11,0.926141643075026,0.356,0.158,8.13575101677735e-07
"SELENOM",5.53094845187947e-11,1.34812575401635,0.374,0.141,8.31190933348447e-07
"MT-ND4",6.74535366509445e-11,-0.595646703585843,0.95,0.987,1.01369174879039e-06
"BGN",7.49427228005766e-11,0.606591742272081,0.631,0.367,1.12623923824707e-06
"SMIM22",8.91187950635752e-11,-4.00342439050139,0.009,0.156,1.33927725221541e-06
"IGFBP7",1.37070465996177e-10,0.409701494557277,0.914,0.686,2.05989496299054e-06
"VIM",1.43268036512948e-10,0.268481985876637,0.91,0.688,2.15303205271659e-06
"IGFBP4",1.60948760616525e-10,0.976569917695563,0.55,0.285,2.41873797454514e-06
"RACK1",2.19230613893809e-10,1.10996099956337,0.437,0.194,3.29459766559616e-06
"CRISPLD2",3.17785038790583e-10,1.21941214197937,0.414,0.181,4.77567356294488e-06
"EEF1G",3.84140257182829e-10,1.1629732374456,0.374,0.156,5.77285978494356e-06
"EMP1",5.72163698173806e-10,1.65954062222104,0.252,0.072,8.59847605615596e-06
"CEBPB",8.45822106851242e-10,1.36355579458596,0.369,0.148,1.27110146217605e-05
"MT-ATP8",8.7573848062781e-10,1.05530809456957,0.459,0.217,1.31605978868747e-05
"SERPING1",9.42133316267345e-10,0.65141274133764,0.685,0.426,1.41583794768657e-05
"IFITM2",1.35553581590592e-09,0.633427781901909,0.757,0.511,2.03709922414341e-05
"CRTAP",1.62087692089331e-09,0.969643281711613,0.36,0.163,2.43585383671846e-05
"NR4A1",1.70852315125719e-09,1.18077752533181,0.446,0.224,2.56756859170931e-05
"GEM",2.65979462151754e-09,1.2334479344332,0.414,0.202,3.99713935721655e-05
"GJA4",5.7145746393213e-09,1.40625419293881,0.257,0.086,8.58786276797204e-05
"RPL41",7.76223571257669e-09,-0.397658822068824,0.991,0.981,0.000116650878288603
"SPINT2",8.59960075704587e-09,-3.12006930935366,0.018,0.158,0.000129234800176885
"MIR4435-2HG",1.03353804328623e-08,2.27692460063457,0.176,0.038,0.000155320097145055
"NNMT",1.06342047156738e-08,0.381584867697492,0.577,0.367,0.000159810828467146
"FRZB",1.62861270826443e-08,0.493622782197363,0.518,0.298,0.000244747917797978
"RPL13A",1.90988476899388e-08,-0.474545105710279,0.955,0.975,0.0002870174830844
"KLF2",2.82276689736379e-08,1.01317757683574,0.27,0.106,0.000424205409335831
"IFITM1",2.89613550445289e-08,0.85286605624343,0.563,0.333,0.00043523124360918
"HEPACAM2",2.91386544915009e-08,-4.70969318744468,0.005,0.116,0.000437895699698275
"NFKBIZ",4.67545075943906e-08,1.33662132493063,0.333,0.144,0.000702626740128503
"TGFB1I1",4.85575695765588e-08,0.859478192729792,0.365,0.183,0.000729723155596526
"RHOC",5.68854890781834e-08,0.695164531951762,0.5,0.287,0.00085487512986694
"LGALS3",6.65049558470049e-08,0.868745611325164,0.468,0.251,0.000999436476468789
"HIF1A",7.07248497051393e-08,1.03903400464222,0.387,0.184,0.00106285304136883
"ATP5MG",7.08451559575978e-08,1.03669823782879,0.311,0.139,0.00106466100373078
"THBS1",7.34364165065322e-08,1.26242503093946,0.311,0.125,0.00110360246726017
"RPL34",7.46250714507225e-08,-0.437361383632981,0.991,0.99,0.00112146557376146
"CLDN4",7.65445105305762e-08,-3.18845628433391,0.018,0.148,0.0011503109042535
"HES4",8.37965816708904e-08,1.41195986879376,0.279,0.105,0.00125929502935014
"ID3",9.04436374680504e-08,0.624775204060364,0.536,0.317,0.00135918698386986
"COL4A2",1.21334335787786e-07,0.582431696523274,0.495,0.289,0.00182341239821885
"GABARAP",1.30305688877968e-07,0.879047652513913,0.45,0.238,0.0019582338924581
"CAVIN1",1.33925948277268e-07,1.45472083033254,0.239,0.082,0.00201263915071078
"ADAMTS1",1.34310462931274e-07,1.36849184021765,0.293,0.116,0.00201841763693118
"C4orf3",1.37964548715366e-07,0.770987158397624,0.55,0.329,0.00207333123809452
"SQSTM1",1.38249984735538e-07,0.761721017027519,0.536,0.316,0.00207762077060566
"ATP5F1E",1.41155812279543e-07,0.919102836148029,0.356,0.173,0.00212128954693698
"MT-CO1",1.54319083671998e-07,-0.458191763092106,0.995,0.994,0.00231910718942278
"EPCAM",1.60630416469688e-07,-2.57218966369474,0.032,0.173,0.00241395389870647
"KRT8",1.68257978538889e-07,-1.85576100053123,0.14,0.281,0.00252858090148242
"A2M",1.75691055944566e-07,0.33535655339331,0.64,0.432,0.00264028518873493
"IER3",1.78300897589058e-07,0.900238698076733,0.383,0.188,0.00267950588896837
"COL14A1",1.78817501471594e-07,1.03938869303758,0.284,0.122,0.00268726941211511
"KRT19",1.91187374687791e-07,-3.29346189824179,0.045,0.184,0.00287316386680812
"ELOB",1.97320052317897e-07,1.16650061094092,0.311,0.133,0.00296532574623336
"FILIP1L",2.40933754423075e-07,0.742002782413013,0.423,0.23,0.00362075246146997
