"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5B",7.19573667024941e-198,9.26687093597065,1,0,1.08137530680508e-193,192.966023551758,"Up"
"EMP1",5.72163698173806e-10,1.65954062222104,0.252,0.072,8.59847605615596e-06,5.06557851376214,"Up"
"MIR4435-2HG",1.03353804328623e-08,2.27692460063457,0.176,0.038,0.000155320097145055,3.80877234649614,"Up"
"MEDAG",4.10208811006175e-07,4.82946562366335,0.05,0,0.0061646180118008,2.21009382912612,"Up"
"ZNF503",4.6031194541139e-07,1.76806507899921,0.189,0.057,0.00691756791564237,2.16004656832811,"Up"
"ADAMTS4",4.86002621266705e-07,1.63152624605144,0.221,0.076,0.00730364739239605,2.13646020196242,"Up"
"DUSP14",1.07396788104736e-06,1.56643121782956,0.171,0.051,0.0161395893163797,1.79210752041316,"Up"
"CYTOR",1.14668286095896e-06,2.07457812149988,0.158,0.044,0.0172323500344912,1.76365549228982,"Up"
"FBLN2",1.54468652845906e-06,2.75907629577195,0.077,0.008,0.0232135491496827,1.63425845462012,"Up"
"SELENOS",2.32987462372518e-06,1.75351677043005,0.158,0.044,0.0350133558453419,1.45576626240639,"Up"
