"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AXL",7.13519878293613e-154,9.57524508941871,1,0,1.07227767309964e-149
"NDUFA4L2",5.34023875609528e-14,1.51321231388294,0.622,0.3,8.02531080265998e-10
"IGFBP7",2.27521420632504e-12,1.02341069270118,0.919,0.718,3.41919190926526e-08
"CAV1",1.2877773433464e-11,1.17864030823685,0.667,0.344,1.93527179158097e-07
"ACTA2",1.75302792017905e-11,1.42011425368592,0.711,0.413,2.63445035844507e-07
"LGALS1",2.70791692571554e-11,0.691232198831699,0.978,0.768,4.06945755596531e-07
"ADIRF",4.32877052148381e-11,1.08716868383452,0.741,0.431,6.50527633968587e-07
"PTK2",4.43096073567048e-11,1.81208997127164,0.37,0.114,6.6588477935656e-07
"CALD1",4.50264968252919e-11,0.766422372910671,0.948,0.732,6.76658194290487e-07
"PFN1",4.83354700256904e-11,0.715520930729512,0.837,0.78,7.26385443546076e-07
"MYL9",5.48796084315796e-11,1.10939863121799,0.822,0.556,8.24730755509778e-07
"TPM1",1.61514417623031e-10,1.0196219241294,0.748,0.532,2.42723866803891e-06
"TAGLN",2.7817509072027e-10,1.02294012873864,0.793,0.527,4.18041526334422e-06
"EPCAM",4.61279019952492e-10,-5.18339454760587,0,0.16,6.93210111184606e-06
"SMARCD3",7.11951615847062e-09,-0.480037346082478,0.007,0.029,0.000106992088829496
"COCH",9.45585595044445e-09,-0.402034834081205,0.007,0.028,0.000142102603223279
"MAP1B",1.25348163054897e-08,1.3518045786494,0.422,0.206,0.000188373219438899
"CLDN4",1.59813387756667e-08,-5.63085352457709,0,0.134,0.000240167559120719
"RGS5",1.66051212204197e-08,0.849715495043068,0.704,0.424,0.000249541761700467
"VIM",1.92273607832876e-08,0.659065618009648,0.911,0.719,0.000288948777851246
"PRKCDBP",2.89556700865068e-08,1.08489558367942,0.533,0.269,0.000435145810060024
"S100A4",2.91353777514336e-08,1.15536615900371,0.637,0.387,0.000437846456848544
"MYL6",2.98373356658395e-08,0.627074754548515,0.933,0.896,0.000448395480386236
"IFITM3",5.23352074028764e-08,0.446806000570865,0.97,0.796,0.000786493496850426
"PRSS23",5.60492697290314e-08,1.19520599641839,0.43,0.189,0.000842308425487884
"PERP",7.73031482334068e-08,-2.68743705294345,0.015,0.17,0.00116171171165164
"SOD3",1.15464784698241e-07,0.971981771954611,0.667,0.406,0.00173520478444516
"FRZB",1.55182721209763e-07,0.986388672593064,0.578,0.316,0.00233208593434032
"SEPT4",1.68242505347509e-07,1.56726836869588,0.333,0.127,0.00252834837036236
"MCAM",1.99214850564713e-07,1.47665886969666,0.333,0.122,0.00299380077428651
"PCSK1N",2.26539998345733e-07,-6.64043957340628,0,0.119,0.00340444309513967
"ACTB",2.87783122658895e-07,0.612714622977233,0.985,0.954,0.00432480476731787
"TPD52",4.09515880636287e-07,-4.17462433797813,0,0.108,0.00615420465420212
"CHGA",4.56704321767766e-07,-8.83527251217327,0,0.109,0.00686335254752599
"ANXA6",4.65840312542644e-07,1.17095502497387,0.407,0.183,0.00700064821689086
"MFGE8",4.72362535421999e-07,0.904007150840079,0.607,0.37,0.0070986641823218
"COX4I2",4.82543789373439e-07,1.19270868743254,0.356,0.148,0.00725166806670404
"MDK",5.1919328062849e-07,-2.13900042824741,0.133,0.346,0.00780243662128495
"CDH6",5.66916634753889e-07,1.49261216577257,0.274,0.091,0.00851962318708144
"COL4A1",5.67462958424983e-07,1.30924411642135,0.444,0.271,0.00852783333921065
"GUCY1B3",5.99251865425314e-07,1.74996825936384,0.252,0.08,0.00900555703361162
"FOXS1",8.18614619125418e-07,1.54549774602466,0.259,0.088,0.0123021404962168
"CALM2",8.7397004914453e-07,0.636499767337784,0.881,0.835,0.013134021898544
"MEF2C",9.29117168799698e-07,1.06146415415428,0.4,0.183,0.0139627728127219
"TPM2",1.03905335954606e-06,0.801293325628321,0.793,0.599,0.0156148938872581
"MAP3K7CL",1.24101491038408e-06,1.30607589741282,0.304,0.114,0.018649972073252
"LBH",1.36862420981344e-06,1.25802912188067,0.378,0.17,0.0205676846250764
"PLAC9",1.39404190646682e-06,0.786726809373962,0.548,0.305,0.0209496617703834
"HEPACAM2",1.48007335381289e-06,-4.78285661802214,0,0.101,0.0222425423611001
"JAG1",1.56434812711569e-06,1.41558842343023,0.304,0.116,0.0235090236542945
"COL4A2",1.56512627336498e-06,1.0425550102754,0.526,0.312,0.0235207176361289
"MIR4435-1HG",1.58581777211338e-06,1.08563046528504,0.244,0.095,0.0238316694793199
