"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"AXL",7.13519878293613e-154,9.57524508941871,1,0,1.07227767309964e-149,148.96969273677,"Up"
"NDUFA4L2",5.34023875609528e-14,1.51321231388294,0.622,0.3,8.02531080265998e-10,9.09553813932603,"Up"
"PTK2",4.43096073567048e-11,1.81208997127164,0.37,0.114,6.6588477935656e-07,6.17660091199889,"Up"
"SEPT4",1.68242505347509e-07,1.56726836869588,0.333,0.127,0.00252834837036236,2.59716308667827,"Up"
"MCAM",1.99214850564713e-07,1.47665886969666,0.333,0.122,0.00299380077428651,2.52377710362785,"Up"
"CDH6",5.66916634753889e-07,1.49261216577257,0.274,0.091,0.00851962318708144,2.06957961314294,"Up"
"GUCY1B3",5.99251865425314e-07,1.74996825936384,0.252,0.08,0.00900555703361162,2.04548941897529,"Up"
"FOXS1",8.18614619125418e-07,1.54549774602466,0.259,0.088,0.0123021404962168,1.91001931743719,"Up"
"CCDC3",2.1779666365911e-06,1.66355350754637,0.207,0.062,0.0327304826146911,1.48504759092322,"Up"
"CCND1",2.83242615927848e-06,1.66835449381019,0.267,0.103,0.0425657003216369,1.37094021688642,"Up"
