"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ATP5E",4.78783559794823e-10,-4.84666784608243,0,0.597,7.19515933659661e-06,5.14295958418207,"Down"
"GNB2L1",9.38122747944327e-10,-4.76283625527896,0,0.579,1.40981086561074e-05,4.85083914658656,"Down"
"UQCR11.1",8.6263461021648e-08,-4.087931629245,0,0.474,0.00129636729223333,2.88727193489205,"Down"
"IGJ",2.05359441857466e-07,-5.29090986303511,0,0.414,0.003086141692234,2.5105841383044,"Down"
"TCEB2",2.47682712019703e-07,-4.12403560293025,0,0.456,0.0037221757962321,2.42920311924109,"Down"
"SELM",4.6144453983675e-07,-4.41154610076025,0,0.435,0.00693458854466668,2.15897930215839,"Down"
"ATP5I",1.15062640357476e-06,-3.93060666458233,0,0.419,0.0172916135929216,1.76216447799248,"Down"
"ATP5G2",1.45339296965434e-06,-3.90848385368419,0,0.423,0.0218415895479654,1.66071575851356,"Down"
"ATP5L",1.46405230179224e-06,-3.9859834216187,0,0.42,0.0220017779913338,1.65754222187669,"Down"
"C14orf2",1.8493389712386e-06,-3.7645967131434,0,0.406,0.0277918660597736,1.55608229193243,"Down"
