"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IL6",2.75864781436325e-46,9.91488338636205,1,0,4.14569593542509e-42
"RACK1",3.33129002077183e-14,2.01676300038126,1,0.242,5.0062626432159e-10
"ATP5F1E",7.19931947271771e-14,2.21888957325215,0.958,0.203,1.08191373036002e-09
"NR4A1",1.42884991341152e-13,2.24311605810362,0.958,0.268,2.14727564987483e-09
"ADAMTS4",4.67702606550653e-13,3.19867635236264,0.75,0.098,7.02863477124322e-09
"SELENOM",7.50902901725691e-13,2.3385340159456,0.917,0.186,1.12845688071337e-08
"CDKN1A",4.50937933158434e-12,2.50889102668621,0.833,0.209,6.77669525950494e-08
"MT-ATP8",1.47001514962296e-11,1.98596648442353,0.958,0.267,2.20913876685339e-07
"RPL41",3.35391253859898e-11,-2.46575223136908,0.958,0.985,5.04025976300655e-07
"EEF1G",3.35866925844847e-11,2.09819059972511,0.875,0.199,5.04740816159636e-07
"C11orf96",5.00492785756816e-11,1.75917224413944,0.958,0.272,7.52140558435343e-07
"GABARAP",6.55664446709975e-11,1.8432224012346,0.958,0.279,9.85332530515751e-07
"CAVIN1",1.08669230831384e-10,2.91488338636205,0.708,0.109,1.63308120093405e-06
"HIF1A",2.2594977035127e-10,1.95295142719557,0.875,0.224,3.39557314883888e-06
"GPR4",2.37973699935632e-10,3.52256596358329,0.542,0.055,3.57626876263268e-06
"MAP3K20",2.51764478086104e-10,3.26718513029293,0.583,0.059,3.78351657667797e-06
"ATP5E",4.78783559794823e-10,-4.84666784608243,0,0.597,7.19515933659661e-06
"MT-ND4L",5.34487187515252e-10,1.49984588708321,1,0.441,8.03227345397921e-06
"CSRNP1",5.43143677459145e-10,2.69765267014138,0.708,0.122,8.16236318485603e-06
"IGFBP4",9.29040891236876e-10,1.6998704953912,0.958,0.344,1.39616265135078e-05
"GNB2L1",9.38122747944327e-10,-4.76283625527896,0,0.579,1.40981086561074e-05
"ATP5MG",9.55816638013371e-10,2.3408920034619,0.792,0.17,1.43640124360649e-05
"ADAMTS1",1.01975626557681e-09,2.64542271136882,0.667,0.152,1.53248971590883e-05
"MALAT1",1.29890853093754e-09,-3.7631031294433,0.958,0.993,1.95199974029294e-05
"PNRC1",2.58528094360304e-09,1.34771019908442,1,0.41,3.88516020204664e-05
"RPL13A",2.70721201011503e-09,-2.10833783990684,0.917,0.971,4.06839820880086e-05
"RPL34",3.18077952225443e-09,-1.8299504511375,1,0.99,4.78007546604396e-05
"ATP5F1B",6.16377377662189e-09,2.44095219802964,0.708,0.134,9.26291923150737e-05
"NR4A2",9.25336870869923e-09,2.44456345158202,0.708,0.145,0.000139059624954332
"RPS27",9.34905491632671e-09,-1.83085241743189,1,0.99,0.000140497597282558
"ELOB",9.38448661015941e-09,2.15158364438238,0.75,0.167,0.000141030064777476
"NFKBIZ",1.43021219429013e-08,2.27547310161852,0.75,0.182,0.00021493228855792
"ZNF331",1.47393677415982e-08,3.22300568172438,0.458,0.04,0.000221503218420737
"GEM",1.51689058975019e-08,1.97002494055451,0.833,0.246,0.000227958317827658
"ATP5MC2",1.7683854228914e-08,2.05238691011198,0.792,0.198,0.00026575296135212
"ADAMTS9",2.28579576667249e-08,3.44539810306083,0.458,0.047,0.000343509387815541
"TMSB4X",2.37289777649645e-08,-2.10453714261607,1,0.925,0.000356599077851886
"NAMPT",2.42470999265645e-08,2.51895471003091,0.667,0.124,0.000364385417696412
"CEMIP",2.59372850459826e-08,6.08480838780436,0.25,0.004,0.000389785519671026
"CEBPD",3.04540681382912e-08,1.68734766174964,0.833,0.24,0.000457663735982239
"IER3",3.30130284396607e-08,2.14831407915095,0.75,0.229,0.000496119791391221
"CAVIN3",4.7114974260151e-08,2.7544187141688,0.583,0.088,0.000708043833181549
"MT-ND4",5.78108613120146e-08,-2.00363915070057,0.958,0.977,0.000868781623796956
"GJA4",7.44630394199305e-08,2.34334140140321,0.625,0.12,0.00111903055640272
"SELENOW",7.60088162689138e-08,2.20338847971196,0.708,0.159,0.00114226049088924
"ATF3",7.94766826399787e-08,1.68222262957177,0.833,0.26,0.0011943755867136
"B2M",8.60268859039196e-08,-2.09183228332965,1,0.994,0.0012928120413641
"UQCR11.1",8.6263461021648e-08,-4.087931629245,0,0.474,0.00129636729223333
"MT-CO3",1.06656470185755e-07,-1.78069291986,1,0.992,0.00160283343395152
"SELENOK",1.22361265966443e-07,2.76804199803278,0.542,0.081,0.0018388451049437
"NME2",1.63713267575961e-07,2.0904549509455,0.75,0.207,0.00246028298513154
"RPL10",1.82451818967562e-07,-1.4635663066888,1,0.999,0.00274188593544452
"CEBPB",1.84778481080296e-07,1.94805025029725,0.75,0.196,0.00277685101367469
"IGJ",2.05359441857466e-07,-5.29090986303511,0,0.414,0.003086141692234
"ATP5F1D",2.37484952478968e-07,2.6294811674998,0.583,0.104,0.00356892386585394
"TCEB2",2.47682712019703e-07,-4.12403560293025,0,0.456,0.0037221757962321
"ATP6V0C",2.56557076027937e-07,2.44775737593475,0.625,0.123,0.00385553973854783
"PHLDA1",3.09102784268389e-07,1.66695587291846,0.833,0.334,0.00464519664198535
"IFITM1",3.21371681726232e-07,1.49871922162892,0.917,0.384,0.00482957363298181
"MIR4435-2HG",3.2979890407231e-07,3.12133426382948,0.417,0.068,0.00495621793039868
"MT-CO1",4.53250557171371e-07,-1.75953270387743,1,0.994,0.00681144937317136
"FOXF1",4.584816707523e-07,2.37883048612184,0.583,0.113,0.00689006254806557
"SELM",4.6144453983675e-07,-4.41154610076025,0,0.435,0.00693458854466668
"TNFAIP3",4.6712544081263e-07,2.36308774957609,0.625,0.148,0.00701996112453221
"SNHG15",5.02078709667908e-07,3.18905834980104,0.417,0.057,0.00754523884888933
"LGALS1",6.09088108916922e-07,-1.8224578607267,0.917,0.802,0.0091533761008035
