"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"IL6",2.75864781436325e-46,9.91488338636205,1,0,4.14569593542509e-42,41.3824025542464,"Up"
"ADAMTS4",4.67702606550653e-13,3.19867635236264,0.75,0.098,7.02863477124322e-09,8.15312902332937,"Up"
"GPR4",2.37973699935632e-10,3.52256596358329,0.542,0.055,3.57626876263268e-06,5.44656985068645,"Up"
"MAP3K20",2.51764478086104e-10,3.26718513029293,0.583,0.059,3.78351657667797e-06,5.42210435892279,"Up"
"ZNF331",1.47393677415982e-08,3.22300568172438,0.458,0.04,0.000221503218420737,3.65461995913747,"Up"
"ADAMTS9",2.28579576667249e-08,3.44539810306083,0.458,0.047,0.000343509387815541,3.46406138954832,"Up"
"CEMIP",2.59372850459826e-08,6.08480838780436,0.25,0.004,0.000389785519671026,3.40917429873245,"Up"
"SNHG15",5.02078709667908e-07,3.18905834980104,0.417,0.057,0.00754523884888933,2.12232700782838,"Up"
"SLC39A14",1.58642933742361e-06,4.21444366822096,0.292,0.017,0.023840860082802,1.62267808104266,"Up"
"RAB20",2.44228102228743e-06,4.72223830841965,0.25,0.01,0.0367025992029355,1.43530317881273,"Up"
