"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TGM2",1.39163268799243e-74,9.58023762685807,1,0,2.09134560351502e-70
"CXCL14",5.99033692262847e-20,1.43142710883693,0.889,0.22,9.00227832732606e-16
"DCN",1.34866395630259e-14,0.827144298586938,1,0.472,2.02677219353154e-10
"PDGFRA",2.24372930736302e-14,1.85510379304921,0.733,0.176,3.37187640310515e-10
"PDPN",1.19498132362966e-13,2.19564756610392,0.689,0.154,1.79581793315066e-09
"VCAN",4.0588086936282e-13,1.94315996971441,0.733,0.192,6.09957770478446e-09
"LUM",5.74903169237054e-13,0.752815841288284,0.889,0.353,8.63964482729445e-09
"MFAP4",1.42499276453473e-12,1.08541651824994,0.822,0.296,2.14147912654279e-08
"MMP2",3.29166466163208e-12,1.42533515214173,0.8,0.266,4.94671365350069e-08
"WLS",1.7366067183875e-11,2.68173481674227,0.489,0.075,2.60977257639274e-07
"EMID1",1.52363775829054e-10,3.51301557804535,0.356,0.034,2.28972282315903e-06
"RARRES2",3.7965361679858e-10,1.00174797065561,0.911,0.435,5.70543455324906e-06
"TMEM176A",3.8628845186278e-10,1.13392531443858,0.822,0.339,5.80514285459386e-06
"TRPA1",5.38959258951516e-10,2.47076309099328,0.444,0.074,8.09947974352339e-06
"TMEM176B",7.68090282500613e-10,1.12092146538868,0.867,0.388,1.15428607654192e-05
"CTSK",7.76962462072252e-10,1.6786466349547,0.689,0.222,1.16761918800218e-05
"COL6A3",8.49235640704624e-10,1.14378176837963,0.8,0.321,1.27623132085091e-05
"C1S",1.13267039947691e-09,0.92948503281733,0.911,0.448,1.7021770763339e-05
"CST1",1.30413381985726e-09,3.19872695903589,0.356,0.043,1.95985230448149e-05
"WARS",1.47361413605538e-09,2.43303270191584,0.489,0.101,2.21454732366403e-05
"COLEC11",3.18863249685024e-09,1.22856218857665,0.022,0.027,4.79187691626654e-05
"ETS2",5.07336427451721e-09,1.96552778274286,0.578,0.168,7.62425183174446e-05
"NFKBIA",5.25519824635132e-09,1.42343708928271,0.8,0.361,7.89751192461677e-05
"C1R",8.94115092147489e-09,0.865671545910794,0.889,0.45,0.000134367616047925
"OLFML3",9.54473877277912e-09,2.17296986261334,0.511,0.128,0.000143438334277325
"CEBPB",1.47130162129426e-08,1.83167203600807,0.6,0.189,0.000221107207648101
"CALD1",1.8812369005999e-08,-0.604828384793093,0.956,0.76,0.000282712281422153
"MFAP2",2.20478904088688e-08,2.44767947788024,0.422,0.085,0.000331335697064481
"COL9A1",4.45987766539314e-08,3.2456357019356,0.267,0.037,0.000670230415555281
"SELENOM",4.67724795090117e-08,1.50609616410556,0.578,0.186,0.000702896822061428
"PLAT",5.02774558736898e-08,1.6694783196811,0.6,0.192,0.00075556960686981
"NSG1",5.10117114443245e-08,2.30656470057793,0.378,0.068,0.000766603999585308
"NME2",5.53308929785239e-08,1.33671099243228,0.578,0.202,0.000831512659681257
"F3",5.69681525467199e-08,1.94884904159623,0.533,0.148,0.000856117396472106
"LGALS1",6.09869056359817e-08,-0.699759787563375,0.978,0.795,0.000916511217897533
"F2R",6.39156607278268e-08,1.79560278130055,0.556,0.164,0.000960524549417781
"TGFBI",7.10527667528902e-08,2.00086085585514,0.511,0.135,0.00106778097876243
"CXCL1",1.11825810571064e-07,2.27495509406111,0.444,0.102,0.00168051828126194
"SMIM3",1.17027973337526e-07,2.6267258692911,0.356,0.06,0.00175869638331634
"CEBPD",1.19528290951319e-07,1.51157129417171,0.644,0.235,0.00179627115641642
"NNMT",1.54403533130981e-07,1.06709876588254,0.822,0.404,0.00232037629589239
"FHL2",1.92529766741601e-07,1.39784327345354,0.578,0.195,0.00289333733459279
"AEBP1",2.01478963865944e-07,1.13718783555592,0.711,0.3,0.00302782586897741
"AGT",2.3904593974429e-07,2.14317069734601,0.422,0.094,0.00359238238247719
"CRIP1",2.62172047941869e-07,-3.39422177757947,0.067,0.417,0.00393992153647041
"ICAM1",2.90898480170747e-07,2.1812564737983,0.444,0.11,0.00437162236000599
"IGFBP3",2.9103301516749e-07,1.61975294590113,0.378,0.078,0.00437364415193704
"FENDRR",2.98148433264726e-07,2.3308122468246,0.378,0.074,0.0044805746551023
"CDH11",3.42911320411434e-07,1.88211177455522,0.444,0.115,0.00515327132314303
