"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"TGM2",1.39163268799243e-74,9.58023762685807,1,0,2.09134560351502e-70,69.6795741922914,"Up"
"WLS",1.7366067183875e-11,2.68173481674227,0.489,0.075,2.60977257639274e-07,6.58339733676941,"Up"
"EMID1",1.52363775829054e-10,3.51301557804535,0.356,0.034,2.28972282315903e-06,5.64021708694316,"Up"
"CST1",1.30413381985726e-09,3.19872695903589,0.356,0.043,1.95985230448149e-05,4.70777665607494,"Up"
"COL9A1",4.45987766539314e-08,3.2456357019356,0.267,0.037,0.000670230415555281,3.17377586744659,"Up"
"SMIM3",1.17027973337526e-07,2.6267258692911,0.356,0.06,0.00175869638331634,2.75480912952012,"Up"
"IL7R",4.00307704618932e-07,2.91107999872048,0.267,0.033,0.00601582418501331,2.22070486466946,"Up"
"PLPP1",1.35476759911644e-06,2.6267258692911,0.311,0.053,0.0203594474795219,1.69123401218257,"Up"
"IGF2-1",2.04785726019655e-06,5.18792020407931,0.133,0.003,0.0307751989062338,1.51179913145593,"Up"
"WNT5A",2.19771717303527e-06,2.92990387301214,0.289,0.047,0.0330272936763741,1.48112701182389,"Up"
