"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5A",0,12.6015354548751,1,0,0
"SARAF",2.87169528414296e-21,0.461511423796037,0.636,0.478,4.37301757869291e-17
"DUSP2",9.87085744988938e-14,0.483302359600601,0.473,0.343,1.50313417246915e-09
"CRYBG1",2.92063095084206e-12,0.852205015865709,0.18,0.101,4.44753681194229e-08
"IFITM1",3.27788950869422e-12,0.416521323842132,0.552,0.43,4.99157014383957e-08
"CSRNP1",6.07297188678296e-12,0.687318387900613,0.252,0.156,9.24792158919309e-08
"IRF1",1.24484867515358e-11,0.575376675799865,0.335,0.228,1.89565556252387e-07
"MCUB",1.78566844201975e-11,0.875378128965806,0.167,0.091,2.71921590350767e-07
"LRP10",2.62676962887774e-11,0.833119436731962,0.176,0.098,4.00004479085503e-07
"TENT5C",4.00303661724968e-11,0.745710240628966,0.197,0.121,6.09582416074781e-07
"PDE4B",4.79543815753245e-11,0.655856976707464,0.242,0.153,7.30249322629041e-07
"HBP1",8.87765352620391e-11,0.898025082774032,0.151,0.081,1.35188907897033e-06
"CHD1",1.2929972832236e-10,0.733325899914239,0.196,0.117,1.9689762628929e-06
"FAM177A1",1.46298678787141e-10,0.62076090139417,0.265,0.176,2.22783628057058e-06
"SKIL",1.46474969178898e-10,0.736071912190007,0.195,0.116,2.23052083065626e-06
"PPP3CC",2.35651464135056e-10,0.84689244484762,0.165,0.092,3.58850049584863e-06
"MT-ND4L",2.53453619255197e-10,0.340307205349396,0.746,0.636,3.85959171401814e-06
"PIM3",2.59427609040386e-10,0.80960114146461,0.179,0.103,3.950563630467e-06
"MT-ATP8",2.73883022243513e-10,0.354201276846363,0.597,0.499,4.17069066272421e-06
"JMJD6",4.14393413805994e-10,0.854903368355524,0.151,0.083,6.31038290543768e-06
"GSPT1",4.69614224620045e-10,0.769667447957476,0.186,0.109,7.15128541251404e-06
"HIST1H4C",7.21159494678417e-10,0.598424636506432,0.256,0.168,1.09818167849629e-05
"AKNA",8.18069298947605e-10,0.63565331630989,0.236,0.151,1.24575592843741e-05
"SOCS3",1.03978815938314e-09,0.871766161632167,0.146,0.081,1.58338940910865e-05
"PRMT2",1.07002769592136e-09,0.647575711481061,0.228,0.145,1.62943817534904e-05
"LEPROTL1",1.1011587799343e-09,0.376429372818049,0.475,0.366,1.67684459008396e-05
"RBM4",1.60965874114246e-09,0.748951054068684,0.183,0.109,2.45118833101174e-05
"NSMCE3",1.61324368132929e-09,0.884174542969866,0.136,0.074,2.45664747792825e-05
"SOCS1",2.20482566328591e-09,0.57850962813357,0.246,0.164,3.35750852005178e-05
"SPSB3",2.24802018619519e-09,0.726170054233321,0.175,0.105,3.42328513953804e-05
"PER1",2.49790356447861e-09,0.750092841573727,0.171,0.101,3.80380754798802e-05
"LMNA",2.62920903105576e-09,0.706120501209913,0.204,0.13,4.00375951249172e-05
"RAMMET",2.65324205093838e-09,1.11904590358801,0.087,0.04,4.04035699516896e-05
