"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5A",0,12.6015354548751,1,0,0,Inf,"Up"
"RAMMET",2.65324205093838e-09,1.11904590358801,0.087,0.04,4.04035699516896e-05,4.39358026009181,"Up"
"MTERF4",6.98320810065593e-09,1.17295095350408,0.081,0.037,0.000106340292956789,3.97330214758267,"Up"
"MED11",2.33326689862248e-08,1.27202676395689,0.068,0.029,0.000355309883322231,3.44939271197982,"Up"
"ZNF574",2.22151800997921e-07,1.47789900107127,0.047,0.017,0.00338292762559634,2.4707072934152,"Up"
"BCL9L",7.09805539298804e-07,1.54061440107724,0.041,0.014,0.0108089187524422,1.96621774761319,"Up"
"TUBB2A",1.45129821429696e-06,1.2868850087078,0.053,0.022,0.022100369207314,1.65560047095924,"Up"
"SBNO2",1.55496170612141e-06,1.47610794554528,0.042,0.015,0.0236789568608168,1.6256374336877,"Up"
"ANKRD36B",1.69650136352983e-06,1.26222295447353,0.053,0.022,0.0258343227638322,1.58780291882069,"Up"
"KBTBD2",1.92178617762476e-06,1.28020069540259,0.052,0.022,0.0292649599128698,1.5336520664458,"Up"
