"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5B",0,12.5324868039311,1,0,0
"CTLA4",2.02998474349077e-35,1.29707966806656,0.273,0.114,3.09126076738774e-31
"BATF",1.26254513626667e-32,0.972127477795041,0.347,0.182,1.92260373350688e-28
"CCL5",1.00912666973928e-29,-0.788622433784704,0.39,0.532,1.53669809267897e-25
"DUSP4",6.24160653803514e-28,0.902418956539684,0.36,0.19,9.50471843611991e-24
"CD8A",1.14477969161049e-27,-0.5537152781732,0.22,0.319,1.74327051438446e-23
"ICOS",1.70048510010356e-27,0.79682019760499,0.326,0.182,2.5894987104377e-23
"SARAF",9.85996064379717e-25,0.647570020072944,0.675,0.458,1.50147480683743e-20
"TNFRSF4",1.76115442907608e-23,1.03404526223277,0.202,0.094,2.68188596459706e-19
"TBC1D4",3.1652846201782e-23,1.36784486909,0.115,0.043,4.82009541960736e-19
"PELI1",9.79158950930592e-23,1.38974152717959,0.146,0.055,1.4910632504771e-18
"TMSB4X",2.11181719919115e-21,-0.735388891678488,0.986,0.996,3.21587523092828e-17
"FOXP3",6.12942756123489e-21,1.45480440417839,0.147,0.054,9.3338922902485e-17
"CARD16",1.10521777237303e-19,0.758813110895465,0.281,0.163,1.68302562376965e-15
"PMAIP1",1.41523341017085e-19,0.798357666774815,0.202,0.11,2.15511743700818e-15
"TIGIT",2.44546308760667e-19,0.801304281975475,0.261,0.149,3.72395118980744e-15
"FCMR",4.34595979813494e-19,1.091775587808,0.223,0.105,6.61802758059989e-15
"GZMA",7.80668363095623e-19,-0.866742992105907,0.281,0.379,1.18880178332201e-14
"TNFRSF18",1.22819153151911e-18,0.857735718066495,0.218,0.116,1.87029006419729e-14
"TNFRSF1B",1.5011850656311e-18,0.831654426153818,0.312,0.175,2.28600461794303e-14
"HOPX",5.02103444731861e-18,-1.0262700669972,0.072,0.142,7.64603125637678e-14
"PBXIP1",1.78132073868972e-17,0.802856757739577,0.283,0.162,2.71259522087671e-13
"DNPH1",2.49603511941715e-17,0.930032111722552,0.221,0.117,3.80096227984843e-13
"NKG7",2.9092952727121e-17,-0.558653626209905,0.276,0.376,4.43027484128598e-13
"GBP2",3.64173362627956e-17,0.896157718702685,0.221,0.118,5.54563196609852e-13
"SNX9",8.63158743805626e-17,1.14510622645312,0.181,0.083,1.31441813506721e-12
"BTG3",1.27699259824931e-16,0.814153085348372,0.248,0.14,1.94460432861404e-12
"RPLP1",1.85333144871732e-16,-0.574856442454766,0.988,0.99,2.82225313010674e-12
"CD28",3.63545437334094e-16,1.01841661132899,0.174,0.087,5.53606991972358e-12
"LAIR2",4.5853784656851e-16,1.47265123265002,0.087,0.03,6.98261432754527e-12
"RNF19A",6.87494847989972e-16,0.719864074243191,0.326,0.195,1.04691715451913e-11
"GK",1.03557269480426e-15,1.55728633416015,0.092,0.031,1.57697009964793e-11
"SAT1",2.0320247243597e-15,0.428422299815629,0.46,0.342,3.09436725025495e-11
"CCR8",2.40812500370028e-15,2.27081923386123,0.053,0.011,3.66709275563478e-11
"STAM",4.28741973479223e-15,1.31336075127406,0.118,0.048,6.52888277214161e-11
"NAMPT",6.56379447409895e-15,0.975463540969558,0.156,0.077,9.99534622515789e-11
"CD27",1.1473990787678e-14,0.6424427721459,0.276,0.173,1.7472593171476e-10
"RPL21",1.31348550075768e-14,-0.73653975608506,0.816,0.887,2.00017572055379e-10
"CTSC",1.82937838705002e-14,0.643126430182026,0.323,0.205,2.78577740779978e-10
"CD8B",8.75457070324186e-14,-0.621757311893088,0.122,0.187,1.33314602668967e-09
"TBC1D8",9.6277649264083e-14,2.88373845944862,0.031,0.004,1.46611604299346e-09
"CD4",1.17275302204397e-13,1.09149553441667,0.13,0.06,1.78586830196856e-09
"CFLAR",1.18143920290395e-13,0.662663510235162,0.309,0.196,1.79909561818213e-09
"GALM",1.21888241526333e-13,0.89029052711714,0.178,0.095,1.856114141963e-09
"RTKN2",2.57513699229087e-13,1.94513900411276,0.048,0.013,3.92141861186054e-09
"XCL1",2.57950170734611e-13,-1.68046548110574,0.038,0.09,3.92806519994666e-09
"UGP2",2.76488592998971e-13,0.740180664731513,0.202,0.12,4.21036829418834e-09
"TMIGD2",4.13373263236796e-13,-1.18544510569738,0.038,0.088,6.29484805256993e-09
"RHBDD2",5.65204186726896e-13,0.869676705427605,0.201,0.11,8.60692935547717e-09
"LINC01943",6.7442139359755e-13,1.74572069757494,0.071,0.021,1.02700889817035e-08
"HNRNPLL",7.52858020774764e-13,0.879750357279729,0.201,0.109,1.14645219403581e-08
"IL2RA",9.32365018025186e-13,1.17779976090304,0.096,0.041,1.41980544944875e-08
"ZBTB38",1.22600846427838e-12,0.822944646646333,0.227,0.129,1.86696568940312e-08
"MIR4435-2HG",1.64554580560888e-12,1.19031760632928,0.135,0.059,2.5058371527812e-08
"IL6ST",1.71178145931371e-12,0.957301642821338,0.168,0.086,2.60670080624292e-08
"CEMIP2",1.90139111085471e-12,0.978037484633385,0.19,0.097,2.89543838360956e-08
"ELF1",2.02212752006652e-12,0.457566184547235,0.402,0.287,3.0792957875573e-08
"RPS27",2.42455112439373e-12,-0.728353837961411,0.957,0.971,3.69210645222677e-08
"RPL10",2.47621509455721e-12,-0.610125092226768,0.985,0.988,3.77078034599172e-08
"PHTF2",2.51967114466912e-12,1.02583706348468,0.139,0.068,3.83695521910213e-08
"CORO1B",2.83823341448058e-12,0.716934582442066,0.224,0.134,4.32206184357103e-08
"ALOX5AP",3.20908823465544e-12,-0.409149249534033,0.26,0.332,4.8867995637333e-08
"RPL13A",3.84428810942641e-12,-0.672983538467926,0.781,0.863,5.85408193303454e-08
"RPLP2",3.95549075541621e-12,-0.564312542052053,0.885,0.93,6.0234213223478e-08
"SPOCK2",4.62313717633671e-12,0.542184655033293,0.466,0.322,7.04011329212554e-08
"CACYBP",5.6000517655987e-12,0.615127384479105,0.253,0.169,8.52775882865371e-08
"ITK",6.8115893502643e-12,0.778121501693085,0.241,0.14,1.03726882625825e-07
"MAGEH1",8.45371792272974e-12,1.35550506366771,0.074,0.03,1.28733216527328e-07
"RPL39",9.03309405842396e-12,-0.621509037294651,0.906,0.94,1.3755595632168e-07
"SELENOK",9.21900798360906e-12,0.776226775643517,0.287,0.169,1.40387053574399e-07
"FBLN7",9.33694561119892e-12,1.47987347150737,0.073,0.026,1.42183007767337e-07
"RPS18",1.22362145981012e-11,-0.578469669251934,0.926,0.955,1.86333075899885e-07
"CCL4",1.64093254872338e-11,-1.01567082534098,0.302,0.382,2.49881208519597e-07
"NSD3",2.77897833008811e-11,0.882042168787719,0.211,0.115,4.23182820105817e-07
"FAAH2",2.82811606270135e-11,1.82346044752451,0.052,0.014,4.30665514028162e-07
"RPL41",3.14413223544221e-11,-0.765185233071697,0.808,0.856,4.7878845681314e-07
"PHLDA1",3.49187347852107e-11,0.509617082768833,0.263,0.172,5.31742493309188e-07
"LIMS1",3.73356233788325e-11,0.716456103069744,0.188,0.113,5.68546872812861e-07
"RPS27A",3.80287952632112e-11,-0.491140173728393,0.938,0.96,5.79102494268181e-07
"ICA1",3.89238016799971e-11,0.933066171812186,0.073,0.038,5.92731651982996e-07
"MT-CO3",4.13928433388352e-11,-0.496943817085021,0.929,0.945,6.30330218363782e-07
"UBE2B",4.31111943464525e-11,0.56867520950789,0.291,0.196,6.56497267507779e-07
"TNIK",6.89892364085742e-11,1.03472949038925,0.132,0.065,1.05056809202977e-06
"CAPG",7.54840280464928e-11,-0.517413356804894,0.123,0.175,1.14947077909199e-06
"BIRC3",8.67083721747867e-11,0.395773572534035,0.284,0.2,1.32039509147765e-06
"SELENOW",8.9496753967133e-11,0.81216513884334,0.241,0.138,1.3628565694115e-06
"KLRB1",9.7745748560474e-11,-0.679088291321025,0.355,0.438,1.4884722590789e-06
"CDKN1B",9.8705220926716e-11,0.570958872547771,0.322,0.216,1.50308310427203e-06
"CD5",9.99449034839688e-11,0.782368721752396,0.197,0.114,1.52196099025388e-06
"SAMSN1",1.03284168733415e-10,0.458481177510535,0.375,0.266,1.57281132147245e-06
"GBP5",1.04884729706994e-10,0.9475657415073,0.162,0.085,1.59718466397811e-06
"MT-CO1",1.09126215450899e-10,-0.52254560897328,0.982,0.981,1.66177400888629e-06
"ATP6V0C",1.24228797719307e-10,0.723924773973594,0.296,0.179,1.89175613166961e-06
"SKAP1",1.50162740934865e-10,0.625029018393202,0.31,0.203,2.28667821895613e-06
"KLRC1",1.51548560662361e-10,-0.983028251126172,0.044,0.088,2.30778148176644e-06
"TNFRSF9",1.588286784019e-10,1.23390023506492,0.087,0.036,2.41864311470413e-06
"CCR4",3.02779132506176e-10,1.51648269410312,0.066,0.023,4.61072062980405e-06
