"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"ARID5B",0,12.5324868039311,1,0,0,Inf,"Up"
"CCR8",2.40812500370028e-15,2.27081923386123,0.053,0.011,3.66709275563478e-11,10.4356781048333,"Up"
"TBC1D8",9.6277649264083e-14,2.88373845944862,0.031,0.004,1.46611604299346e-09,8.83383165395327,"Up"
"RTKN2",2.57513699229087e-13,1.94513900411276,0.048,0.013,3.92141861186054e-09,8.40655679424223,"Up"
"FAAH2",2.82811606270135e-11,1.82346044752451,0.052,0.014,4.30665514028162e-07,6.36585990341016,"Up"
"LINC02099",5.47649251329767e-09,2.39635011594509,0.029,0.005,8.33960279924969e-05,4.07885463355914,"Up"
"F5",9.78975234453184e-09,1.94631719531004,0.034,0.009,0.000149078348702531,3.8265854264451,"Up"
"GCC1",1.6494700863352e-07,1.86107473932429,0.033,0.009,0.00251181304747124,2.60001268797349,"Up"
"VDR",2.08146600935724e-07,1.87850181108247,0.03,0.008,0.0031696564390492,2.49898780866904,"Up"
"AC017002.3",3.14904646072197e-07,2.11650742242474,0.027,0.006,0.00479536795038742,2.31917806363576,"Up"
