"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FAM168B",1.27207348988964e-163,2.09408505962271,0.036,0.025,1.93711351040395e-159
"DPP4",7.33752672210478e-151,2.21157862264115,0.036,0.023,1.11735856924212e-146
"MKI67",8.17324049429134e-78,12.9471346465527,1,0,1.24462106247069e-73
"HPS1",1.43312185249536e-49,1.17275937375063,0.107,0.079,2.18235795697993e-45
"NORAD",5.36257994723187e-36,1.64598144678693,0.107,0.057,8.16613674364469e-32
"LINC01550",1.94804998316636e-34,2.1663898488749,0.071,0.032,2.96649051436574e-30
"HBS1L",1.21622293723014e-31,1.09812057285787,0.036,0.05,1.85206428881405e-27
"BIRC2",1.3801026522251e-31,0.617898904818889,0.036,0.069,2.10162031880838e-27
"MCM3",1.76565849527591e-31,2.29249861802472,0.071,0.029,2.68874475660616e-27
"ITPA",2.41813680290241e-28,1.19852246981571,0.071,0.062,3.6823387234598e-24
"RRAGA",5.32799833496874e-28,1.19852246981571,0.071,0.062,8.1134758644904e-24
"FNTA",9.33226110781325e-28,0.58779687302947,0.071,0.095,1.4211167214978e-23
"BUD23",4.55477721686827e-27,1.24810449866627,0.071,0.06,6.936014745847e-23
"PNPLA8",1.50764678317827e-24,0.680055380881458,0.036,0.066,2.29584452142387e-20
"ARIH2",1.98090422531772e-20,0.562485784500282,0.071,0.096,3.01652095431383e-16
"UFM1",3.34803012198993e-20,0.577196567875723,0.071,0.095,5.09838026976626e-16
"CBWD1",4.88622844568422e-20,2.5533151986087,0.107,0.03,7.44074867708793e-16
"PRPF8",2.87650635548806e-18,1.20038041603629,0.179,0.109,4.38034387813721e-14
"BNIP2",2.26732543831526e-17,0.942001370940589,0.107,0.093,3.45268317746649e-13
"NMRAL1",1.92150305895172e-16,1.6928146115968,0.107,0.055,2.92606485817168e-12
"MPC1",7.79800895346635e-16,1.07407509889122,0.107,0.084,1.18748080343386e-11
"ACAA1",1.14120557882843e-15,1.3967485800214,0.071,0.054,1.73782785543993e-11
"LAGE3",4.44687768282385e-15,1.02139478221504,0.071,0.07,6.77170533540416e-11
"JPX",4.68246267393354e-15,1.8031137772858,0.107,0.051,7.130454159866e-11
"SELENOH",4.83129584692831e-15,1.45222907349438,0.25,0.13,7.35709731570242e-11
"SUMO3",7.42802147304366e-15,0.745010822722228,0.107,0.106,1.13113910991509e-10
"PMPCB",8.21004395099115e-14,1.65308833328119,0.179,0.079,1.25022549285693e-09
"MAPRE2",1.37822960708464e-12,1.79952498180113,0.286,0.112,2.09876804566849e-08
