"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log10_padj","category"
"FAM168B",1.27207348988964e-163,2.09408505962271,0.036,0.025,1.93711351040395e-159,158.712844929876,"Up"
"DPP4",7.33752672210478e-151,2.21157862264115,0.036,0.023,1.11735856924212e-146,145.951807435968,"Up"
"MKI67",8.17324049429134e-78,12.9471346465527,1,0,1.24462106247069e-73,72.9049628538116,"Up"
"LINC01550",1.94804998316636e-34,2.1663898488749,0.071,0.032,2.96649051436574e-30,29.527757036022,"Up"
"MCM3",1.76565849527591e-31,2.29249861802472,0.071,0.029,2.68874475660616e-27,26.5704504235331,"Up"
"CBWD1",4.88622844568422e-20,2.5533151986087,0.107,0.03,7.44074867708793e-16,15.1283833641894,"Up"
"IARS2",1.37572104792328e-10,2.37235192571394,0.107,0.034,2.09494801177758e-06,5.67882675001428,"Up"
"ANAPC15",4.14972904861992e-10,2.24570440654578,0.179,0.052,6.31920739523842e-06,5.19933739093613,"Up"
"PRMT9",3.86423497556857e-08,2.16511931154849,0.107,0.039,0.000588445702079582,3.23029360482589,"Up"
"TMEM165",1.20315684568222e-06,1.92040373644286,0.286,0.094,0.0183216724460489,1.73703488542043,"Up"
